label,value
RevenueRemainingPerformanceObligationPercentage,1
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,"24,000,000"
RestrictedCashAndCashEquivalents,"2,600,000,000"
DebtSecuritiesAvailableForSaleRestricted,"13,200,000,000"
DerivativeNotionalAmount,"354,738,000,000"
ConcentrationRiskPercentage1,1
DebtInstrumentInterestRateStatedPercentage,0
DebtInstrumentInterestRateEffectivePercentage,0
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,"1,300,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"314,900,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,348
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,"21,800,000,000"
