label,value,category,prediction_confidence
DerivativeFairValueOfDerivativeNet,"-719,000,000",subtotal liabilities,0.17423310401154943
Cash,"55,466,000,000",current assets,0.18218432387475506
HedgedLiabilityFairValueHedge,"26,100,000,000",current liabilities,0.18906545440204708
CommitmentsAndContingencies,,noncurrent assets,0.19335822999255803
CommitmentsAndContingencies,,noncurrent assets,0.19335822999255803
ShortTermDebtWeightedAverageInterestRate,0,noncurrent assets,0.1944571351416478
ShortTermDebtWeightedAverageInterestRate,0,noncurrent assets,0.1944571351416478
DeferredTaxLiabilitiesOtherComprehensiveIncome,"712,000,000",equity,0.2059349626198588
DeferredTaxLiabilitiesLeasingArrangements,"1,862,000,000",current liabilities,0.20622349860981753
DeferredTaxLiabilitiesLeasingArrangements,"4,425,000,000",current liabilities,0.20622349860981753
LiabilitiesAndStockholdersEquity,"724,221,000,000",equity,0.20855363956706777
LiabilitiesAndStockholdersEquity,"662,404,000,000",equity,0.20855363956706777
StockRepurchaseProgramAuthorizedAmount1,"225,000,000,000",equity,0.2119584588512518
StandardProductWarrantyAccrual,"14,450,000,000",noncurrent assets,0.2127112919950919
DebtInstrumentInterestRateEffectivePercentage,0,noncurrent assets,0.2172417579467082
DeferredTaxAssetsLiabilitiesNet,"16,202,000,000",noncurrent assets,0.21771740279879448
DeferredTaxAssetsLiabilitiesNet,"39,182,000,000",noncurrent assets,0.21771740279879448
DeferredTaxLiabilitiesOther,"1,305,000,000",current liabilities,0.21875054620019438
DeferredTaxLiabilitiesOther,"1,133,000,000",current liabilities,0.21875054620019438
DebtInstrumentInterestRateStatedPercentage,0,noncurrent assets,0.22146303403408577
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,"12,200,000,000",noncurrent assets,0.226044973951898
DeferredIncomeTaxLiabilities,"14,276,000,000",noncurrent assets,0.22848714484259625
DeferredIncomeTaxLiabilities,"21,733,000,000",noncurrent assets,0.22848714484259625
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,"11,389,000,000",noncurrent assets,0.2299148719532004
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,"9,300,000,000",noncurrent assets,0.2299148719532004
InventoryNet,"13,004,000,000",noncurrent assets,0.232167576399102
InventoryNet,"8,167,000,000",noncurrent assets,0.232167576399102
DerivativeFairValueOfDerivativeAsset,"8,588,000,000",subtotal assets,0.23274982942578024
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,"10,078,000,000",noncurrent assets,0.23399758109065813
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,"9,569,000,000",noncurrent assets,0.23399758109065813
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,"5,235,000,000",noncurrent assets,0.23427046968732396
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,"10,115,000,000",noncurrent assets,0.23427046968732396
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,"10,914,000,000",noncurrent assets,0.24099800079193096
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,"4,972,000,000",noncurrent assets,0.24099800079193096
DeferredTaxAssetsTaxCreditCarryforwardsResearch,"4,000,000,000",noncurrent assets,0.24428313046371447
DeferredTaxAssetsTaxCreditCarryforwardsForeign,"4,700,000,000",noncurrent assets,0.24579815586990278
DeferredTaxAssetsTaxCreditCarryforwards,"17,499,000,000",noncurrent assets,0.2469439853506457
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,"49,303,000,000",noncurrent assets,0.24759741313292147
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,"55,341,000,000",noncurrent assets,0.24759741313292147
Assets,"662,404,000,000",noncurrent assets,0.25161380231627756
Assets,"724,221,000,000",noncurrent assets,0.25161380231627756
NontradeReceivablesCurrent,"44,203,000,000",current liabilities,0.25394943552367516
NontradeReceivablesCurrent,"66,013,000,000",current liabilities,0.25394943552367516
LongTermDebt,"187,340,000,000",noncurrent liabilities,0.25583497731104865
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,"10,130,000,000",noncurrent assets,0.2560555652710058
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,"12,268,000,000",noncurrent assets,0.2560555652710058
MarketableSecuritiesCurrent,"209,280,000,000",current assets,0.2570429745164205
MarketableSecuritiesCurrent,"160,502,000,000",current assets,0.2570429745164205
UnrecordedUnconditionalPurchaseObligationDueAfterFiveYears,"130,000,000",current liabilities,0.26112491015188927
UnrecordedUnconditionalPurchaseObligationDueAfterFiveYears,"773,000,000",current liabilities,0.26112491015188927
OperatingLeaseLiability,"12,490,000,000",subtotal liabilities,0.2611721826611293
OperatingLeaseLiability,"9,181,000,000",subtotal liabilities,0.2611721826611293
Liabilities,"506,577,000,000",current liabilities,0.26301807507703184
Liabilities,"593,538,000,000",current liabilities,0.26301807507703184
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,"8,750,000,000",current liabilities,0.26333466378451054
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,"12,393,000,000",current liabilities,0.26333466378451054
DebtInstrumentCarryingAmount,"279,903,000,000",noncurrent liabilities,0.2633967808790211
