contextRef,count
c-1,257
c-5,159
c-11,124
c-12,122
c-6,101
c-26,11
c-47,9
c-8,8
c-9,8
c-193,7
c-69,7
c-66,7
c-197,7
c-158,7
c-189,7
c-166,7
c-162,7
c-156,6
c-304,6
c-65,6
c-155,6
c-157,6
c-68,6
c-302,6
c-70,5
c-67,5
c-187,5
c-186,5
c-133,5
c-188,5
c-136,4
c-37,4
c-36,3
c-18,3
c-290,3
c-300,3
c-289,3
c-35,3
c-239,3
c-237,3
c-234,3
c-236,3
c-233,3
c-231,3
c-20,3
c-230,3
c-240,3
c-27,3
c-17,3
c-29,3
c-7,3
c-10,3
c-287,2
c-288,2
c-89,2
c-90,2
c-46,2
c-28,2
c-22,2
c-291,2
c-221,2
c-31,2
c-222,2
c-39,2
c-13,2
c-253,2
c-252,2
c-248,2
c-249,2
c-245,2
c-244,2
c-19,2
c-264,2
c-283,1
c-282,1
c-281,1
c-280,1
c-279,1
c-278,1
c-285,1
c-305,1
c-74,1
c-75,1
c-73,1
c-72,1
c-95,1
c-94,1
c-71,1
c-64,1
c-92,1
c-93,1
c-91,1
c-88,1
c-87,1
c-86,1
c-85,1
c-84,1
c-276,1
c-275,1
c-274,1
c-273,1
c-4,1
c-3,1
c-2,1
c-54,1
c-52,1
c-45,1
c-79,1
c-78,1
c-77,1
c-76,1
c-277,1
c-286,1
c-100,1
c-99,1
c-97,1
c-98,1
c-127,1
c-126,1
c-125,1
c-96,1
c-123,1
c-122,1
c-121,1
c-120,1
c-119,1
c-118,1
c-117,1
c-124,1
c-115,1
c-114,1
c-113,1
c-63,1
c-62,1
c-61,1
c-60,1
c-59,1
c-58,1
c-57,1
c-56,1
c-55,1
c-53,1
c-51,1
c-50,1
c-116,1
c-49,1
c-112,1
c-143,1
c-142,1
c-141,1
c-140,1
c-139,1
c-138,1
c-137,1
c-135,1
c-134,1
c-132,1
c-131,1
c-130,1
c-129,1
c-128,1
c-83,1
c-82,1
c-81,1
c-80,1
c-111,1
c-110,1
c-109,1
c-108,1
c-107,1
c-106,1
c-105,1
c-104,1
c-103,1
c-102,1
c-101,1
c-284,1
c-172,1
c-173,1
c-174,1
c-175,1
c-144,1
c-145,1
c-146,1
c-147,1
c-148,1
c-149,1
c-150,1
c-151,1
c-152,1
c-153,1
c-154,1
c-159,1
c-181,1
c-180,1
c-179,1
c-178,1
c-177,1
c-171,1
c-169,1
c-170,1
c-161,1
c-160,1
c-191,1
c-168,1
c-167,1
c-165,1
c-164,1
c-163,1
c-198,1
c-199,1
c-200,1
c-201,1
c-202,1
c-192,1
c-196,1
c-195,1
c-219,1
c-218,1
c-217,1
c-216,1
c-215,1
c-194,1
c-223,1
c-220,1
c-212,1
c-213,1
c-214,1
c-211,1
c-44,1
c-176,1
c-207,1
c-206,1
c-205,1
c-204,1
c-203,1
c-190,1
c-185,1
c-184,1
c-183,1
c-182,1
c-30,1
c-32,1
c-33,1
c-34,1
c-40,1
c-38,1
c-42,1
c-41,1
c-209,1
c-210,1
c-43,1
c-225,1
c-226,1
c-227,1
c-208,1
c-238,1
c-250,1
c-251,1
c-255,1
c-254,1
c-246,1
c-247,1
c-243,1
c-242,1
c-241,1
c-271,1
c-270,1
c-224,1
c-229,1
c-228,1
c-235,1
c-232,1
c-265,1
c-266,1
c-267,1
c-268,1
c-269,1
c-260,1
c-262,1
c-263,1
c-257,1
c-258,1
c-259,1
c-272,1
c-24,1
c-25,1
c-23,1
c-261,1
c-21,1
c-16,1
c-14,1
c-15,1
c-303,1
c-301,1
c-299,1
c-256,1
c-298,1
c-297,1
c-295,1
c-296,1
c-294,1
c-293,1
c-292,1
c-48,1
