label,value,statement,category,comments,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,"452,000,000",cashflow,disclosures,,,,,,
NetCashProvidedByUsedInOperatingActivities,"119,385,000,000",cashflow,operating activities,,,,,,
OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax,"244,000,000",income,comprehensive income,,,,,,
PaymentsForRepurchaseOfCommonStock,"60,086,000,000",cashflow,financing activities,,,,,,
GeneralAndAdministrativeExpense,"23,299,000,000",income,Operating Expenses,,,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"3,849,000,000",income,comprehensive income,,,,,,
NonoperatingIncomeExpense,"19,602,000,000",income,nonoperating expenses,,,,,,
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationTax,"-470,000,000",income,comprehensive income,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,"49,449,000,000",income,earnings per share,,,,,,
IncreaseDecreaseInContractWithCustomerLiability,"856,000,000",cashflow,operating activities,,,,,,
GoodwillTranslationAndPurchaseAccountingAdjustments,"152,000,000",cashflow,disclosures,,,,,,
EarningsPerShareDiluted,13,income,earnings per share,,,,,,
ProceedsFromSaleAndMaturityOfOtherInvestments,"1,478,000,000",cashflow,investing activities,,,,,,
DistributedEarnings,"9,986,000,000",cashflow,disclosures,,,,,,
VariableLeaseCost,"2,133,000,000",income,Operating Expenses,,,,,,
UndistributedEarningsLossAvailableToCommonShareholdersBasic,"149,380,000,000",income,net income,check this,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,"-355,000,000",income,comprehensive income,,,,,,
AllocatedShareBasedCompensationExpense,"34,600,000,000",income,Operating Expenses,,,,,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,"481,000,000",income,comprehensive income,,,,,,
DebtSecuritiesRealizedGainLoss,"-550,000,000",income,nonoperating expenses,"expense if its negative, income if positive",,,,,
ComprehensiveIncomeNetOfTax,"165,681,000,000",income,comprehensive income,,,,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,"747,000,000",cashflow,other,,,,,,
AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings,"10,184,000,000",cashflow,disclosures,,,,,,
DebtSecuritiesAvailableForSaleGainLoss,"-550,000,000",income,nonoperating expenses,"expense if its negative, income if positive",,,,,
NetIncomeLossAvailableToCommonStockholdersDiluted,"161,832,000,000",income,net income,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"4,486,000,000",income,comprehensive income,,,,,,
DebtSecuritiesAvailableForSaleAllowanceForCreditLossPeriodIncreaseDecrease,"-52,000,000",cashflow,disclosures,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"34,752,000,000",cashflow,disclosures,,,,,,
ResearchAndDevelopmentExpense,"76,795,000,000",income,Operating Expenses,,,,,,
PaymentsToAcquireMarketableSecurities,"82,881,000,000",cashflow,operating activities,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"193,072,000,000",income,EBT,income before taxes,,,,,
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,"3,749,000,000",cashflow,disclosures,,,,,,
InterestIncomeOther,"6,342,000,000",income,nonoperating income,,,,,,
FinanceLeaseInterestExpense,"68,000,000",income,Operating Expenses,,,,,,
OciBeforeReclassificationsNetOfTaxAttributableToParent,"2,009,000,000",income,nonoperating expenses,,,,,,
OperatingLeasePayments,"4,974,000,000",income,comprehensive income,,,,,,
NetCashProvidedByUsedInFinancingActivities,"-66,636,000,000",cashflow,financing activities,,,,,,
CommonStockDividendsPerShareDeclared,0,income,dividends,,,,,,
SellingAndMarketingExpense,"40,384,000,000",income,Operating Expenses,,,,,,
IncreaseDecreaseInIncomeTaxes,"-3,323,000,000",cashflow,operating activities,,,,,,
FinanceLeaseInterestPaymentOnLiability,"68,000,000",cashflow,financing activities,,,,,,
ShareBasedCompensation,"22,643,000,000",income,Operating Expenses,,,,,,
DebtSecuritiesAvailableForSaleRealizedLoss,"1,691,000,000",income,nonoperating expenses,,,,,,
Depreciation,"16,606,000,000",income,Operating Expenses,,,,,,
EquitySecuritiesFvNiGainLoss,"13,145,000,000",income,nonoperating income,"expense if its negative, income if positive",,,,,
IncreaseDecreaseInAccountsReceivable,"1,091,000,000",cashflow,operating activities,,,,,,
NetIncomeLoss,"161,832,000,000",income,net income,,,,,,
PaymentsForProceedsFromOtherInvestingActivities,"395,000,000",cashflow,investing activities,,,,,,
OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax,"-1,503,000,000",income,comprehensive income,,,,,,
OperatingLeaseCost,"4,834,000,000",income,Operating Expenses,,,,,,
OtherNonoperatingIncomeExpense,"1,269,000,000",income,nonoperating expenses,,,,,,
FinanceLeasePrincipalPayments,"696,000,000",cashflow,financing activities,,,,,,
StockRepurchasedAndRetiredDuringPeriodValue,"89,080,000,000",cashflow,financing activities,,,,,,
RevenueNotFromContractWithCustomer,"312,000,000",income,Revenue,,,,,,
