label,value,context
RestructuringCharges,"20,682,000,000",c-43_c-44_c-45_c-89_c-91_c-92_c-93_c-94_c-95_c-96_c-97_c-98_c-99_c-100_c-101_c-102_c-90_c-103_c-130_c-218_c-219_c-220
RestructuringAndRelatedCostExpectedNumberOfPositionsEliminated,"11,000",c-43_c-44_c-45_c-89_c-91_c-92_c-93_c-94_c-95_c-96_c-97_c-98_c-99_c-100_c-101_c-102_c-90_c-103_c-130_c-218_c-219_c-220
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,250,c-47_c-289_c-290
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,904,c-47_c-289_c-290
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"60,040,000,000",c-47_c-289_c-290
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,"64,769,000",c-47_c-289_c-290
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,"12,600,000,000",c-47_c-289_c-290
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,255,c-47_c-289_c-290
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"48,661,000",c-47_c-289_c-290
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,"10,322,000",c-47_c-289_c-290
ConcentrationRiskPercentage1,1,c-56_c-57_c-58
RestructuringAndRelatedCostCostIncurredToDate1,"35,160,000,000",c-104_c-105_c-106_c-107_c-108_c-109_c-110_c-111_c-112_c-113_c-114_c-115_c-116_c-117_c-118_c-119_c-120_c-121_c-122_c-123_c-124_c-125_c-126_c-127_c-128_c-129
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,"111,000,000",c-131_c-132
PropertyPlantAndEquipmentGross,"284,815,000,000",c-201_c-202_c-203_c-204_c-205_c-206_c-207_c-208_c-209_c-210_c-211_c-212
DebtInstrumentFaceAmount,"58,000,000,000",c-241_c-242_c-243
DebtInstrumentInterestRateEffectivePercentage,0,c-244_c-245_c-248_c-249_c-252_c-253
DebtInstrumentInterestRateStatedPercentage,0,c-244_c-245_c-248_c-249_c-252_c-253
LitigationSettlementAmountAwardedToOtherParty,"725,000,000",c-258
LossContingencyClaimsDismissedNumber,1,c-259
LossContingencyAccrualPayments,"5,000,000,000",c-260
LossContingencyAccrualAtCarryingValue,"1,200,000,000",c-262
LossContingencyNewClaimsFiledNumber,4,c-264
CommonStockCapitalSharesReservedForFutureIssuance,"483,000,000",c-274
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"271,694,000",c-287_c-288
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,512,c-287_c-288
TaxCreditCarryforwardAmount,"6,065,000,000",c-291_c-292
OperatingLossCarryforwards,"2,360,000,000",c-291_c-292
IncomeTaxExaminationEstimateOfPossibleLoss,"9,680,000,000",c-293_c-294
