label,value,category,prediction_confidence
AllowanceForDoubtfulAccountsReceivableCurrent,"1,384,000,000",current assets,0.2925675458942428
Cash,"15,530,000,000",current assets,0.18218432387475506
CashCashEquivalentsAndShortTermInvestments,"235,091,000,000",current assets,0.31455862788998695
OtherAssetsCurrent,"30,317,000,000",current assets,0.30622838760663956
AssetsCurrent,"354,090,000,000",current assets,0.3189388544561074
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"53,087,000,000",current assets,0.348091784856886
CashAndCashEquivalentsAtCarryingValue,"66,825,000,000",current assets,0.32625876916631896
AccountsReceivableNetNoncurrent,"7,200,000,000",current assets,0.24265957178940473
AccountsReceivableNetCurrent,"82,304,000,000",current assets,0.3008977254651016
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,"1,477,000,000",current liabilities,0.43707684921841977
OtherReceivablesGrossCurrent,"1,965,000,000",current liabilities,0.21651123058718533
LongTermDebtCurrent,"10,821,000,000",current liabilities,0.3177345138386392
DerivativeCollateralObligationToReturnCash,"117,000,000",current liabilities,0.21212464244000848
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,"16,000,000,000",current liabilities,0.28503502745634735
FinanceLeaseLiabilityPaymentsDue,"17,668,000,000",current liabilities,0.3162797705371618
LiabilitiesCurrent,"183,739,000,000",current liabilities,0.515590341802819
ContractWithCustomerLiability,"185,098,000,000",current liabilities,0.34795392919194357
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,"2,456,000,000",current liabilities,0.3836703528541418
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,"2,750,000,000",current liabilities,0.26333466378451054
EmployeeRelatedLiabilitiesCurrent,"20,718,000,000",current liabilities,0.4608524183808212
OtherLiabilitiesCurrent,"24,734,000,000",current liabilities,0.4162538367932204
DeferredTaxLiabilitiesOther,"247,000,000",current liabilities,0.21875054620019438
AccountsPayableCurrent,"34,163,000,000",current liabilities,0.3670953295654336
LossContingencyAccrualCarryingValueCurrent,"364,000,000",current liabilities,0.3447174594556316
RevenueRemainingPerformanceObligation,"382,000,000,000",current liabilities,0.3584909771551622
Liabilities,"390,089,000,000",current liabilities,0.26301807507703184
FinanceLeaseLiability,"54,886,000,000",current liabilities,0.2674770845998172
AccruedIncomeTaxesCurrent,"6,241,000,000",current liabilities,0.3467264858122911
LossContingencyRangeOfPossibleLossPortionNotAccrued,"600,000,000",current liabilities,0.22405129192443865
DeferredTaxLiabilitiesLeasingArrangements,"8,125,000,000",current liabilities,0.20622349860981753
ContractWithCustomerLiabilityCurrent,"87,063,000,000",current liabilities,0.4731237048685474
AccumulatedOtherComprehensiveIncomeLossNetOfTax,"-2,856,000,000",equity,0.27225758239810394
RetainedEarningsAccumulatedDeficit,"141,336,000,000",equity,0.2756061956876992
CommonStocksIncludingAdditionalPaidInCapital,"170,050,000,000",equity,0.32825081333944545
CommonStockSharesAuthorized,"24,000,000,000",equity,0.5318211144275826
CommonStockSharesOutstanding,"30,197,000,000",equity,0.5313515429721934
LiabilitiesAndStockholdersEquity,"698,619,000,000",equity,0.20855363956706777
StockholdersEquity,"955,966,000,000",equity,0.2881096999224521
DebtInstrumentInterestRateStatedPercentage,0,noncurrent assets,0.22146303403408577
DebtInstrumentInterestRateEffectivePercentage,0,noncurrent assets,0.2172417579467082
DerivativeCollateralRightToReclaimCash,0,noncurrent assets,0.2012610414369963
FinanceLeaseWeightedAverageDiscountRatePercent,0,noncurrent assets,0.18824631646277723
OperatingLeaseWeightedAverageDiscountRatePercent,0,noncurrent assets,0.16075921773122662
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,"1,103,000,000",noncurrent assets,0.24288726468584448
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,"1,227,000,000",noncurrent assets,0.2972361774003477
AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenFairValue,"1,259,000,000",noncurrent assets,0.39706557292324957
AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenAmortizedCostBasis,"1,358,000,000",noncurrent assets,0.40035051587608406
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,"1,631,000,000",noncurrent assets,0.28929854908367614
DeferredTaxAssetsValuationAllowance,"1,781,000,000",noncurrent assets,0.27329575822615687
FurnitureAndFixturesGross,"11,204,000,000",noncurrent assets,0.2397854028192903
GoodwillImpairedAccumulatedImpairmentLoss,"11,300,000,000",noncurrent assets,0.3554792037843205
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,"116,602,000,000",noncurrent assets,0.4098664364435702
LeaseholdImprovementsGross,"14,703,000,000",noncurrent assets,0.20810372975164626
AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenFairValue,"16,880,000,000",noncurrent assets,0.3993200809180212
PropertyPlantAndEquipmentNet,"160,017,000,000",noncurrent assets,0.31335115883055703
InventoryWorkInProcessNetOfReserves,"161,000,000",noncurrent assets,0.2332343547389931
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months,"162,060,000,000",noncurrent assets,0.28729162353842613
DebtSecuritiesAvailableForSaleUnrealizedLossPosition,"168,590,000,000",noncurrent assets,0.3494610462299294
AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenAmortizedCostBasis,"18,274,000,000",noncurrent assets,0.40248556518013223
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"19,066,000,000",noncurrent assets,0.21518824058296823
DeferredIncomeTaxLiabilities,"19,458,000,000",noncurrent assets,0.22848714484259625
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,"2,250,000,000",noncurrent assets,0.2299148719532004
InventoryRawMaterialsNetOfReserves,"2,334,000,000",noncurrent assets,0.24175896053873025
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,"2,385,000,000",noncurrent assets,0.29950708291700295
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,"2,592,000,000",noncurrent assets,0.3199591538712262
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,"2,654,000,000",noncurrent assets,0.25222861694386084
DeferredTaxAssetsLiabilitiesNet,"20,268,000,000",noncurrent assets,0.21771740279879448
DeferredIncomeTaxAssetsNet,"20,696,000,000",noncurrent assets,0.34348974289751916
OperatingLeaseRightOfUseAsset,"24,236,000,000",noncurrent assets,0.3091558523058436
LongTermInvestments,"25,750,000,000",noncurrent assets,0.31789744645957646
AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsFairValue,"26,470,000,000",noncurrent assets,0.3752507280742429
AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsAmortizedCostBasis,"26,480,000,000",noncurrent assets,0.3715281454777834
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,"26,882,000,000",noncurrent assets,0.26405695582562566
PropertyPlantAndEquipmentGross,"276,619,000,000",noncurrent assets,0.30939599667106654
EquitySecuritiesFVNINoncurrent,"29,970,000,000",noncurrent assets,0.30441744724114506
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,"3,000,000,000",noncurrent assets,0.23427046968732396
InventoryFinishedGoodsNetOfReserves,"3,883,000,000",noncurrent assets,0.2630959951041459
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,"34,261,000,000",noncurrent assets,0.24759741313292147
OtherAssetsNoncurrent,"36,972,000,000",noncurrent assets,0.3645166375256924
Goodwill,"364,790,000,000",noncurrent assets,0.35649865066059105
FiniteLivedIntangibleAssetsNet,"38,196,000,000",noncurrent assets,0.2837869083327087
DeferredTaxAssetsNet,"39,726,000,000",noncurrent assets,0.29819162150036416
DeferredTaxAssetsGross,"41,507,000,000",noncurrent assets,0.2659679132639454
DeferredIncomeTaxLiabilitiesNet,"428,000,000",noncurrent assets,0.22938360765590693
AvailableForSaleDebtSecuritiesAmortizedCostBasis,"432,168,000,000",noncurrent assets,0.34573943132109647
AvailableForSaleSecuritiesDebtSecurities,"434,730,000,000",noncurrent assets,0.32884077874647505
FiniteLivedIntangibleAssetsAccumulatedAmortization,"48,908,000,000",noncurrent assets,0.39214986942436747
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,"5,000,000,000",noncurrent assets,0.30286260212238303
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,"5,250,000,000",noncurrent assets,0.23399758109065813
DeferredTaxAssetsDeferredIncome,"5,535,000,000",noncurrent assets,0.2788843085163872
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,"5,834,000,000",noncurrent assets,0.2580506716086284
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"5,883,000,000",noncurrent assets,0.3639531422604747
DebtSecuritiesAvailableForSaleUnrealizedLossPositionAccumulatedLoss,"5,898,000,000",noncurrent assets,0.4018062407296121
AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveFairValue,"50,748,000,000",noncurrent assets,0.39049909109855097
AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveAmortizedCostBasis,"52,006,000,000",noncurrent assets,0.39951361113344036
InventoryNet,"6,378,000,000",noncurrent assets,0.232167576399102
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger,"6,530,000,000",noncurrent assets,0.4002724116107964
ShortTermInvestments,"620,722,000,000",noncurrent assets,0.27942598243321065
Assets,"698,619,000,000",noncurrent assets,0.25161380231627756
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount,"7,100,000,000",noncurrent assets,0.5358222748632919
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,"766,000,000",noncurrent assets,0.20151546583257038
DeferredTaxAssetsOther,"780,000,000",noncurrent assets,0.27051294187881814
NoncurrentAssets,"795,950,000,000",noncurrent assets,0.37212575275641796
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,"8,000,000,000",noncurrent assets,0.24099800079193096
Land,"8,394,000,000",noncurrent assets,0.20540406029032424
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"8,460,000,000",noncurrent assets,0.35427629102098207
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,"809,000,000",noncurrent assets,0.3086154870087843
FiniteLivedIntangibleAssetsGross,"87,104,000,000",noncurrent assets,0.2511575111379344
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,"896,000,000",noncurrent assets,0.43746032530997037
BuildingsAndImprovementsGross,"98,942,000,000",noncurrent assets,0.21577282164524986
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,"982,000,000",noncurrent assets,0.35762233805861515
DebtInstrumentFaceAmount,"99,000,000,000",noncurrent assets,0.2529692492284072
CommitmentsAndContingencies,,noncurrent assets,0.19335822999255803
LesseeOperatingLeaseLiabilityPaymentsDueYearFive,"1,328,000,000",noncurrent liabilities,0.4590160506451815
FinanceLeaseLiabilityPaymentsDueYearFour,"1,483,000,000",noncurrent liabilities,0.46738950589155037
FinanceLeaseLiabilityPaymentsDueYearTwo,"1,487,000,000",noncurrent liabilities,0.4759677262547895
FinanceLeaseLiabilityPaymentsDueYearFive,"1,489,000,000",noncurrent liabilities,0.4414576706718575
LesseeOperatingLeaseLiabilityPaymentsDueYearFour,"1,625,000,000",noncurrent liabilities,0.4836919267703743
FinanceLeaseLiabilityPaymentsDueYearThree,"1,801,000,000",noncurrent liabilities,0.482175972591426
LesseeOperatingLeaseLiabilityPaymentsDueYearThree,"1,985,000,000",noncurrent liabilities,0.49646975774590574
UnrecognizedTaxBenefits,"101,081,000,000",noncurrent liabilities,0.3448043758538658
LongTermDebt,"107,927,000,000",noncurrent liabilities,0.25583497731104865
LongTermDebtFairValue,"120,900,000,000",noncurrent liabilities,0.2886147553762193
LesseeOperatingLeaseLiabilityPaymentsDue,"15,004,000,000",noncurrent liabilities,0.3370670748919706
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,"2,278,000,000",noncurrent liabilities,0.4901560026921757
OperatingLeaseLiabilityNoncurrent,"21,118,000,000",noncurrent liabilities,0.4339788131823685
DebtInstrumentCarryingAmount,"214,915,000,000",noncurrent liabilities,0.2633967808790211
OtherLiabilitiesNoncurrent,"28,953,000,000",noncurrent liabilities,0.3015143014457912
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,"37,900,000,000",noncurrent liabilities,0.34470265964972685
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,"5,332,000,000",noncurrent liabilities,0.34804077515070764
