label,value,category,prediction_confidence
EquitySecuritiesFvNiCost,0,current assets,0.34056036541657453
AccountsReceivableNetCurrent,"1,879,632,000",current assets,0.3008977254651016
AssetsCurrent,"10,072,907,000",current assets,0.3189388544561074
AllowanceForDoubtfulAccountsReceivable,"10,500,000",current assets,0.2913032198971131
CashAndCashEquivalentsFairValueDisclosure,"2,410,628,000",current assets,0.2891247895949471
PrepaidExpenseAndOtherAssetsCurrent,"228,909,000",current assets,0.2711432550162011
EquitySecuritiesFvNi,"39,047,000",current assets,0.3341179933858963
CashAndCashEquivalentsAtCarryingValue,"5,528,111,000",current assets,0.32625876916631896
MarketableSecuritiesCurrent,"5,974,595,000",current assets,0.2570429745164205
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"7,964,292,000",current assets,0.348091784856886
DividendsPayableCurrentAndNoncurrent,0,current liabilities,0.2716248855518046
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,0,current liabilities,0.28503502745634735
ContractWithCustomerLiability,"1,052,700,000",current liabilities,0.34795392919194357
RevenueRemainingPerformanceObligation,"1,700,000,000",current liabilities,0.3584909771551622
LiabilitiesCurrent,"1,742,036,000",current liabilities,0.515590341802819
AccountsPayableCurrent,"12,225,000",current liabilities,0.3670953295654336
LessorOperatingLeasePaymentsToBeReceivedNextTwelveMonths,"14,783,000",current liabilities,0.28499367624984345
DeferredTaxLiabilities,"15,587,000",current liabilities,0.21442681940930414
OtherAccruedLiabilitiesCurrent,"170,504,000",current liabilities,0.5101798155377963
Liabilities,"2,207,937,000",current liabilities,0.26301807507703184
EmployeeRelatedLiabilitiesCurrent,"390,033,000",current liabilities,0.4608524183808212
DeferredRevenueCurrent,"506,525,000",current liabilities,0.25939925990868384
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,"61,509,000",current liabilities,0.3836703528541418
AccruedLiabilitiesCurrent,"650,037,000",current liabilities,0.5517281532567577
AccruedIncomeTaxesCurrent,"89,500,000",current liabilities,0.3467264858122911
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"935,800,000",current liabilities,0.21129727799776166
OperatingLeaseLiabilityCurrent,"98,169,000",current liabilities,0.4112220556679313
RetainedEarningsAccumulatedDeficit,"-10,837,036,000",equity,0.2756061956876992
AccumulatedOtherComprehensiveIncomeLossNetOfTax,"-4,810,000",equity,0.27225758239810394
CommonStockParOrStatedValuePerShare,0,equity,0.4532555471554568
LiabilitiesAndStockholdersEquity,"10,863,309,000",equity,0.20855363956706777
CommonStockSharesOutstanding,"13,203,390,000",equity,0.5313515429721934
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,"14,202,912,000",equity,0.1997250304578602
AdditionalPaidInCapital,"19,316,143,000",equity,0.22078173640604373
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,"38,221,840,000",equity,0.28575973698981266
CommonStockValue,"4,539,000",equity,0.39522986784653114
CommonStockSharesAuthorized,"45,402,010,000",equity,0.5318211144275826
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,"456,579,000",equity,0.19727924209188796
StockholdersEquity,"8,478,836,000",equity,0.2881096999224521
CommonStockSharesIssued,"9,076,841,000",equity,0.5472769034085098
OperatingLeaseWeightedAverageDiscountRatePercent,0,noncurrent assets,0.16075921773122662
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerNumberOfPositions,0,noncurrent assets,0.39854306109419707
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,0,noncurrent assets,0.3199591538712262
DeferredTaxAssetsInProcessResearchAndDevelopment,"1,438,004,000",noncurrent assets,0.2699335783093347
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"1,698,000",noncurrent assets,0.3639531422604747
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"10,062,000",noncurrent assets,0.35427629102098207
Assets,"10,863,309,000",noncurrent assets,0.25161380231627756
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,"15,255,000",noncurrent assets,0.26848323933294027
AssetsFairValueDisclosure,"16,789,652,000",noncurrent assets,0.2767342328717684
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,17,noncurrent assets,0.19750533260859512
PropertyPlantAndEquipmentNet,"174,792,000",noncurrent assets,0.31335115883055703
MinorityInterest,"176,536,000",noncurrent assets,0.20231907476195898
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,"186,216,000",noncurrent assets,0.2560555652710058
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,"2,097,000",noncurrent assets,0.3086154870087843
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,"2,517,000",noncurrent assets,0.2972361774003477
DeferredTaxAssetsOperatingLossCarryforwards,"2,900,760,000",noncurrent assets,0.22155670797530402
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,"216,023,000",noncurrent assets,0.24288726468584448
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,"225,157,000",noncurrent assets,0.4098664364435702
DeferredTaxAssetsPropertyPlantAndEquipment,"30,252,000",noncurrent assets,0.32775609233753883
OtherAssetsNoncurrent,"319,403,000",noncurrent assets,0.3645166375256924
OperatingLeaseRightOfUseAsset,"383,603,000",noncurrent assets,0.3091558523058436
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,"4,250,000",noncurrent assets,0.28929854908367614
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,"4,597,000",noncurrent assets,0.29950708291700295
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,"4,597,000",noncurrent assets,0.25222861694386084
DeferredTaxAssetsGross,"4,905,241,000",noncurrent assets,0.2659679132639454
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,"5,528,204,000",noncurrent assets,0.22178865389289543
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableWeightedAverageExercisePrice,6,noncurrent assets,0.21542439013269615
PropertyPlantAndEquipmentGross,"625,106,000",noncurrent assets,0.30939599667106654
FiniteLivedIntangibleAssetsAccumulatedAmortization,"67,852,000",noncurrent assets,0.39214986942436747
DeferredRevenueNoncurrent,"67,932,000",noncurrent assets,0.24308516664894064
DeferredTaxAssetsTaxCreditCarryforwards,"671,639,000",noncurrent assets,0.2469439853506457
FiniteLivedIntangibleAssetsGross,"77,886,000",noncurrent assets,0.2511575111379344
AvailableForSaleDebtSecuritiesAmortizedCostBasis,"8,773,288,000",noncurrent assets,0.34573943132109647
AvailableForSaleSecuritiesDebtSecurities,"8,780,567,000",noncurrent assets,0.32884077874647505
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber,"80,155,000",noncurrent assets,0.220024720189223
FiniteLivedIntangibleAssetsNet,"87,920,000",noncurrent assets,0.2837869083327087
DeferredTaxAssetsValuationAllowance,"9,612,644,000",noncurrent assets,0.27329575822615687
DebtSecuritiesAvailableForSaleUnrealizedLossPosition,"952,300,000",noncurrent assets,0.3494610462299294
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount,"97,500,000",noncurrent assets,0.5358222748632919
CommitmentsAndContingencies,,noncurrent assets,0.19335822999255803
DebtInstrumentCarryingAmount,0,noncurrent liabilities,0.2633967808790211
LessorOperatingLeasePaymentsToBeReceivedFiveYears,"10,254,000",noncurrent liabilities,0.21881904066910068
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,"106,554,000",noncurrent liabilities,0.34804077515070764
LessorOperatingLeasePaymentsToBeReceivedFourYears,"12,470,000",noncurrent liabilities,0.22944397229277355
LessorOperatingLeasePaymentsToBeReceivedTwoYears,"13,786,000",noncurrent liabilities,0.2312083441661024
LessorOperatingLeasePaymentsToBeReceivedThreeYears,"14,423,000",noncurrent liabilities,0.2409553875728792
LesseeOperatingLeaseLiabilityPaymentsDueYearFive,"18,796,000",noncurrent liabilities,0.4590160506451815
LessorOperatingLeasePaymentsToBeReceivedThereafter,"20,507,000",noncurrent liabilities,0.22022905400721957
OtherLiabilitiesNoncurrent,"24,387,000",noncurrent liabilities,0.3015143014457912
LesseeOperatingLeaseLiabilityPaymentsDueYearFour,"25,449,000",noncurrent liabilities,0.4836919267703743
LesseeOperatingLeaseLiabilityPaymentsDue,"308,052,000",noncurrent liabilities,0.3370670748919706
OperatingLeaseLiabilityNoncurrent,"370,442,000",noncurrent liabilities,0.4339788131823685
LesseeOperatingLeaseLiabilityPaymentsDueYearThree,"41,709,000",noncurrent liabilities,0.49646975774590574
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,"54,035,000",noncurrent liabilities,0.4901560026921757
UnrecognizedTaxBenefits,"755,273,000",noncurrent liabilities,0.3448043758538658
LessorOperatingLeasePaymentsToBeReceived,"86,223,000",noncurrent liabilities,0.22061738790757268
OperatingLeaseLiability,"468,611,000",subtotal liabilities,0.2611721826611293
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,"68,833,000",subtotal liabilities,0.3502804038449289
