label,value,statement,statement_confidence,category,category_confidence
DeferredIncomeTaxesAndTaxCredits,"-7,893,000,000",income,0.7014894701856983,comprehensive income,0.10792395291154318
OtherNoncashIncomeExpense,"-1,363,000,000",income,0.572468937728496,operating activities,0.19217214527014378
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,"5,252,000,000",income,0.6364023728938334,comprehensive income,0.14369721711439426
VariableLeaseCost,"1,787,000,000",income,0.7138227474093007,Operating Expenses,0.32421805455988284
RevenueFromContractWithCustomerExcludingAssessedTax,"1,853,997,000,000",income,0.6747810846791529,operating activities,0.11682321985540589
InterestPaidNet,"934,000,000",income,0.641986738555953,Operating Expenses,0.1172553392789317
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,"88,000,000",income,0.6557380068537353,comprehensive income,0.12893829420995587
EffectiveIncomeTaxRateReconciliationFdiiPercent,0,income,0.6994618345915035,comprehensive income,0.13536434187051796
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,"1,063,000,000",income,0.6101888130658213,comprehensive income,0.12792591622392194
LaborAndRelatedExpense,"230,916,000,000",income,0.6719891899706036,Operating Expenses,0.16650599507907177
SharesPaidForTaxWithholdingForShareBasedCompensation,"73,000,000",income,0.7079549174078987,Operating Expenses,0.2435901877745527
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,"48,754,000,000",income,0.6838434901988549,Operating Expenses,0.23309325315319715
InterestExpenseNonoperating,"1,346,000,000",income,0.7544409550515395,nonoperating expenses,0.23881187796383696
StockRepurchasedAndRetiredDuringPeriodShares,"318,000,000",cashflow,0.5193567715216292,financing activities,0.2040434304060511
GeneralAndAdministrativeExpense,"32,964,000,000",income,0.7056925976849386,Operating Expenses,0.2553025809403223
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,"12,044,000,000",income,0.7375903932934016,comprehensive income,0.13279194236259848
IncreaseDecreaseInOtherNoncurrentLiabilities,"4,315,000,000",cashflow,0.6324828598466379,operating activities,0.36186004349691386
CapitalExpendituresIncurredButNotYetPaid,"14,551,000,000",income,0.6175997316920573,Operating Expenses,0.11636131837242142
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0,income,0.7099066371160699,comprehensive income,0.13558818321251961
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"-2,404,000,000",income,0.7896469084901163,comprehensive income,0.4546213469687601
NetIncomeLossAttributableToParentDiluted,"124,658,000,000",income,0.7385411552443835,comprehensive income,0.1762250625027151
PaymentsToAcquireMarketableSecurities,"38,150,000,000",cashflow,0.5760730754903598,operating activities,0.2133371936653275
WeightedAverageNumberOfDilutedSharesOutstanding,"7,945,000,000",income,0.721699037706385,earnings per share,0.17642133716293795
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,"-23,000,000",cashflow,0.592433723224141,operating activities,0.3212252007015755
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,"28,573,000,000",cashflow,0.6317026030822244,operating activities,0.1294228799744995
EffectiveIncomeTaxRateReconciliationOtherAdjustments,0,income,0.6767537491221438,comprehensive income,0.1513865108106699
NetCashProvidedByUsedInInvestingActivities,"-100,615,000,000",cashflow,0.6228423763932861,investing activities,0.16042187469258037
DeferredStateAndLocalIncomeTaxExpenseBenefit,"-325,000,000",income,0.7226924306243439,Operating Expenses,0.11956424432324231
PaymentsOfDividends,"10,143,000,000",cashflow,0.5491277808908603,financing activities,0.24328224850171862
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"146,910,000,000",income,0.7472576358269772,comprehensive income,0.1165224912605211
NonoperatingIncomeExpense,"1,835,000,000",income,0.7621341054811,nonoperating expenses,0.2933321321716177
ImpairmentOfLongLivedAssetsHeldForUse,"9,683,000,000",income,0.5961134414515535,comprehensive income,0.13534263845484512
DeferredIncomeTaxExpenseBenefit,"-7,883,000,000",income,0.7272584105466894,Operating Expenses,0.11673842407161697
StockIssuedDuringPeriodSharesNewIssues,"119,000,000",income,0.5601006335635307,financing activities,0.1314455575125522
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,"24,377,000,000",income,0.6732000300626226,Operating Expenses,0.23853247866745864
OperatingLeaseCost,"6,307,000,000",income,0.7352321013760982,Operating Expenses,0.3013211235451842
OtherCostAndExpenseOperating,"310,958,000,000",income,0.7186658858559161,Operating Expenses,0.1564197607244445
CurrentIncomeTaxExpenseBenefit,"30,135,000,000",income,0.7358113061552617,Operating Expenses,0.11751155365781815
OperatingIncomeLoss,"290,150,000,000",income,0.7754542807566718,nonoperating expenses,0.13975614164012284
Depreciation,"58,760,000,000",income,0.6984183559993675,Operating Expenses,0.2470102394418577
NetCashProvidedByUsedInOperatingActivities,"212,916,000,000",cashflow,0.5966546853286977,operating activities,0.1811585084598435
CostOfRevenue,"81,369,000,000",income,0.722783391598252,Operating Expenses,0.1187420648257395
CostsAndExpenses,"270,937,000,000",income,0.7166089895360951,Operating Expenses,0.14417618964213263
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,0,income,0.7050704864815349,comprehensive income,0.1343721357149529
StockRepurchasedAndRetiredDuringPeriodValue,"107,463,000,000",cashflow,0.5330193701690396,financing activities,0.216684145241915
ProceedsFromIssuanceOfLongTermDebt,"28,808,000,000",cashflow,0.5237491532349656,financing activities,0.17551744771235528
WeightedAverageNumberOfSharesOutstandingBasic,"15,590,000,000",income,0.7251877915368635,earnings per share,0.17395196367549257
EarningsPerShareBasic,48,income,0.7245371580223356,earnings per share,0.16676022866264417
NetCashProvidedByUsedInFinancingActivities,"-82,417,000,000",cashflow,0.607117600927555,financing activities,0.18966386281100914
DeferredForeignIncomeTaxExpenseBenefit,"-140,000,000",income,0.7253836372731137,Operating Expenses,0.11586583839569005
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,"150,000,000",income,0.5246752184755903,disclosures,0.18011858641112655
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,"12,520,000,000",cashflow,0.5322423082673493,disclosures,0.2535743039305822
UndistributedEarnings,"119,586,000,000",income,0.5654263169849773,disclosures,0.16842399829383023
IncreaseDecreaseInAccountsReceivable,"3,653,000,000",cashflow,0.6542191649216067,operating activities,0.4089919364442411
IncomeTaxesPaidNet,"23,568,000,000",income,0.6669157127794366,comprehensive income,0.12526032366793405
AllocatedShareBasedCompensationExpense,"85,418,000,000",income,0.7296096583683842,Operating Expenses,0.3274210424943412
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,0,income,0.703314034185555,comprehensive income,0.13075449259646843
GoodwillAcquiredDuringPeriod,"357,000,000",cashflow,0.5406255831947651,investing activities,0.1493351089484263
InvestmentIncomeInterest,"4,617,000,000",income,0.6534969345844569,comprehensive income,0.11873807909135559
AdvertisingExpense,"6,730,000,000",income,0.6945125271785104,Operating Expenses,0.18452761695765754
RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability,"992,000,000",cashflow,0.5692253471733517,disclosures,0.257948705476301
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,"134,866,000,000",income,0.7360585890449478,comprehensive income,0.1294159270900439
IncreaseDecreaseInAccountsPayableTrade,"634,000,000",cashflow,0.6615048518607645,operating activities,0.4153796502222202
CommonStockDividendsPerShareDeclared,2,income,0.6821352822182374,financing activities,0.11544422888407677
NetIncomeLoss,"124,658,000,000",income,0.7745065551750372,net income,0.1669207521617526
FinanceLeasePrincipalPayments,"3,877,000,000",cashflow,0.5292648573025014,financing activities,0.23656431396458874
ComprehensiveIncomeNetOfTax,"122,254,000,000",income,0.7825567714443384,comprehensive income,0.4449785003471281
