label,value,statement,statement_confidence,category,category_confidence
CurrentStateAndLocalTaxExpenseBenefit,"3,671,000,000",income,0.7061972012208413,Operating Expenses,0.13049855436229346
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,"-983,000,000",income,0.7914954741902475,comprehensive income,0.45539091789964053
StockRepurchasedDuringPeriodValue,"204,679,000,000",cashflow,0.5076331948318646,financing activities,0.18800504253251799
IncomeTaxExpenseBenefit,"25,644,000,000",income,0.7287159399080781,Operating Expenses,0.12204649031175586
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"-8,696,000,000",income,0.7896469084901163,comprehensive income,0.4546213469687601
IncreaseDecreaseInContractWithCustomerLiability,"11,954,000,000",cashflow,0.5580411824371059,operating activities,0.3192640957773533
PaymentsOfDebtRestructuringCosts,"5,171,000,000",income,0.5020482048293391,financing activities,0.18435081545808957
FinanceLeaseRightOfUseAssetAmortization,"2,512,000,000",income,0.6392132340752181,Operating Expenses,0.2519240869828139
OperatingIncomeLoss,"412,516,000,000",income,0.7754542807566718,nonoperating expenses,0.13975614164012284
CostOfGoodsAndServicesSold,"321,920,000,000",income,0.6387977427361476,Operating Expenses,0.12181183726050072
StockIssuedDuringPeriodValueNewIssues,"5,147,000,000",income,0.5355424509620739,financing activities,0.14959845972885957
FinitelivedIntangibleAssetsAcquired1,"16,080,000,000",income,0.5370238426043451,operating activities,0.11763532911573704
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,0,income,0.7050704864815349,comprehensive income,0.1343721357149529
PaymentsForRepurchaseOfCommonStock,"83,049,000,000",cashflow,0.5219655634329362,financing activities,0.23336988351954735
PaymentsForProceedsFromOtherInvestingActivities,"4,988,000,000",cashflow,0.6138369245197022,investing activities,0.216277928020582
GoodwillAcquiredDuringPeriod,"48,374,000,000",cashflow,0.5406255831947651,investing activities,0.1493351089484263
NetCashProvidedByUsedInInvestingActivities,"-70,111,000,000",cashflow,0.6228423763932861,investing activities,0.16042187469258037
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,"889,000,000",income,0.7477804025091069,Operating Expenses,0.14167810496605185
StockRepurchasedDuringPeriodShares,"591,000,000",income,0.5095135823846517,financing activities,0.17301508423275525
RevenueFromContractWithCustomerExcludingAssessedTax,"2,758,865,000,000",income,0.6747810846791529,operating activities,0.11682321985540589
GainLossOnInvestments,"3,450,000,000",income,0.6155411592181869,comprehensive income,0.13138629406577565
CurrentForeignTaxExpenseBenefit,"16,583,000,000",income,0.7157674344402234,Operating Expenses,0.1262972667812116
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,"2,243,000,000",income,0.5911810049537574,operating activities,0.12477081330037941
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0,income,0.7099066371160699,comprehensive income,0.13558818321251961
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,"-371,000,000",cashflow,0.5490329040583655,Operating Expenses,0.10635627447865606
IncreaseDecreaseInOtherNoncurrentLiabilities,"3,575,000,000",cashflow,0.6324828598466379,operating activities,0.36186004349691386
DebtSecuritiesAvailableForSaleRealizedGain,"317,000,000",income,0.7675406563090904,nonoperating expenses,0.22973222365393378
EarningsPerShareDiluted,23,income,0.720150030785493,earnings per share,0.17223880983531464
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"18,909,000,000",cashflow,0.5170222528121933,disclosures,0.22274372587613006
AllocatedShareBasedCompensationExpense,"18,909,000,000",income,0.7296096583683842,Operating Expenses,0.3274210424943412
DividendsCommonStockCash,"104,889,000,000",income,0.6025049962136925,financing activities,0.14231793898806144
IncreaseDecreaseInOtherCurrentAssets,"3,971,000,000",cashflow,0.6194120016723941,operating activities,0.3534530849585247
