label,value,statement_confidence,category,category_confidence
DeferredStateAndLocalIncomeTaxExpenseBenefit,"-1,272,000,000",0.7226924306243439,Operating Expenses,0.1195642443232423
StockholdersEquityOther,"-189,000,000",0.6471041631199166,Operating Expenses,0.1066047088822949
DeferredFederalIncomeTaxExpenseBenefit,"-4,732,000,000",0.7254441182715959,Operating Expenses,0.1192554914445819
DeferredIncomeTaxExpenseBenefit,"-5,841,000,000",0.7272584105466894,Operating Expenses,0.1167384240716169
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,0,0.6405659871550817,Operating Expenses,0.2128650207118073
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,0,0.6411690186383711,Operating Expenses,0.2134028102868255
FinanceLeaseInterestExpense,"1,151,000,000",0.6715667503517021,Operating Expenses,0.2562446303495362
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,"12,400,000,000",0.6732000300626226,Operating Expenses,0.2385324786674586
CurrentFederalTaxExpenseBenefit,"15,151,000,000",0.709602201577897,Operating Expenses,0.1309923490753158
GeneralAndAdministrativeExpense,"16,118,000,000",0.7056925976849386,Operating Expenses,0.2553025809403223
CurrentForeignTaxExpenseBenefit,"16,583,000,000",0.7157674344402234,Operating Expenses,0.1262972667812116
DeferredForeignIncomeTaxExpenseBenefit,"163,000,000",0.7253836372731137,Operating Expenses,0.11586583839569
AllocatedShareBasedCompensationExpense,"18,909,000,000",0.7296096583683842,Operating Expenses,0.3274210424943412
ShareBasedCompensation,"18,909,000,000",0.7152338597422776,Operating Expenses,0.3154267800350758
FinanceLeaseRightOfUseAssetAmortization,"2,512,000,000",0.6392132340752181,Operating Expenses,0.2519240869828139
IncomeTaxExpenseBenefit,"25,644,000,000",0.7287159399080781,Operating Expenses,0.1220464903117558
AdvertisingExpense,"3,100,000,000",0.6945125271785104,Operating Expenses,0.1845276169576575
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,"3,296,000,000",0.7243027331865374,Operating Expenses,0.2767168517347109
DefinedContributionPlanCostRecognized,"3,600,000,000",0.6563435893278494,Operating Expenses,0.1274091914924327
AmortizationOfIntangibleAssets,"3,600,000,000",0.6390254275540389,Operating Expenses,0.1524512426804761
CurrentStateAndLocalTaxExpenseBenefit,"3,671,000,000",0.7061972012208413,Operating Expenses,0.1304985543622934
