label,value,statement_confidence,category,category_confidence
DeferredIncomeTaxExpenseBenefit,"-5,546,000",0.7272584105466894,Operating Expenses,0.1167384240716169
DeferredForeignIncomeTaxExpenseBenefit,"-5,546,000",0.7253836372731137,Operating Expenses,0.11586583839569
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,"-591,595,000",0.7511750473225213,Operating Expenses,0.2749992218824313
StockIssuedDuringPeriodValueShareBasedCompensation,"-604,974,000",0.6190891424103603,Operating Expenses,0.2135738601861741
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,0,0.6411690186383711,Operating Expenses,0.2134028102868255
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,0,0.6405659871550817,Operating Expenses,0.2128650207118073
DeferredFederalIncomeTaxExpenseBenefit,0,0.7254441182715959,Operating Expenses,0.1192554914445819
DeferredStateAndLocalIncomeTaxExpenseBenefit,0,0.7226924306243439,Operating Expenses,0.1195642443232423
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,0,0.7243027331865374,Operating Expenses,0.2767168517347109
CurrentFederalTaxExpenseBenefit,0,0.709602201577897,Operating Expenses,0.1309923490753158
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,0,0.6213432039878546,Operating Expenses,0.2135836673480834
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,"1,064,000",0.6379160296600102,Operating Expenses,0.2093289509003937
ResearchAndDevelopmentExpense,"1,272,181,000",0.7028751409579383,Operating Expenses,0.2588834394659908
CostOfRevenue,"1,405,644,000",0.722783391598252,Operating Expenses,0.1187420648257395
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"1,629,700,000",0.6042738038462462,Operating Expenses,0.187963978041092
GeneralAndAdministrativeExpense,"1,714,139,000",0.7056925976849386,Operating Expenses,0.2553025809403223
ShareBasedCompensation,"1,732,339,000",0.7152338597422776,Operating Expenses,0.3154267800350758
VariableLeaseCost,"10,357,000",0.7138227474093007,Operating Expenses,0.3242180545598828
IncomeTaxExpenseBenefit,"102,138,000",0.7287159399080781,Operating Expenses,0.1220464903117558
LeaseCost,"102,268,000",0.7168663387097559,Operating Expenses,0.3509857614204221
IncomeTaxReconciliationNondeductibleExpenseOther,"108,512,000",0.714527868043805,Operating Expenses,0.130850895321423
ShareBasedCompensationArrangementByShareBasedPaymentAwardAcceleratedCompensationCost,"115,800,000",0.6555392780190276,Operating Expenses,0.2512416218625547
OperatingLeaseCost,"119,627,000",0.7352321013760982,Operating Expenses,0.3013211235451842
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,"162,000,000",0.6241155733390253,Operating Expenses,0.2111093300575163
AmortizationOfIntangibleAssets,"17,400,000",0.6390254275540389,Operating Expenses,0.1524512426804761
NumberOfOperatingSegments,2,0.6535282983255543,Operating Expenses,0.1184691029620786
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,2,0.632963793518214,Operating Expenses,0.2155401106802905
