label,value,category,prediction_confidence
OperatingLeaseWeightedAverageDiscountRatePercent,0,noncurrent assets,0.16075921773122662
Cash,"15,530,000,000",current assets,0.18218432387475506
FinanceLeaseWeightedAverageDiscountRatePercent,0,noncurrent assets,0.18824631646277723
CommitmentsAndContingencies,,noncurrent assets,0.19335822999255803
DerivativeCollateralRightToReclaimCash,0,noncurrent assets,0.2012610414369963
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,"766,000,000",noncurrent assets,0.20151546583257038
Land,"8,394,000,000",noncurrent assets,0.20540406029032424
DeferredTaxLiabilitiesLeasingArrangements,"8,125,000,000",current liabilities,0.20622349860981753
LeaseholdImprovementsGross,"14,703,000,000",noncurrent assets,0.20810372975164626
LiabilitiesAndStockholdersEquity,"698,619,000,000",equity,0.20855363956706777
DerivativeCollateralObligationToReturnCash,"117,000,000",current liabilities,0.21212464244000848
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,"19,066,000,000",noncurrent assets,0.21518824058296823
BuildingsAndImprovementsGross,"98,942,000,000",noncurrent assets,0.21577282164524986
OtherReceivablesGrossCurrent,"1,965,000,000",current liabilities,0.21651123058718533
DebtInstrumentInterestRateEffectivePercentage,0,noncurrent assets,0.2172417579467082
DeferredTaxAssetsLiabilitiesNet,"20,268,000,000",noncurrent assets,0.21771740279879448
DeferredTaxLiabilitiesOther,"247,000,000",current liabilities,0.21875054620019438
DebtInstrumentInterestRateStatedPercentage,0,noncurrent assets,0.22146303403408577
LossContingencyRangeOfPossibleLossPortionNotAccrued,"600,000,000",current liabilities,0.22405129192443865
DeferredIncomeTaxLiabilities,"19,458,000,000",noncurrent assets,0.22848714484259625
DeferredIncomeTaxLiabilitiesNet,"428,000,000",noncurrent assets,0.22938360765590693
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,"2,250,000,000",noncurrent assets,0.2299148719532004
InventoryNet,"6,378,000,000",noncurrent assets,0.232167576399102
DerivativeFairValueOfDerivativeAsset,"738,000,000",subtotal assets,0.23274982942578024
InventoryWorkInProcessNetOfReserves,"161,000,000",noncurrent assets,0.2332343547389931
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,"5,250,000,000",noncurrent assets,0.23399758109065813
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,"3,000,000,000",noncurrent assets,0.23427046968732396
DerivativeAssetFairValueGrossAssetIncludingNotSubjectToMasterNettingArrangement,"2,262,000,000",subtotal assets,0.23595243337472235
FurnitureAndFixturesGross,"11,204,000,000",noncurrent assets,0.2397854028192903
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,"8,000,000,000",noncurrent assets,0.24099800079193096
DerivativeAssetFairValueGrossLiability,"271,000,000",subtotal assets,0.24125375793995385
InventoryRawMaterialsNetOfReserves,"2,334,000,000",noncurrent assets,0.24175896053873025
AccountsReceivableNetNoncurrent,"7,200,000,000",current assets,0.24265957178940473
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,"1,103,000,000",noncurrent assets,0.24288726468584448
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,"34,261,000,000",noncurrent assets,0.24759741313292147
FiniteLivedIntangibleAssetsGross,"87,104,000,000",noncurrent assets,0.2511575111379344
