label,value,statement,statement_confidence,category,category_confidence
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"-7,700,000",cashflow,0.5608883741915046,Operating Expenses,0.10584441055462462
NoncontrollingInterestIncreaseFromBusinessCombination,"75,243,000",income,0.6785928010193668,Operating Expenses,0.11559251850326493
DeferredForeignIncomeTaxExpenseBenefit,"-5,546,000",income,0.7253836372731137,Operating Expenses,0.11586583839569005
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,"1,289,652,000",income,0.7045449487046282,comprehensive income,0.11640856888286161
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"730,474,000",income,0.7472576358269772,comprehensive income,0.1165224912605211
DeferredIncomeTaxExpenseBenefit,"-5,546,000",income,0.7272584105466894,Operating Expenses,0.11673842407161697
RevenueFromContractWithCustomerExcludingAssessedTax,"21,247,170,000",income,0.6747810846791529,operating activities,0.11682321985540589
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,"76,923,000",income,0.7324454403159136,comprehensive income,0.11749123444578707
CurrentIncomeTaxExpenseBenefit,"56,584,000",income,0.7358113061552617,Operating Expenses,0.11751155365781815
NumberOfOperatingSegments,2,income,0.6535282983255543,Operating Expenses,0.11846910296207867
InvestmentIncomeInterest,"349,673,000",income,0.6534969345844569,comprehensive income,0.11873807909135559
CostOfRevenue,"1,405,644,000",income,0.722783391598252,Operating Expenses,0.1187420648257395
DeferredFederalIncomeTaxExpenseBenefit,0,income,0.7254441182715959,Operating Expenses,0.11925549144458199
DeferredStateAndLocalIncomeTaxExpenseBenefit,0,income,0.7226924306243439,Operating Expenses,0.11956424432324231
GrossProfit,"5,590,746,000",income,0.6136027758794177,comprehensive income,0.12076414836959988
ProfitLoss,"628,398,000",income,0.6444922925540495,comprehensive income,0.12147329477448297
ContractWithCustomerLiabilityRevenueRecognized,"787,000,000",income,0.6739902656310686,Revenue,0.12188172609707024
IncomeTaxExpenseBenefit,"102,138,000",income,0.7287159399080781,Operating Expenses,0.12204649031175586
ValuationAllowanceDeferredTaxAssetChangeInAmount,"658,700,000",income,0.5980783513072921,Operating Expenses,0.12234126174895253
IncomeTaxReconciliationTaxCreditsResearch,"184,071,000",income,0.6872341710113549,comprehensive income,0.12460976270474128
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,"3,613,000",income,0.5911810049537574,operating activities,0.12477081330037941
IncomeTaxesPaidNet,"32,598,000",income,0.6669157127794366,comprehensive income,0.12526032366793405
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"36,000",income,0.6000969196195484,comprehensive income,0.12568032699993598
StockIssuedDuringPeriodSharesRestrictedStockAwardNetOfForfeitures,"142,465,000",income,0.5484724062440957,financing activities,0.12620397570816605
CurrentForeignTaxExpenseBenefit,"51,930,000",income,0.7157674344402234,Operating Expenses,0.1262972667812116
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,"30,189,000",income,0.6101888130658213,comprehensive income,0.12792591622392194
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,0,income,0.6557380068537353,comprehensive income,0.12893829420995587
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,"-246,978,000",cashflow,0.6317026030822244,operating activities,0.1294228799744995
SegmentReportingOtherItemAmount,"-2,995,714,000",income,0.6098355536871829,comprehensive income,0.13018961847531563
CurrentStateAndLocalTaxExpenseBenefit,"4,654,000",income,0.7061972012208413,Operating Expenses,0.13049855436229346
IncomeTaxReconciliationNondeductibleExpenseOther,"108,512,000",income,0.714527868043805,Operating Expenses,0.13085089532142308
CurrentFederalTaxExpenseBenefit,0,income,0.709602201577897,Operating Expenses,0.13099234907531582
EffectiveIncomeTaxRateReconciliationBeatAmount,"39,900,000",income,0.7033869478419728,comprehensive income,0.13212056012161152
StockIssuedDuringPeriodSharesStockOptionsExercised,"165,036,000",income,0.5664670549766856,financing activities,0.1322452255889407
IncomeTaxReconciliationStateAndLocalIncomeTaxes,"4,440,000",income,0.6994613871088782,comprehensive income,0.13243573860238
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,"592,052,000",income,0.6494220958910025,comprehensive income,0.13255722005485857
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,"-14,076,000",income,0.7009123475816283,comprehensive income,0.13382287108105156
NetIncomeLossAttributableToNoncontrollingInterest,"15,889,000",income,0.745768915760299,comprehensive income,0.13754860712332465
IncomeTaxReconciliationNondeductibleExpense,"9,155,000",income,0.7231912645851222,Operating Expenses,0.13792538625206388
OperatingIncomeLoss,"269,168,000",income,0.7754542807566718,nonoperating expenses,0.13975614164012284
OtherOperatingActivitiesCashFlowStatement,"-37,612,000",income,0.5436210169692149,operating activities,0.14049039042502903
OtherSignificantNoncashTransactionValueOfConsiderationReceived1,"107,200,000",income,0.6312569547552038,comprehensive income,0.14087992971549407
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,"694,600,000",income,0.6133600157847198,comprehensive income,0.14108406654715314
SubleaseIncome,"36,110,000",income,0.6279345569688874,operating activities,0.14129419598498902
StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,0,income,0.5287012266771793,financing activities,0.14242041460348295
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,"59,573,000",income,0.6364023728938334,comprehensive income,0.14369721711439426
StockIssuedDuringPeriodValueStockOptionsExercised,"2,099,444,000",income,0.5411775152150513,financing activities,0.14966390101484314
AmortizationOfIntangibleAssets,"17,400,000",income,0.6390254275540389,Operating Expenses,0.1524512426804761
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,"409,500,000",income,0.57141562875341,Operating Expenses,0.15295014813016763
ProceedsFromStockOptionsExercised,"1,049,723,000",cashflow,0.5036821418956929,financing activities,0.15301357561255363
IncomeTaxReconciliationOtherAdjustments,"-179,000",income,0.6447383005538334,comprehensive income,0.15794048143889625
NetCashProvidedByUsedInInvestingActivities,"-3,097,262,000",cashflow,0.6228423763932861,investing activities,0.16042187469258037
EarningsPerShareBasic,0,income,0.7245371580223356,earnings per share,0.16676022866264417
NetIncomeLoss,"298,310,000",income,0.7745065551750372,net income,0.1669207521617526
EarningsPerShareDiluted,0,income,0.720150030785493,earnings per share,0.17223880983531464
StockRepurchasedDuringPeriodShares,"2,123,000",income,0.5095135823846517,financing activities,0.17301508423275525
WeightedAverageNumberOfSharesOutstandingBasic,"6,461,402,000",income,0.7251877915368635,earnings per share,0.17395196367549257
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,59,income,0.6290059177494066,Operating Expenses,0.17630879272382521
WeightedAverageNumberOfDilutedSharesOutstanding,"6,812,538,000",income,0.721699037706385,earnings per share,0.17642133716293795
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,34,income,0.6283962925521073,Operating Expenses,0.17734855564899119
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,"351,136,000",income,0.5246752184755903,disclosures,0.18011858641112655
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,26,income,0.6412745533400174,Operating Expenses,0.180311351953751
NetCashProvidedByUsedInOperatingActivities,"2,089,785,000",cashflow,0.5966546853286977,operating activities,0.1811585084598435
AdvertisingExpense,"78,200,000",income,0.6945125271785104,Operating Expenses,0.18452761695765754
OperatingLeasePayments,"128,776,000",income,0.658198701162852,comprehensive income,0.18527378383117352
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"1,629,700,000",income,0.6042738038462462,Operating Expenses,0.187963978041092
StockRepurchasedDuringPeriodValue,"128,392,000",cashflow,0.5076331948318646,financing activities,0.18800504253251799
OperatingExpenses,"5,329,278,000",income,0.7179115552427865,Operating Expenses,0.18918785606400587
NetCashProvidedByUsedInFinancingActivities,"768,199,000",cashflow,0.607117600927555,financing activities,0.18966386281100914
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,"4,647,000",income,0.6102266408160917,Operating Expenses,0.1917123064522532
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,5,income,0.6499188615561731,Operating Expenses,0.19275278146281458
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"27,334,000",income,0.6117802691908908,Operating Expenses,0.19306134664961175
ProceedsFromPaymentsForOtherFinancingActivities,"952,000",cashflow,0.6052881550976448,financing activities,0.19440432997568463
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,"35,643,000",income,0.611003616285784,Operating Expenses,0.1945046176261326
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,7,income,0.6343351965121736,Operating Expenses,0.1949718944015688
ProceedsFromSaleAndMaturityOfMarketableSecurities,"8,015,094,000",cashflow,0.5692593243091367,investing activities,0.20037172358752334
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsForfeituresAndExpirations,"4,160,000",income,0.6355713925132709,Operating Expenses,0.20260996727723687
StockRepurchasedAndRetiredDuringPeriodShares,"2,100,000",cashflow,0.5193567715216292,financing activities,0.2040434304060511
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,"4,389,100,000",income,0.6212883574171759,Operating Expenses,0.2070499253214779
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsGranted,"51,620,000",income,0.6297605139750304,Operating Expenses,0.20709199014209984
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,"1,064,000",income,0.6379160296600102,Operating Expenses,0.20932895090039375
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExercised,"41,023,000",income,0.629016906835685,Operating Expenses,0.2095968742250659
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,"162,000,000",income,0.6241155733390253,Operating Expenses,0.21110933005751636
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,0,income,0.6405659871550817,Operating Expenses,0.21286502071180738
PaymentsToAcquireMarketableSecurities,"11,156,819,000",cashflow,0.5760730754903598,operating activities,0.2133371936653275
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,0,income,0.6411690186383711,Operating Expenses,0.21340281028682556
StockIssuedDuringPeriodValueShareBasedCompensation,"-604,974,000",income,0.6190891424103603,Operating Expenses,0.21357386018617416
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,0,income,0.6213432039878546,Operating Expenses,0.21358366734808348
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,2,income,0.632963793518214,Operating Expenses,0.21554011068029055
PaymentsForProceedsFromOtherInvestingActivities,"-112,238,000",cashflow,0.6138369245197022,investing activities,0.216277928020582
StockRepurchasedAndRetiredDuringPeriodValue,"64,200,000",cashflow,0.5330193701690396,financing activities,0.216684145241915
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"1,734,158,000",cashflow,0.5170222528121933,disclosures,0.22274372587613006
PaymentsToAcquirePropertyPlantAndEquipment,"67,775,000",cashflow,0.567168129736046,operating activities,0.22458725915117578
StockIssuedDuringPeriodSharesShareBasedCompensation,"5,943,000",income,0.6450542308424319,Operating Expenses,0.2255518598809667
DepreciationDepletionAndAmortization,"87,463,000",income,0.6958733507987096,Operating Expenses,0.22756340042742335
PaymentsForRepurchaseOfCommonStock,"64,196,000",cashflow,0.5219655634329362,financing activities,0.23336988351954735
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,"218,280,000",income,0.6732000300626226,Operating Expenses,0.23853247866745864
DebtSecuritiesAvailableForSaleRealizedLoss,0,income,0.7606018204089213,nonoperating expenses,0.24256291373006794
DebtAndEquitySecuritiesUnrealizedGainLoss,"-304,574,000",income,0.7520198864630561,nonoperating income,0.24438764108072242
Depreciation,"43,200,000",income,0.6984183559993675,Operating Expenses,0.2470102394418577
ShareBasedCompensationArrangementByShareBasedPaymentAwardAcceleratedCompensationCost,"115,800,000",income,0.6555392780190276,Operating Expenses,0.2512416218625547
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,"86,432,000",cashflow,0.5322423082673493,disclosures,0.2535743039305822
GeneralAndAdministrativeExpense,"1,714,139,000",income,0.7056925976849386,Operating Expenses,0.2553025809403223
SellingAndMarketingExpense,"2,335,258,000",income,0.6950445180840228,Operating Expenses,0.2555037090410694
ResearchAndDevelopmentExpense,"1,272,181,000",income,0.7028751409579383,Operating Expenses,0.2588834394659908
NetIncomeLossAvailableToCommonStockholdersDiluted,"298,310,000",income,0.7772097676412837,net income,0.26558485342624244
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,"-591,595,000",income,0.7511750473225213,Operating Expenses,0.27499922188243137
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,0,income,0.7243027331865374,Operating Expenses,0.2767168517347109
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,"310,937,000",income,0.7612597283828039,comprehensive income,0.2939974483882899
OtherNonoperatingIncomeExpense,"-253,604,000",income,0.7521004403045564,nonoperating expenses,0.29439573106320316
EquitySecuritiesFvNiUnrealizedGainLoss,"-201,800,000",income,0.7722193631018036,nonoperating income,0.2945993887622153
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,"15,889,000",income,0.7778148040982763,comprehensive income,0.29637552709439635
OperatingLeaseCost,"119,627,000",income,0.7352321013760982,Operating Expenses,0.3013211235451842
ShareBasedCompensation,"1,732,339,000",income,0.7152338597422776,Operating Expenses,0.31542678003507585
ShortTermLeaseCost,"8,394,000",income,0.7151957431210403,Operating Expenses,0.3191927709165421
IncreaseDecreaseInContractWithCustomerLiability,"69,316,000",cashflow,0.5580411824371059,operating activities,0.3192640957773533
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,"23,806,000",cashflow,0.592433723224141,operating activities,0.3212252007015755
VariableLeaseCost,"10,357,000",income,0.7138227474093007,Operating Expenses,0.32421805455988284
AllocatedShareBasedCompensationExpense,"3,464,678,000",income,0.7296096583683842,Operating Expenses,0.3274210424943412
LeaseCost,"102,268,000",income,0.7168663387097559,Operating Expenses,0.35098576142042215
IncreaseDecreaseInDeferredRevenue,"40,714,000",cashflow,0.5995920252515359,operating activities,0.35959899349988794
IncreaseDecreaseInOtherNoncurrentLiabilities,"4,539,000",cashflow,0.6324828598466379,operating activities,0.36186004349691386
IncreaseDecreaseInOtherNoncurrentAssets,"-13,956,000",cashflow,0.6258469837491518,operating activities,0.3648898836329077
IncreaseDecreaseInAccruedLiabilities,"174,056,000",cashflow,0.6471728930637833,operating activities,0.3849859284297767
IncreaseDecreaseInAccountsReceivable,"390,135,000",cashflow,0.6542191649216067,operating activities,0.4089919364442411
IncreaseDecreaseInAccountsPayable,"-80,532,000",cashflow,0.668419353605868,operating activities,0.4233243782493898
ComprehensiveIncomeNetOfTax,"295,048,000",income,0.7825567714443384,comprehensive income,0.4449785003471281
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"-3,671,000",income,0.7904752939499337,comprehensive income,0.47104991135890945
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,"409,000",income,0.8145427304642079,comprehensive income,0.4844543506559224
OtherComprehensiveIncomeLossNetOfTax,"-3,262,000",income,0.8189923611153856,comprehensive income,0.552808217706707
