label,value,statement,statement_confidence,category,category_confidence
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,"10,957,000,000",operating activities,0.12942287997449956,operating activities,0.12942287997449956
AllocatedShareBasedCompensationExpense,"35,384,000,000",Operating Expenses,0.32742104249434123,Operating Expenses,0.32742104249434123
RevenueFromContractWithCustomerExcludingAssessedTax,"5,457,990,000,000",operating activities,0.11682321985540595,operating activities,0.11682321985540595
EarningsPerShareDiluted,19,earnings per share,0.17223880983531492,earnings per share,0.17223880983531492
EarningsPerShareBasic,19,earnings per share,0.16676022866264442,earnings per share,0.16676022866264442
ProceedsFromRepaymentsOfCommercialPaper,"-2,050,000,000",financing activities,0.20738366348820997,financing activities,0.20738366348820997
NetCashProvidedByUsedInInvestingActivities,"21,835,000,000",investing activities,0.1604218746925804,investing activities,0.1604218746925804
NetCashProvidedByUsedInOperatingActivities,"340,279,000,000",operating activities,0.18115850845984352,operating activities,0.18115850845984352
WeightedAverageNumberOfDilutedSharesOutstanding,"46,225,339,000",earnings per share,0.17642133716293817,earnings per share,0.17642133716293817
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,"131,804,000,000",comprehensive income,0.141567771239122,comprehensive income,0.141567771239122
CostOfGoodsAndServicesSold,"1,936,347,000,000",Operating Expenses,0.12181183726050072,Operating Expenses,0.12181183726050072
StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,"4,490,000,000",Operating Expenses,0.11978989133324351,Operating Expenses,0.11978989133324351
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"-637,000,000",comprehensive income,0.4710499113589098,comprehensive income,0.4710499113589098
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,"17,332,000,000",Operating Expenses,0.2330932531531972,Operating Expenses,0.2330932531531972
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"369,950,000,000",comprehensive income,0.11652249126052117,comprehensive income,0.11652249126052117
CommonStockDividendsPerShareDeclared,2,financing activities,0.11544422888407681,financing activities,0.11544422888407681
SellingGeneralAndAdministrativeExpense,"78,630,000,000",Operating Expenses,0.25783847998988696,Operating Expenses,0.25783847998988696
DeferredStateAndLocalIncomeTaxExpenseBenefit,"-486,000,000",Operating Expenses,0.11956424432324232,Operating Expenses,0.11956424432324232
SellingAndMarketingExpense,"112,846,000,000",Operating Expenses,0.2555037090410694,Operating Expenses,0.2555037090410694
CurrentIncomeTaxExpenseBenefit,"10,200,000,000",Operating Expenses,0.11751155365781828,Operating Expenses,0.11751155365781828
StockRepurchasedAndRetiredDuringPeriodShares,"1,774,463,000",financing activities,0.20404343040605114,financing activities,0.20404343040605114
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,"76,845,000",Operating Expenses,0.1945046176261326,Operating Expenses,0.1945046176261326
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,"28,532,000,000",Operating Expenses,0.23853247866745864,Operating Expenses,0.23853247866745864
IncomeTaxExpenseBenefit,"67,209,000,000",Operating Expenses,0.12204649031175592,Operating Expenses,0.12204649031175592
ContractWithCustomerLiabilityRevenueRecognized,"24,126,000,000",Revenue,0.12188172609707013,Revenue,0.12188172609707013
CurrentStateAndLocalTaxExpenseBenefit,"4,976,000,000",Operating Expenses,0.13049855436229352,Operating Expenses,0.13049855436229352
CurrentFederalTaxExpenseBenefit,"21,703,000,000",Operating Expenses,0.13099234907531582,Operating Expenses,0.13099234907531582
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"48,800,000,000",Operating Expenses,0.187963978041092,Operating Expenses,0.187963978041092
GeneralAndAdministrativeExpense,"22,207,000,000",Operating Expenses,0.2553025809403223,Operating Expenses,0.2553025809403223
PaymentsForRepurchaseOfCommonStock,"263,210,000,000",financing activities,0.23336988351954735,financing activities,0.23336988351954735
StockRepurchasedAndRetiredDuringPeriodValue,"352,244,000,000",financing activities,0.21668414524191504,financing activities,0.21668414524191504
IncomeTaxReconciliationTaxCreditsResearch,"3,658,000,000",comprehensive income,0.12460976270474136,comprehensive income,0.12460976270474136
ProceedsFromShortTermDebtMaturingInMoreThanThreeMonths,"5,836,000,000",financing activities,0.13785530576955893,financing activities,0.13785530576955893
OperatingIncomeLoss,"741,134,000,000",nonoperating expenses,0.13975614164012304,nonoperating expenses,0.13975614164012304
ProceedsFromRepaymentsOfShortTermDebtMaturingInMoreThanThreeMonths,"1,143,000,000",financing activities,0.1784471968376849,financing activities,0.1784471968376849
ShareBasedCompensation,"35,384,000,000",Operating Expenses,0.3154267800350759,Operating Expenses,0.3154267800350759
OtherNoncashIncomeExpense,"4,582,000,000",operating activities,0.19217214527014384,operating activities,0.19217214527014384
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"5,538,000,000",comprehensive income,0.4546213469687602,comprehensive income,0.4546213469687602
PaymentsOfDividends,"45,680,000,000",financing activities,0.24328224850171865,financing activities,0.24328224850171865
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,"-19,175,000,000",comprehensive income,0.13382287108105162,comprehensive income,0.13382287108105162
