label,value,category,prediction_confidence
DerivativeFairValueOfDerivativeNet,"-719,000,000",subtotal liabilities,0.1742331040115492
CommitmentsAndContingencies,,noncurrent assets,0.19335822999255792
ShortTermDebtWeightedAverageInterestRate,0,noncurrent assets,0.19445713514164764
DeferredTaxLiabilitiesOtherComprehensiveIncome,"712,000,000",equity,0.20593496261985897
DeferredTaxLiabilitiesLeasingArrangements,"1,862,000,000",current liabilities,0.2062234986098175
LiabilitiesAndStockholdersEquity,"662,404,000,000",equity,0.2085536395670679
StockRepurchaseProgramAuthorizedAmount1,"225,000,000,000",equity,0.21195845885125195
StandardProductWarrantyAccrual,"14,450,000,000",noncurrent assets,0.2127112919950918
DebtInstrumentInterestRateEffectivePercentage,0,noncurrent assets,0.21724175794670803
DeferredTaxAssetsLiabilitiesNet,"16,202,000,000",noncurrent assets,0.21771740279879429
DeferredTaxLiabilitiesOther,"1,305,000,000",current liabilities,0.21875054620019438
DebtInstrumentInterestRateStatedPercentage,0,noncurrent assets,0.22146303403408563
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,"12,200,000,000",noncurrent assets,0.22604497395189785
DeferredIncomeTaxLiabilities,"21,733,000,000",noncurrent assets,0.2284871448425961
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,"11,389,000,000",noncurrent assets,0.22991487195320032
InventoryNet,"8,167,000,000",noncurrent assets,0.2321675763991018
DerivativeFairValueOfDerivativeAsset,"8,588,000,000",subtotal assets,0.2327498294257802
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,"9,569,000,000",noncurrent assets,0.233997581090658
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,"10,115,000,000",noncurrent assets,0.2342704696873237
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,"10,914,000,000",noncurrent assets,0.2409980007919309
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,"55,341,000,000",noncurrent assets,0.24759741313292158
Assets,"662,404,000,000",noncurrent assets,0.2516138023162774
NontradeReceivablesCurrent,"44,203,000,000",current liabilities,0.2539494355236751
