label,value,category,prediction_confidence
EquitySecuritiesFvNi,"1,226,000,000",current assets,0.33411799338589654
CashAndCashEquivalentsAtCarryingValue,"100,432,000,000",current assets,0.3262587691663189
MarketableSecuritiesCurrent,"114,934,000,000",current assets,0.25704297451642055
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"120,726,000,000",current assets,0.3480917848568861
AssetsCurrent,"185,410,000,000",current assets,0.3189388544561074
RestrictedCashEquivalents,"2,050,000,000",current assets,0.30415507242474304
RestrictedCashAndCashEquivalentsNoncurrent,"2,683,000,000",current assets,0.2959738515176386
CashAndCashEquivalentsFairValueDisclosure,"216,804,000,000",current assets,0.2891247895949472
AccountsReceivableNetCurrent,"33,163,000,000",current assets,0.30089772546510163
RestrictedCashAndCashEquivalentsAtCarryingValue,"746,000,000",current assets,0.33683475299273935
PrepaidExpenseAndOtherAssetsCurrent,"9,029,000,000",current assets,0.2711432550162012
ContractWithCustomerLiability,"1,447,000,000",current liabilities,0.3479539291919434
OtherAccruedLiabilitiesCurrent,"12,443,000,000",current liabilities,0.5101798155377963
AccountsPayableTradeCurrent,"12,536,000,000",current liabilities,0.34150293264924386
EmployeeRelatedLiabilitiesCurrent,"13,009,000,000",current liabilities,0.4608524183808213
ContractualObligationDueInFifthYear,"153,000,000",current liabilities,0.26350818546465854
Liabilities,"169,872,000,000",current liabilities,0.2630180750770318
ContractualObligationDueInSecondYear,"2,548,000,000",current liabilities,0.25391851879285005
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,"2,657,000,000",current liabilities,0.38367035285414236
ContractualObligationDueAfterFifthYear,"2,749,000,000",current liabilities,0.24447027552530726
ContractualObligationDueInFourthYear,"227,000,000",current liabilities,0.25659870600148504
ContractualObligationDueInNextTwelveMonths,"26,335,000,000",current liabilities,0.3490121024577043
OperatingLeaseLiabilityCurrent,"3,565,000,000",current liabilities,0.4112220556679313
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,"34,120,000,000",current liabilities,0.2850350274563473
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,"4,391,000,000",current liabilities,0.24084169044279272
AccruedLiabilitiesCurrent,"49,455,000,000",current liabilities,0.5517281532567578
DeferredTaxLiabilitiesLeasingArrangements,"5,708,000,000",current liabilities,0.2062234986098175
LiabilitiesCurrent,"65,556,000,000",current liabilities,0.5155903418028194
ContractualObligation,"65,644,000,000",current liabilities,0.2983769844145551
TaxesPayableCurrent,"7,093,000,000",current liabilities,0.34964472261083124
FinanceLeaseLiability,"709,000,000",current liabilities,0.2674770845998172
ContractWithCustomerLiabilityCurrent,"721,000,000",current liabilities,0.47312370486854743
FinanceLeaseLiabilityCurrent,"76,000,000",current liabilities,0.4698137516729467
ContractualObligationDueInThirdYear,"812,000,000",current liabilities,0.2618553911679187
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,"82,210,000,000",current liabilities,0.21129727799776163
FinanceLeaseLiabilityPaymentsDue,"892,000,000",current liabilities,0.3162797705371618
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,"96,000,000",current liabilities,0.43707684921841977
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,"-3,900,000,000",equity,0.24185682825801658
AccumulatedOtherComprehensiveIncomeLossNetOfTax,"-5,252,000,000",equity,0.272257582398104
CommonStockValue,0,equity,0.3952298678465313
CommonStockParOrStatedValuePerShare,0,equity,0.453255547155457
