label,value,statement_confidence,category,category_confidence
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"-4,886,000",0.5608883741915045,Operating Expenses,0.1058444105546246
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"2,285,664,000",0.517022252812193,disclosures,0.2227437258761299
AdjustmentsToAdditionalPaidInCapitalOther,"31,007,000",0.5420657658612121,disclosures,0.2064896029671003
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,"52,253,000",0.5322423082673493,disclosures,0.253574303930582
ProceedsFromPaymentsForOtherFinancingActivities,"-2,407,000",0.6052881550976447,financing activities,0.1944043299756846
NetCashProvidedByUsedInFinancingActivities,"1,667,733,000",0.6071176009275548,financing activities,0.1896638628110091
PaymentsForRepurchaseOfConvertiblePreferredStock,"13,873,000",0.5170805238936618,financing activities,0.2062376070426034
PaymentsForRepurchaseOfCommonStock,"14,979,000",0.5219655634329362,financing activities,0.2333698835195473
PaymentsForRepurchaseOfRedeemableConvertiblePreferredStock,"168,000,000",0.5055563818154736,financing activities,0.1942453095036004
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,"17,000,000",0.5400212149659358,financing activities,0.141429930020292
StockRepurchasedDuringPeriodValue,"5,392,000",0.5076331948318644,financing activities,0.1880050425325179
ProceedsFromStockOptionsExercised,"7,500,000",0.5036821418956927,financing activities,0.1530135756125536
ProceedsFromDebtNetOfIssuanceCosts,"823,181,000",0.5196669589774201,financing activities,0.2256380390405669
NetCashProvidedByUsedInInvestingActivities,"-434,796,000",0.622842376393286,investing activities,0.1604218746925804
ProceedsFromSaleOfOtherAssetsInvestingActivities,"1,042,529,000",0.5690087525210483,investing activities,0.1843980993370776
PaymentsForProceedsFromOtherInvestingActivities,"2,770,000",0.6138369245197021,investing activities,0.2162779280205821
PaymentsToAcquireOtherInvestments,"23,009,000",0.6108197370422908,investing activities,0.1826836038572002
NetCashProvidedByUsedInOperatingActivities,"-127,972,000",0.5966546853286976,operating activities,0.1811585084598435
IncreaseDecreaseInDeferredRevenue,"-140,569,000",0.599592025251536,operating activities,0.359598993499888
IncreaseDecreaseInOtherNoncurrentLiabilities,"-3,094,000",0.6324828598466379,operating activities,0.3618600434969139
IncreaseDecreaseInContractWithCustomerLiability,"-56,591,000",0.5580411824371059,operating activities,0.3192640957773534
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,"1,100,079,000",0.6317026030822241,operating activities,0.1294228799744995
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,"10,685,000",0.592433723224141,operating activities,0.3212252007015756
IncreaseDecreaseInAccountsReceivable,"167,618,000",0.6542191649216069,operating activities,0.4089919364442411
PaymentsToAcquireMarketableSecurities,"308,315,000",0.5760730754903596,operating activities,0.2133371936653275
IncreaseDecreaseInOtherNoncurrentAssets,"34,201,000",0.6258469837491518,operating activities,0.3648898836329076
PaymentsToAcquirePropertyPlantAndEquipment,"37,959,000",0.5671681297360459,operating activities,0.2245872591511759
IncreaseDecreaseInAccountsPayable,"46,510,000",0.668419353605868,operating activities,0.4233243782493898
PaymentsToAcquireEquityMethodInvestments,"53,802,000",0.6017914505074847,operating activities,0.1568021986934378
IncreaseDecreaseInAccruedLiabilities,"57,483,000",0.6471728930637832,operating activities,0.3849859284297767
