label,value,statement_confidence,category,category_confidence
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount,"-2,244,000,000",0.7330995095372531,Operating Expenses,0.2020200016391719
DeferredIncomeTaxExpenseBenefit,"-33,145,000,000",0.7272584105466895,Operating Expenses,0.1167384240716169
DeferredFederalIncomeTaxExpenseBenefit,"-40,377,000,000",0.725444118271596,Operating Expenses,0.1192554914445819
CurrentStateAndLocalTaxExpenseBenefit,"1,481,000,000",0.7061972012208414,Operating Expenses,0.1304985543622935
StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,"1,483,000,000",0.7406169554813493,Operating Expenses,0.1197898913332435
OperatingLeaseCost,"1,500,000,000",0.7352321013760983,Operating Expenses,0.3013211235451843
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,101,0.6283962925521074,Operating Expenses,0.1773485556489912
OperatingExpenses,"104,071,000,000",0.7179115552427866,Operating Expenses,0.1891878560640059
CurrentForeignTaxExpenseBenefit,"11,082,000,000",0.7157674344402235,Operating Expenses,0.1262972667812116
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,120,0.6412745533400174,Operating Expenses,0.180311351953751
FederalIncomeTaxExpenseBenefitContinuingOperations,"13,738,000,000",0.7434410638860528,Operating Expenses,0.1198615121013127
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,153,0.6290059177494067,Operating Expenses,0.1763087927238252
SharesPaidForTaxWithholdingForShareBasedCompensation,"179,000,000",0.7079549174078987,Operating Expenses,0.2435901877745527
ShareBasedCompensation,"18,237,000,000",0.7152338597422777,Operating Expenses,0.3154267800350759
AllocatedShareBasedCompensationExpense,"18,237,000,000",0.7296096583683842,Operating Expenses,0.3274210424943412
ForeignIncomeTaxExpenseBenefitContinuingOperations,"18,312,000,000",0.7436141318745849,Operating Expenses,0.1172357754548701
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,"18,578,000,000",0.6732000300626227,Operating Expenses,0.2385324786674586
DeferredStateAndLocalIncomeTaxExpenseBenefit,"2,000,000",0.722692430624344,Operating Expenses,0.1195642443232423
OperatingLeasesRentExpenseNet,"2,500,000,000",0.7249593324312941,Operating Expenses,0.2010944592318868
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"27,000,000,000",0.6042738038462463,Operating Expenses,0.187963978041092
Depreciation,"30,300,000,000",0.6984183559993676,Operating Expenses,0.2470102394418577
IncomeTaxExpenseBenefit,"33,533,000,000",0.7287159399080783,Operating Expenses,0.1220464903117559
DepreciationDepletionAndAmortization,"34,506,000,000",0.6958733507987097,Operating Expenses,0.2275634004274233
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"485,611,000",0.6117802691908908,Operating Expenses,0.1930613466496117
ResearchAndDevelopmentExpense,"49,205,000,000",0.7028751409579386,Operating Expenses,0.2588834394659908
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,"504,966,000",0.611003616285784,Operating Expenses,0.1945046176261326
CurrentFederalTaxExpenseBenefit,"54,115,000,000",0.7096022015778971,Operating Expenses,0.1309923490753158
SellingGeneralAndAdministrativeExpense,"54,866,000,000",0.7098460572515586,Operating Expenses,0.2578384799898869
Revenues,"571,000,000",0.7252099183944728,Operating Expenses,0.1115439293518538
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,"6,336,000,000",0.7243027331865375,Operating Expenses,0.2767168517347109
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,"60,151,000",0.6102266408160918,Operating Expenses,0.1917123064522532
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,"647,000,000",0.7477804025091072,Operating Expenses,0.1416781049660518
DeferredForeignIncomeTaxExpenseBenefit,"7,230,000,000",0.7253836372731138,Operating Expenses,0.11586583839569
VariableLeaseCost,"9,300,000,000",0.7138227474093009,Operating Expenses,0.3242180545598828
InterestPaidNet,"9,447,000,000",0.6419867385559531,Operating Expenses,0.1172553392789317
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,"9,611,000,000",0.683843490198855,Operating Expenses,0.2330932531531972
InterestExpense,"9,689,000,000",0.7431364022514712,Operating Expenses,0.1910763312938704
CostOfGoodsAndServicesSold,"989,128,000,000",0.6387977427361479,Operating Expenses,0.1218118372605007
ContractWithCustomerLiabilityRevenueRecognized,"16,700,000,000",0.6739902656310687,Revenue,0.1218817260970701
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,"-10,765,000,000",0.7009123475816286,comprehensive income,0.1338228710810516
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,"-138,000,000",0.7636321351451519,comprehensive income,0.3590957820641055
OtherComprehensiveIncomeLossDerivativeExcludedComponentIncreaseDecreaseBeforeAdjustmentsAndTax,"-168,000,000",0.6519190572968211,comprehensive income,0.3520075478508118
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,"-405,000,000",0.7943655407543313,comprehensive income,0.5200200067410465
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"-845,000,000",0.7904752939499338,comprehensive income,0.4710499113589098
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0,0.7058660544117671,comprehensive income,0.1326334565093846
EffectiveIncomeTaxRateContinuingOperations,0,0.7274458841479491,comprehensive income,0.1161276869461497
GainLossFromComponentsExcludedFromAssessmentOfFairValueHedgeEffectivenessNet,"1,242,000,000",0.6491360513526951,comprehensive income,0.1486157190498635
