label,value,statement,statement_confidence,category,category_confidence
InterestExpenseDebt,"1,263,000,000",Operating Expenses,0.17692774979631257,Operating Expenses,0.17692774979631257
DeferredStateAndLocalIncomeTaxExpenseBenefit,"-325,000,000",Operating Expenses,0.11956424432324232,Operating Expenses,0.11956424432324232
DeferredIncomeTaxesAndTaxCredits,"-7,893,000,000",comprehensive income,0.10792395291154329,comprehensive income,0.10792395291154329
RevenueFromContractWithCustomerExcludingAssessedTax,"1,853,997,000,000",operating activities,0.11682321985540595,operating activities,0.11682321985540595
LaborAndRelatedExpense,"230,916,000,000",Operating Expenses,0.1665059950790718,Operating Expenses,0.1665059950790718
ProceedsFromIssuanceOfLongTermDebt,"28,808,000,000",financing activities,0.17551744771235525,financing activities,0.17551744771235525
StockholdersEquityOther,"-6,000,000",Operating Expenses,0.10660470888229497,Operating Expenses,0.10660470888229497
VariableLeaseCost,"1,787,000,000",Operating Expenses,0.32421805455988284,Operating Expenses,0.32421805455988284
SellingAndMarketingExpense,"38,910,000,000",Operating Expenses,0.2555037090410694,Operating Expenses,0.2555037090410694
GeneralAndAdministrativeExpense,"32,964,000,000",Operating Expenses,0.2553025809403223,Operating Expenses,0.2553025809403223
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"441,000,000",comprehensive income,0.12568032699993606,comprehensive income,0.12568032699993606
EffectiveIncomeTaxRateReconciliationFdiiPercent,0,comprehensive income,0.13536434187051805,comprehensive income,0.13536434187051805
CurrentFederalTaxExpenseBenefit,"20,597,000,000",Operating Expenses,0.13099234907531582,Operating Expenses,0.13099234907531582
GoodwillOtherIncreaseDecrease,"-18,000,000",operating activities,0.2814776313302423,operating activities,0.2814776313302423
AllocatedShareBasedCompensationExpense,"85,418,000,000",Operating Expenses,0.32742104249434123,Operating Expenses,0.32742104249434123
DeferredIncomeTaxExpenseBenefit,"-7,883,000,000",Operating Expenses,0.11673842407161697,Operating Expenses,0.11673842407161697
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,"12,044,000,000",comprehensive income,0.1327919423625986,comprehensive income,0.1327919423625986
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,"48,754,000,000",Operating Expenses,0.2330932531531972,Operating Expenses,0.2330932531531972
ForeignCurrencyTransactionGainLossBeforeTax,"-1,137,000,000",nonoperating expenses,0.19397493678755573,nonoperating expenses,0.19397493678755573
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,"1,063,000,000",comprehensive income,0.12792591622392205,comprehensive income,0.12792591622392205
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,0,comprehensive income,0.13075449259646849,comprehensive income,0.13075449259646849
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,"24,377,000,000",Operating Expenses,0.23853247866745864,Operating Expenses,0.23853247866745864
IncreaseDecreaseInAccountsPayableTrade,"634,000,000",operating activities,0.4153796502222203,operating activities,0.4153796502222203
OperatingIncomeLoss,"290,150,000,000",nonoperating expenses,0.13975614164012304,nonoperating expenses,0.13975614164012304
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,"5,252,000,000",comprehensive income,0.14369721711439434,comprehensive income,0.14369721711439434
EffectiveIncomeTaxRateContinuingOperations,0,comprehensive income,0.11612768694614978,comprehensive income,0.11612768694614978
Depreciation,"58,760,000,000",Operating Expenses,0.2470102394418577,Operating Expenses,0.2470102394418577
IncreaseDecreaseInAccountsReceivable,"3,653,000,000",operating activities,0.40899193644424114,operating activities,0.40899193644424114
CurrentIncomeTaxExpenseBenefit,"30,135,000,000",Operating Expenses,0.11751155365781828,Operating Expenses,0.11751155365781828
AdvertisingExpense,"6,730,000,000",Operating Expenses,0.18452761695765757,Operating Expenses,0.18452761695765757
IncreaseDecreaseInOtherNoncurrentLiabilities,"4,315,000,000",operating activities,0.3618600434969139,operating activities,0.3618600434969139
DividendsCommonStock,"5,121,000,000",financing activities,0.14438787109820297,financing activities,0.14438787109820297
IncomeTaxExpenseBenefit,"22,252,000,000",Operating Expenses,0.12204649031175592,Operating Expenses,0.12204649031175592
CostsAndExpenses,"270,937,000,000",Operating Expenses,0.14417618964213263,Operating Expenses,0.14417618964213263
CommonStockDividendsPerShareDeclared,2,financing activities,0.11544422888407681,financing activities,0.11544422888407681
ProceedsFromSaleAndMaturityOfMarketableSecurities,"35,131,000,000",investing activities,0.20037172358752336,investing activities,0.20037172358752336
FinanceLeaseInterestExpense,"59,000,000",Operating Expenses,0.2562446303495362,Operating Expenses,0.2562446303495362
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,"28,573,000,000",operating activities,0.12942287997449956,operating activities,0.12942287997449956
ShareBasedCompensation,"42,709,000,000",Operating Expenses,0.3154267800350759,Operating Expenses,0.3154267800350759
PaymentsForProceedsFromOtherInvestingActivities,"-102,000,000",investing activities,0.21627792802058218,investing activities,0.21627792802058218
TangibleAssetImpairmentCharges,"3,036,000,000",Operating Expenses,0.12561370649822612,Operating Expenses,0.12561370649822612
IncreaseDecreaseInAccruedLiabilities,"9,704,000,000",operating activities,0.3849859284297767,operating activities,0.3849859284297767
PaymentsOfDividends,"10,143,000,000",financing activities,0.24328224850171865,financing activities,0.24328224850171865
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"-1,311,000,000",Operating Expenses,0.10584441055462464,Operating Expenses,0.10584441055462464
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,"-425,000,000",comprehensive income,0.3644753301286466,comprehensive income,0.3644753301286466
AmortizationOfIntangibleAssets,"557,000,000",Operating Expenses,0.1524512426804761,Operating Expenses,0.1524512426804761
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,"134,866,000,000",comprehensive income,0.12941592709004396,comprehensive income,0.12941592709004396
