label,value,statement,statement_confidence,category,category_confidence
InterestExpense,"20,840,000",income,0.7431364022514712,Operating Expenses,0.19107633129387044
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,"1,102,353,000",income,0.6494220958910027,comprehensive income,0.13255722005485862
EarningsPerShareBasic,-2,income,0.7245371580223358,earnings per share,0.16676022866264442
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,"17,000,000",cashflow,0.5400212149659358,financing activities,0.14142993002029203
StockIssuedDuringPeriodValueStockOptionsExercised,"1,646,362,000",income,0.5411775152150513,financing activities,0.14966390101484317
DeferredIncomeTaxExpenseBenefit,"15,732,000",income,0.7272584105466895,Operating Expenses,0.11673842407161697
PaymentsToAcquirePropertyPlantAndEquipment,"37,959,000",cashflow,0.5671681297360459,operating activities,0.22458725915117592
TreasuryStockSharesRetired,"7,201,000",income,0.60995192234504,financing activities,0.11961296397638642
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"2,285,664,000",cashflow,0.517022252812193,disclosures,0.2227437258761299
ProceedsFromSaleOfOtherAssetsInvestingActivities,"1,042,529,000",cashflow,0.5690087525210483,investing activities,0.18439809933707768
OperatingLeasesRentExpenseSubleaseRentals1,"14,800,000",income,0.704688784942956,Operating Expenses,0.2056136248791881
StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,"48,413,000",income,0.5805016253941063,comprehensive income,0.12566664227945215
PaymentsToAcquireOtherInvestments,"23,009,000",cashflow,0.6108197370422908,investing activities,0.18268360385720026
EarningsPerShareDiluted,-2,income,0.720150030785493,earnings per share,0.17223880983531492
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"-3,111,000",income,0.7904752939499338,comprehensive income,0.4710499113589098
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,"-469,307,000",income,0.7324454403159137,comprehensive income,0.11749123444578714
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,"1,100,079,000",cashflow,0.6317026030822241,operating activities,0.12942287997449956
CurrentIncomeTaxExpenseBenefit,"15,892,000",income,0.7358113061552618,Operating Expenses,0.11751155365781828
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,"1,081,000",income,0.6101888130658214,comprehensive income,0.12792591622392205
AllocatedShareBasedCompensationExpense,"5,351,274,000",income,0.7296096583683842,Operating Expenses,0.32742104249434123
RevenueFromContractWithCustomerExcludingAssessedTax,"6,754,234,000",income,0.674781084679153,operating activities,0.11682321985540595
ComprehensiveIncomeNetOfTax,"-2,269,527,000",income,0.7825567714443386,comprehensive income,0.4449785003471284
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"-4,886,000",cashflow,0.5608883741915045,Operating Expenses,0.10584441055462464
IncreaseDecreaseInOtherNoncurrentLiabilities,"-3,094,000",cashflow,0.6324828598466379,operating activities,0.3618600434969139
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,"2,105,319,000",income,0.5572418662724529,financing activities,0.1312299954227376
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"-4,469,584,000",income,0.7472576358269774,comprehensive income,0.11652249126052117
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,"5,514,007,000",income,0.7045449487046285,comprehensive income,0.11640856888286172
IncomeTaxReconciliationStateAndLocalIncomeTaxes,"551,000",income,0.6994613871088784,comprehensive income,0.13243573860238006
ProceedsFromDebtNetOfIssuanceCosts,"823,181,000",cashflow,0.5196669589774201,financing activities,0.22563803904056692
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,6,income,0.6398808611275261,Operating Expenses,0.1915069503132612
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"-3,111,000",income,0.7896469084901163,comprehensive income,0.4546213469687602
LeaseCost,"95,238,000",income,0.716866338709756,Operating Expenses,0.35098576142042215
WeightedAverageNumberOfDilutedSharesOutstanding,"3,479,906,000",income,0.7216990377063851,earnings per share,0.17642133716293817
InterestPaidNet,"16,916,000",income,0.6419867385559531,Operating Expenses,0.11725533927893173
IncreaseDecreaseInContractWithCustomerLiability,"-56,591,000",cashflow,0.5580411824371059,operating activities,0.3192640957773534
TreasuryStockRetiredCostMethodAmount,0,income,0.6002040802182014,Operating Expenses,0.12879456510134957
TreasuryStockValueAcquiredCostMethod,"14,979,000",income,0.5631534381330041,Operating Expenses,0.1231119102107374
Depreciation,"38,900,000",income,0.6984183559993676,Operating Expenses,0.2470102394418577
AssetImpairmentCharges,"24,081,000",income,0.6098965800845145,Operating Expenses,0.12542470239448777
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,2,income,0.6343351965121736,Operating Expenses,0.19497189440156887
WeightedAverageNumberOfSharesOutstandingBasic,"3,478,298,000",income,0.7251877915368636,earnings per share,0.17395196367549282
ProceedsFromIssuanceOfCommonStock,"743,782,000",income,0.5022677876175933,financing activities,0.19080095264539212
IncreaseDecreaseInOtherNoncurrentAssets,"34,201,000",cashflow,0.6258469837491518,operating activities,0.36488988363290764
PaymentsForProceedsFromOtherInvestingActivities,"2,770,000",cashflow,0.6138369245197021,investing activities,0.21627792802058218
StockIssuedDuringPeriodSharesStockOptionsExercised,"317,490,849",income,0.5664670549766857,financing activities,0.1322452255889407
CostOfRevenue,"934,324,000",income,0.7227833915982522,Operating Expenses,0.1187420648257395
