label,value,statement_confidence,category,category_confidence
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,"-1,018,638,000",0.7511750473225215,Operating Expenses,0.2749992218824315
DeferredFederalIncomeTaxExpenseBenefit,"-111,000",0.725444118271596,Operating Expenses,0.1192554914445819
TreasuryStockRetiredCostMethodAmount,0,0.6002040802182014,Operating Expenses,0.1287945651013495
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,0,0.6428565314054541,Operating Expenses,0.2155014045936014
ShareBasedCompensationArrangementByShareBasedPaymentAwardPercentageOfOutstandingStockMaximum,0,0.6367441223694893,Operating Expenses,0.2031107289251407
CurrentFederalTaxExpenseBenefit,0,0.7096022015778971,Operating Expenses,0.1309923490753158
DeferredStateAndLocalIncomeTaxExpenseBenefit,0,0.722692430624344,Operating Expenses,0.1195642443232423
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,0,0.6213432039878546,Operating Expenses,0.2135836673480835
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,1,0.6329637935182141,Operating Expenses,0.2155401106802905
ResearchAndDevelopmentExpense,"1,253,710,000",0.7028751409579386,Operating Expenses,0.2588834394659908
GeneralAndAdministrativeExpense,"1,601,919,000",0.7056925976849387,Operating Expenses,0.2553025809403223
SellingAndMarketingExpense,"1,748,333,000",0.6950445180840229,Operating Expenses,0.2555037090410694
OperatingLeaseCost,"104,906,000",0.7352321013760983,Operating Expenses,0.3013211235451843
ShortTermLeaseCost,"13,107,000",0.7151957431210403,Operating Expenses,0.3191927709165422
OperatingLeasesRentExpenseSubleaseRentals1,"14,800,000",0.704688784942956,Operating Expenses,0.2056136248791881
TreasuryStockValueAcquiredCostMethod,"14,979,000",0.5631534381330041,Operating Expenses,0.1231119102107374
CurrentForeignTaxExpenseBenefit,"15,341,000",0.7157674344402235,Operating Expenses,0.1262972667812116
DeferredIncomeTaxExpenseBenefit,"15,732,000",0.7272584105466895,Operating Expenses,0.1167384240716169
DeferredForeignIncomeTaxExpenseBenefit,"15,843,000",0.7253836372731138,Operating Expenses,0.11586583839569
CurrentIncomeTaxExpenseBenefit,"15,892,000",0.7358113061552618,Operating Expenses,0.1175115536578182
InterestPaidNet,"16,916,000",0.6419867385559531,Operating Expenses,0.1172553392789317
VariableLeaseCost,"16,951,000",0.7138227474093009,Operating Expenses,0.3242180545598828
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,2,0.6343351965121736,Operating Expenses,0.1949718944015688
InterestExpense,"20,840,000",0.7431364022514712,Operating Expenses,0.1910763312938704
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,24,0.6290059177494067,Operating Expenses,0.1763087927238252
AssetImpairmentCharges,"24,081,000",0.6098965800845145,Operating Expenses,0.1254247023944877
AdvertisingExpense,"26,300,000",0.6945125271785105,Operating Expenses,0.1845276169576575
ShareBasedCompensation,"3,230,887,000",0.7152338597422777,Operating Expenses,0.3154267800350759
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"31,997,000",0.6117802691908908,Operating Expenses,0.1930613466496117
OperatingLeasesRentExpenseNet,"38,500,000",0.7249593324312941,Operating Expenses,0.2010944592318868
Depreciation,"38,900,000",0.6984183559993676,Operating Expenses,0.2470102394418577
OperatingExpenses,"4,603,962,000",0.7179115552427866,Operating Expenses,0.1891878560640059
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,"4,864,900,000",0.6212883574171759,Operating Expenses,0.2070499253214778
DepreciationDepletionAndAmortization,"41,023,000",0.6958733507987097,Operating Expenses,0.2275634004274233
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,5,0.6499188615561732,Operating Expenses,0.1927527814628146
