label,value,category,prediction_confidence
OperatingLeaseWeightedAverageDiscountRatePercent,0,noncurrent assets,0.16075921773122648
MoneyMarketFundsAtCarryingValue,"1,583,100,000",noncurrent assets,0.18766633386283305
CertificatesOfDepositAtCarryingValue,"125,989,000",noncurrent assets,0.18869475779992478
CommitmentsAndContingencies,,noncurrent assets,0.19335822999255792
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,"885,719",equity,0.1972792420918881
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,13,noncurrent assets,0.19750533260859496
LineOfCreditFacilityMaximumBorrowingCapacity,"400,000,000",noncurrent assets,0.19874351676304414
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,"12,978,930,000",equity,0.19972503045786028
LettersOfCreditOutstandingAmount,"193,000,000",noncurrent assets,0.20305720921606213
DeferredTaxLiabilitiesLeasingArrangements,"117,330,000",current liabilities,0.2062234986098175
SharePrice,13,noncurrent assets,0.20690536341021717
LiabilitiesAndStockholdersEquity,"5,937,954,000",equity,0.2085536395670679
RestrictedCashNoncurrent,"389,859,000",noncurrent assets,0.20895660459087653
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableWeightedAverageExercisePrice,5,noncurrent assets,0.215424390132696
RestrictedCashCurrent,"126,012,000",current assets,0.21614660305184122
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber,"169,563",noncurrent assets,0.22002472018922292
AdditionalPaidInCapital,"14,265,942,000",equity,0.22078173640604387
DeferredTaxAssetsOperatingLossCarryforwards,"2,351,635,000",noncurrent assets,0.22155670797530386
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,"2,223,706,000",noncurrent assets,0.22178865389289526
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,"1,811,000,000",noncurrent assets,0.22604497395189785
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"338,619,000",noncurrent assets,0.2289066888676698
LineOfCreditFacilityRemainingBorrowingCapacity,"400,000,000",current liabilities,0.23735852053013848
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,16,noncurrent assets,0.23813399782988517
