label,value,category,prediction_confidence
AllowanceForDoubtfulAccountsReceivableCurrent,"1,199,000,000",current assets,0.2925675458942428
EquitySecuritiesFvNi,"13,614,000,000",current assets,0.33411799338589654
OtherAssetsCurrent,"21,628,000,000",current assets,0.30622838760663945
CashCashEquivalentsAndShortTermInvestments,"270,346,000,000",current assets,0.314558627889987
AssetsCurrent,"357,467,000,000",current assets,0.3189388544561074
AccountsReceivableNetNoncurrent,"4,900,000,000",current assets,0.24265957178940473
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"44,541,000,000",current assets,0.3480917848568861
AccountsReceivableNetCurrent,"61,535,000,000",current assets,0.30089772546510163
CashAndCashEquivalentsAtCarryingValue,"63,922,000,000",current assets,0.3262587691663189
Cash,"9,681,000,000",current assets,0.1821843238747551
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,"1,807,000,000",current liabilities,0.38367035285414236
FinanceLeaseLiabilityPaymentsDue,"12,023,000,000",current liabilities,0.3162797705371618
EmployeeRelatedLiabilitiesCurrent,"14,704,000,000",current liabilities,0.4608524183808213
LiabilitiesCurrent,"141,730,000,000",current liabilities,0.5155903418028194
ContractWithCustomerLiability,"152,772,000,000",current liabilities,0.3479539291919434
OtherLiabilitiesCurrent,"19,378,000,000",current liabilities,0.4162538367932204
AccountsPayableCurrent,"21,912,000,000",current liabilities,0.3670953295654334
RevenueRemainingPerformanceObligation,"218,000,000,000",current liabilities,0.3584909771551621
DerivativeCollateralObligationToReturnCash,"232,000,000",current liabilities,0.2121246424400084
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,"3,750,000,000",current liabilities,0.2633346637845105
LossContingencyAccrualCarryingValueCurrent,"306,000,000",current liabilities,0.34471745945563165
FinanceLeaseLiability,"32,140,000,000",current liabilities,0.2674770845998172
Liabilities,"367,233,000,000",current liabilities,0.2630180750770318
DeferredTaxLiabilitiesLeasingArrangements,"4,327,000,000",current liabilities,0.2062234986098175
LossContingencyRangeOfPossibleLossPortionNotAccrued,"500,000,000",current liabilities,0.22405129192443865
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,"6,900,000,000",current liabilities,0.2850350274563473
DeferredTaxLiabilitiesOther,"635,000,000",current liabilities,0.21875054620019438
ContractWithCustomerLiabilityCurrent,"68,676,000,000",current liabilities,0.47312370486854743
AccruedIncomeTaxesCurrent,"7,795,000,000",current liabilities,0.3467264858122909
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,"880,000,000",current liabilities,0.43707684921841977
LongTermDebtCurrent,"9,265,000,000",current liabilities,0.31773451383863927
CommonStocksIncludingAdditionalPaidInCapital,"159,072,000,000",equity,0.3282508133394455
AccumulatedOtherComprehensiveIncomeLossNetOfTax,"2,846,000,000",equity,0.272257582398104
CommonStockSharesAuthorized,"24,000,000,000",equity,0.531821114427583
CommonStockSharesOutstanding,"30,599,000,000",equity,0.5313515429721937
RetainedEarningsAccumulatedDeficit,"58,716,000,000",equity,0.27560619568769934
LiabilitiesAndStockholdersEquity,"587,867,000,000",equity,0.2085536395670679
StockholdersEquity,"696,311,000,000",equity,0.2881096999224523
DebtInstrumentInterestRateEffectivePercentage,0,noncurrent assets,0.21724175794670803
DebtInstrumentInterestRateStatedPercentage,0,noncurrent assets,0.22146303403408563
DerivativeCollateralRightToReclaimCash,0,noncurrent assets,0.20126104143699625
FinanceLeaseWeightedAverageDiscountRatePercent,0,noncurrent assets,0.1882463164627771
OperatingLeaseWeightedAverageDiscountRatePercent,0,noncurrent assets,0.16075921773122648
