label,value,statement_confidence,category,prediction_confidence
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"-10,661,000,000",0.6919014209983353,comprehensive income,0.7264572737951136
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,"-11,596,000,000",0.852270248207978,comprehensive income,0.8267538935651737
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,"-11,615,000,000",0.4121451263713738,comprehensive income,0.5818588569357713
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,"-11,727,000,000",0.8872676056369888,comprehensive income,0.9042583994689526
IncomeTaxReconciliationOtherAdjustments,"-275,000,000",0.5035487721706341,comprehensive income,0.6049283979505123
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount,"-4,938,000,000",0.5153941302741126,comprehensive income,0.5854394578284013
EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017Amount,"-40,000,000",0.4261193357676816,comprehensive income,0.500550271611119
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"-922,000,000",0.6991594365537495,comprehensive income,0.8427802856343352
EffectiveIncomeTaxRateContinuingOperations,0,0.5014102842024032,comprehensive income,0.6081271774795454
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0,0.4387942166524901,comprehensive income,0.5662501682767452
EffectiveIncomeTaxRateReconciliationFdiiAmount,"1,837,000,000",0.4448847703273895,comprehensive income,0.5587682112595536
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,"1,951,000,000",0.4179316138313502,comprehensive income,0.4329701493884289
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,"131,000,000",0.851418003609402,comprehensive income,0.8322516068369374
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,"178,100,000,000",0.6723209328409073,comprehensive income,0.7136360602192799
IncomeTaxReconciliationTaxCreditsResearch,"2,914,000,000",0.4996055378086876,comprehensive income,0.5663297149152352
ComprehensiveIncomeNetOfTax,"241,233,000,000",0.5860705839652418,comprehensive income,0.7226090504266404
IncomeTaxReconciliationStateAndLocalIncomeTaxes,"3,092,000,000",0.3730832876775747,comprehensive income,0.4778572572666908
IncomeTaxesPaidNet,"54,459,000,000",0.5704552086000343,comprehensive income,0.6427354829852352
DeferredFederalIncomeTaxExpenseBenefit,"-13,060,000,000",0.502927429824512,income tax,0.7158282968032614
DeferredIncomeTaxExpenseBenefit,"-4,094,000,000",0.538606175384551,income tax,0.7779442228241512
ForeignIncomeTaxExpenseBenefitContinuingOperations,"30,753,000,000",0.4747676946133297,income tax,0.6175472492295356
IncomeTaxExpenseBenefit,"43,507,000,000",0.5259810280933637,income tax,0.8149562900555811
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,"62,034,000,000",0.457504397612029,income tax,0.5917533769162742
DeferredForeignIncomeTaxExpenseBenefit,"9,199,000,000",0.4923415069001231,income tax,0.6826967196439204
OperatingIncomeLoss,"1,056,956,000,000",0.7303511697929763,net income,0.7873252370740274
NetIncomeLoss,"251,894,000,000",0.7706802437916237,net income,0.7855630714761591
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"295,401,000,000",0.6774153559233074,nonoperating expenses,0.7319631678716781
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,"1,179,000,000",0.4882983727856769,operating activities,0.4731939264306806
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,"3,554,000,000",0.4547522315012593,operating activities,0.4548578137976083
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"4,175,000,000",0.4927598435278166,operating activities,0.4698611171347049
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,"4,890,000,000",0.4523483310191802,operating activities,0.45619065269124
