label,value,statement,statement_confidence,category,category_confidence
ProceedsFromShortTermDebtMaturingInMoreThanThreeMonths,"34,614,000,000",cashflow,0.5051264926432437,financing activities,0.13785530576955893
StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,"1,483,000,000",income,0.7406169554813493,Operating Expenses,0.11978989133324351
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,"18,578,000,000",income,0.6732000300626227,Operating Expenses,0.23853247866745864
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"208,666,000,000",income,0.7472576358269774,comprehensive income,0.11652249126052117
RevenueFromContractWithCustomerExcludingAssessedTax,"4,260,374,000,000",income,0.674781084679153,operating activities,0.11682321985540595
NonoperatingIncomeExpense,"4,471,000,000",income,0.7621341054811002,nonoperating expenses,0.2933321321716178
OperatingIncomeLoss,"735,980,000,000",income,0.7754542807566716,nonoperating expenses,0.13975614164012304
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"18,612,000,000",cashflow,0.517022252812193,disclosures,0.2227437258761299
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,"-405,000,000",income,0.7943655407543313,comprehensive income,0.5200200067410465
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0,income,0.7058660544117671,comprehensive income,0.1326334565093846
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"27,000,000,000",income,0.6042738038462463,Operating Expenses,0.187963978041092
IncreaseDecreaseInOtherOperatingLiabilities,"42,665,000,000",cashflow,0.6100847666908227,operating activities,0.3473903596976956
DepreciationDepletionAndAmortization,"34,506,000,000",income,0.6958733507987097,Operating Expenses,0.22756340042742335
ResearchAndDevelopmentExpense,"49,205,000,000",income,0.7028751409579386,Operating Expenses,0.2588834394659908
InterestCostsIncurred,"9,000,000,000",income,0.6957846286225291,nonoperating expenses,0.14661442609452555
InterestPaidNet,"9,447,000,000",income,0.6419867385559531,Operating Expenses,0.11725533927893173
IncreaseDecreaseInOtherOperatingAssets,"9,138,000,000",cashflow,0.6066216450234392,operating activities,0.3532430548842059
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount,"-2,244,000,000",income,0.7330995095372531,Operating Expenses,0.20202000163917194
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,153,income,0.6290059177494067,Operating Expenses,0.17630879272382521
IncomeTaxReconciliationStateAndLocalIncomeTaxes,"694,000,000",income,0.6994613871088784,comprehensive income,0.13243573860238006
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,"1,868,000,000",income,0.7914954741902476,comprehensive income,0.4553909178996407
CurrentStateAndLocalTaxExpenseBenefit,"1,481,000,000",income,0.7061972012208414,Operating Expenses,0.13049855436229352
PaymentsOfDividends,"41,912,000,000",cashflow,0.5491277808908603,financing activities,0.24328224850171865
CostOfGoodsAndServicesSold,"989,128,000,000",income,0.6387977427361479,Operating Expenses,0.12181183726050072
CurrentForeignTaxExpenseBenefit,"11,082,000,000",income,0.7157674344402235,Operating Expenses,0.1262972667812116
EarningsPerShareDiluted,15,income,0.720150030785493,earnings per share,0.17223880983531492
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,"165,901,000,000",income,0.5737841810543199,comprehensive income,0.141567771239122
IncomeTaxReconciliationOtherAdjustments,"544,000,000",income,0.6447383005538334,comprehensive income,0.15794048143889639
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,"9,611,000,000",income,0.683843490198855,Operating Expenses,0.2330932531531972
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,"155,299,000,000",income,0.61336001578472,comprehensive income,0.14108406654715316
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,"1,693,000,000",income,0.5911810049537574,operating activities,0.12477081330037944
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,"62,000,000",income,0.7045449487046285,comprehensive income,0.11640856888286172
IncreaseDecreaseInContractWithCustomerLiability,"1,453,000,000",cashflow,0.5580411824371059,operating activities,0.3192640957773534
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,"267,000,000",income,0.8190706649492182,comprehensive income,0.5731096419290863
OciBeforeReclassificationsBeforeTaxAttributableToParent,"10,500,000,000",income,0.7342181023012351,comprehensive income,0.1768328808970632
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"2,620,000,000",income,0.7896469084901163,comprehensive income,0.4546213469687602
ContractWithCustomerLiabilityRevenueRecognized,"16,700,000,000",income,0.6739902656310687,Revenue,0.12188172609707013
StandardProductWarrantyAccrualWarrantiesIssued,"10,448,000,000",income,0.5724762844408744,operating activities,0.11122722984093367
CurrentFederalTaxExpenseBenefit,"54,115,000,000",income,0.7096022015778971,Operating Expenses,0.13099234907531582
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,"45,784,000,000",income,0.7324454403159137,comprehensive income,0.11749123444578714
ReclassificationFromAociCurrentPeriodBeforeTaxAttributableToParent,"2,986,000,000",income,0.7171032588716547,comprehensive income,0.23974576549997803
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"-845,000,000",income,0.7904752939499338,comprehensive income,0.4710499113589098
CommonStockDividendsPerShareDeclared,2,income,0.6821352822182375,financing activities,0.11544422888407681
OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationBeforeTax,"3,090,000,000",income,0.8343456925984954,comprehensive income,0.5673956954280998
RepaymentsOfLongTermDebt,"27,934,000,000",income,0.5172648689956127,financing activities,0.1777297896768516
EarningsPerShareBasic,15,income,0.7245371580223358,earnings per share,0.16676022866264442
OperatingExpenses,"104,071,000,000",income,0.7179115552427866,Operating Expenses,0.1891878560640059
NetCashProvidedByUsedInInvestingActivities,"57,673,000,000",cashflow,0.622842376393286,investing activities,0.1604218746925804
GrossProfit,"508,535,000,000",income,0.6136027758794179,comprehensive income,0.12076414836959996
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,"148,000,000",income,0.6557380068537354,comprehensive income,0.128938294209956
Depreciation,"30,300,000,000",income,0.6984183559993676,Operating Expenses,0.2470102394418577
EffectiveIncomeTaxRateContinuingOperations,0,income,0.7274458841479491,comprehensive income,0.11612768694614978
DeferredFederalIncomeTaxExpenseBenefit,"-40,377,000,000",income,0.725444118271596,Operating Expenses,0.11925549144458199
ProceedsFromPaymentsForOtherFinancingActivities,"-231,000,000",cashflow,0.6052881550976447,financing activities,0.19440432997568466
IncreaseDecreaseInAccountsReceivable,"-1,840,000,000",cashflow,0.6542191649216069,operating activities,0.40899193644424114
PaymentsToAcquireBusinessesNetOfCashAcquired,"2,869,000,000",cashflow,0.5706416789179493,operating activities,0.16430565695442642
PaymentsToAcquireOtherInvestments,"3,082,000,000",cashflow,0.6108197370422908,investing activities,0.18268360385720026
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"485,611,000",income,0.6117802691908908,Operating Expenses,0.19306134664961172
DeferredIncomeTaxExpenseBenefit,"-33,145,000,000",income,0.7272584105466895,Operating Expenses,0.11673842407161697
StockIssuedDuringPeriodValueNewIssues,"2,330,000,000",income,0.535542450962074,financing activities,0.14959845972885957
Dividends,"41,951,000,000",income,0.5662840264464974,financing activities,0.14175225956487214
IncreaseDecreaseInInventories,"-412,000,000",cashflow,0.6703329933153881,operating activities,0.4050138419977925
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,"19,500,000,000",cashflow,0.6317026030822241,operating activities,0.12942287997449956
IncreaseDecreaseInAccountsPayable,"3,190,000,000",cashflow,0.668419353605868,operating activities,0.4233243782493898
FederalIncomeTaxExpenseBenefitContinuingOperations,"13,738,000,000",income,0.7434410638860528,Operating Expenses,0.11986151210131277
NetIncomeLoss,"284,865,000,000",income,0.7745065551750374,net income,0.16692075216175264
ProceedsFromOtherShortTermDebt,"5,200,000,000",cashflow,0.5024515804494141,financing activities,0.13452162903554804
InvestmentIncomeInterestAndDividend,"14,410,000,000",income,0.6233382974519378,financing activities,0.11275218548873846
IncomeTaxReconciliationTaxCreditsResearch,"1,836,000,000",income,0.687234171011355,comprehensive income,0.12460976270474136
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,"504,966,000",income,0.611003616285784,Operating Expenses,0.1945046176261326
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,"1,560,000,000",income,0.8145427304642081,comprehensive income,0.4844543506559223
DeferredStateAndLocalIncomeTaxExpenseBenefit,"2,000,000",income,0.722692430624344,Operating Expenses,0.11956424432324232
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,"8,730,000,000",income,0.6101888130658214,comprehensive income,0.12792591622392205
ShareBasedCompensation,"18,237,000,000",income,0.7152338597422777,Operating Expenses,0.3154267800350759
GainLossFromComponentsExcludedFromAssessmentOfFairValueHedgeEffectivenessNet,"1,242,000,000",income,0.6491360513526951,comprehensive income,0.14861571904986356
OtherNonoperatingIncomeExpense,"-106,000,000",income,0.7521004403045564,nonoperating expenses,0.29439573106320327
DeferredForeignIncomeTaxExpenseBenefit,"7,230,000,000",income,0.7253836372731138,Operating Expenses,0.11586583839569005
AllocatedShareBasedCompensationExpense,"18,237,000,000",income,0.7296096583683842,Operating Expenses,0.32742104249434123
OtherNoncashIncomeExpense,"1,193,000,000",income,0.5724689377284962,operating activities,0.19217214527014384
StandardProductWarrantyAccrualPayments,"10,928,000,000",cashflow,0.5128757984720653,financing activities,0.1441095485435302
WeightedAverageNumberOfDilutedSharesOutstanding,"56,124,300,000",income,0.7216990377063851,earnings per share,0.17642133716293817
ForeignIncomeTaxExpenseBenefitContinuingOperations,"18,312,000,000",income,0.7436141318745849,Operating Expenses,0.11723577545487013
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,"-10,765,000,000",income,0.7009123475816286,comprehensive income,0.13382287108105162
EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017Amount,"933,000,000",income,0.6981551217681129,comprehensive income,0.13985759734883077
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,"60,151,000",income,0.6102266408160918,Operating Expenses,0.1917123064522532
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,"-138,000,000",income,0.7636321351451519,comprehensive income,0.35909578206410553
VariableLeaseCost,"9,300,000,000",income,0.7138227474093009,Operating Expenses,0.32421805455988284
OperatingLeasePayments,"1,500,000,000",income,0.658198701162852,comprehensive income,0.18527378383117374
OperatingLeasesRentExpenseNet,"2,500,000,000",income,0.7249593324312941,Operating Expenses,0.20109445923188682
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"3,689,000,000",income,0.6000969196195484,comprehensive income,0.12568032699993606
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,120,income,0.6412745533400174,Operating Expenses,0.18031135195375106
RepaymentsOfShortTermDebtMaturingInMoreThanThreeMonths,"39,487,000,000",income,0.5297630396717894,financing activities,0.1509142958173725
ProceedsFromRepaymentsOfShortTermDebtMaturingInMoreThanThreeMonths,"-4,873,000,000",cashflow,0.5437492906954191,financing activities,0.1784471968376849
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,"6,336,000,000",income,0.7243027331865375,Operating Expenses,0.2767168517347109
ProceedsFromSaleAndMaturityOfOtherInvestments,"2,079,000,000",cashflow,0.5995145946272965,investing activities,0.2640479063816323
OtherComprehensiveIncomeLossDerivativeExcludedComponentIncreaseDecreaseBeforeAdjustmentsAndTax,"-168,000,000",income,0.6519190572968211,comprehensive income,0.35200754785081184
RepaymentsOfOtherShortTermDebt,"5,200,000,000",income,0.5250776873076927,financing activities,0.1578268755851524
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,"-2,104,000,000",cashflow,0.5464301915964095,financing activities,0.18230521419620999
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,101,income,0.6283962925521074,Operating Expenses,0.17734855564899124
PaymentsForProceedsFromOtherInvestingActivities,"2,614,000,000",cashflow,0.6138369245197021,investing activities,0.21627792802058218
IncreaseDecreaseInOtherReceivables,"3,526,000,000",cashflow,0.6298375916388417,operating activities,0.3672308914850494
StockRepurchasedAndRetiredDuringPeriodValue,"285,173,000,000",cashflow,0.5330193701690393,financing activities,0.21668414524191504
WeightedAverageNumberDilutedSharesOutstandingAdjustment,"479,335,000",income,0.7002608339997425,earnings per share,0.14996728401401357
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,"1,597,000,000",income,0.7566840992984817,comprehensive income,0.3644753301286466
IncomeTaxesPaidNet,"35,181,000,000",income,0.6669157127794368,comprehensive income,0.12526032366793413
ComprehensiveIncomeNetOfTax,"171,995,000,000",income,0.7825567714443386,comprehensive income,0.4449785003471284
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,"37,000,000",income,0.7910042061487367,comprehensive income,0.47163947780093796
SharesPaidForTaxWithholdingForShareBasedCompensation,"179,000,000",income,0.7079549174078987,Operating Expenses,0.24359018777455274
SellingGeneralAndAdministrativeExpense,"54,866,000,000",income,0.7098460572515586,Operating Expenses,0.25783847998988696
PaymentsForRepurchaseOfCommonStock,"211,993,000,000",cashflow,0.5219655634329362,financing activities,0.23336988351954735
NetCashProvidedByUsedInFinancingActivities,"-265,672,000,000",cashflow,0.6071176009275548,financing activities,0.1896638628110091
PaymentsToAcquireAvailableForSaleSecuritiesDebt,"225,924,000,000",income,0.5623957004736192,comprehensive income,0.137153977012639
ProceedsFromRepaymentsOfCommercialPaper,"-6,977,000,000",cashflow,0.5653385647165867,financing activities,0.20738366348820997
InterestExpense,"9,689,000,000",income,0.7431364022514712,Operating Expenses,0.19107633129387044
StockRepurchasedAndRetiredDuringPeriodShares,"5,042,287,000",cashflow,0.5193567715216291,financing activities,0.20404343040605114
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,"647,000,000",income,0.7477804025091072,Operating Expenses,0.14167810496605188
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,"130,400,000,000",income,0.7375903932934019,comprehensive income,0.1327919423625986
NetCashProvidedByUsedInOperatingActivities,"227,499,000,000",cashflow,0.5966546853286976,operating activities,0.18115850845984352
DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount,"19,500",income,0.6217101376500905,comprehensive income,0.12257741366808009
IncomeTaxExpenseBenefit,"33,533,000,000",income,0.7287159399080783,Operating Expenses,0.12204649031175592
ProceedsFromIssuanceOfCommonStock,"2,330,000,000",income,0.5022677876175933,financing activities,0.19080095264539212
OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,"616,000,000",income,0.8297244213735502,comprehensive income,0.5281358873255524
WeightedAverageNumberOfSharesOutstandingBasic,"55,644,965,000",income,0.7251877915368636,earnings per share,0.17395196367549282
ProceedsFromIssuanceOfLongTermDebt,"30,023,000,000",cashflow,0.523749153234965,financing activities,0.17551744771235525
Revenues,"571,000,000",income,0.7252099183944728,Operating Expenses,0.11154392935185387
PaymentsToAcquirePropertyPlantAndEquipment,"31,117,000,000",cashflow,0.5671681297360459,operating activities,0.22458725915117592
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,"4,868,000,000",income,0.6364023728938334,comprehensive income,0.14369721711439434
OperatingLeaseCost,"1,500,000,000",income,0.7352321013760983,Operating Expenses,0.3013211235451843
OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax,"1,264,000,000",income,0.8299514062631727,comprehensive income,0.5846716227557033
