label,value,statement,statement_confidence,category,category_confidence
ShareBasedCompensation,"13,881,000,000",income,0.7152338597422777,Operating Expenses,0.3154267800350759
StockRepurchasedDuringPeriodShares,"728,000,000",income,0.5095135823846518,financing activities,0.17301508423275527
IncreaseDecreaseInOtherNoncurrentAssets,"3,156,000,000",cashflow,0.6258469837491518,operating activities,0.36488988363290764
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,0,income,0.6411690186383711,Operating Expenses,0.21340281028682564
AllocatedShareBasedCompensationExpense,"13,881,000,000",income,0.7296096583683842,Operating Expenses,0.32742104249434123
StockRepurchasedDuringPeriodValue,"143,428,000,000",cashflow,0.5076331948318644,financing activities,0.18800504253251799
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,"8,000,000",income,0.6557380068537354,comprehensive income,0.128938294209956
PaymentsOfDividendsCommonStock,"41,647,000,000",cashflow,0.5119257149041045,financing activities,0.23496786116650928
RevenueFromContractWithCustomerExcludingAssessedTax,"2,281,348,000,000",income,0.674781084679153,operating activities,0.11682321985540595
NetCashProvidedByUsedInOperatingActivities,"156,744,000,000",cashflow,0.5966546853286976,operating activities,0.18115850845984352
CostOfGoodsAndServicesSold,"254,682,000,000",income,0.6387977427361479,Operating Expenses,0.12181183726050072
DefinedContributionPlanCostRecognized,"2,684,000,000",income,0.6563435893278495,Operating Expenses,0.1274091914924327
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,0,income,0.7033140341855552,comprehensive income,0.13075449259646849
OperatingIncomeLoss,"357,870,000,000",income,0.7754542807566716,nonoperating expenses,0.13975614164012304
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,"3,678,000,000",income,0.8145427304642081,comprehensive income,0.4844543506559223
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"5,168,000,000",income,0.7896469084901163,comprehensive income,0.4546213469687602
NetIncomeLoss,"183,613,000,000",income,0.7745065551750374,net income,0.16692075216175264
PaymentsForProceedsFromOtherInvestingActivities,"1,339,000,000",cashflow,0.6138369245197021,investing activities,0.21627792802058218
IncreaseDecreaseInOtherCurrentLiabilities,"3,563,000,000",cashflow,0.6262702975818948,operating activities,0.35055877650143275
ReclassificationFromAociCurrentPeriodTax,"732,000,000",income,0.696232832523369,comprehensive income,0.22878142741984514
DividendsCommonStockCash,"101,681,000,000",income,0.6025049962136926,financing activities,0.14231793898806144
EquitySecuritiesFvNiUnrealizedGainLoss,"548,000,000",income,0.772219363101804,nonoperating income,0.2945993887622154
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,"7,551,000,000",cashflow,0.5322423082673493,disclosures,0.25357430393058206
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,"-7,324,000,000",cashflow,0.5464301915964095,financing activities,0.18230521419620999
StockIssuedDuringPeriodValueNewIssues,"9,174,000,000",income,0.535542450962074,financing activities,0.14959845972885957
GrossProfit,"431,747,000,000",income,0.6136027758794179,comprehensive income,0.12076414836959996
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,0,income,0.7050704864815351,comprehensive income,0.134372135714953
NetCashProvidedByUsedInInvestingActivities,"-34,057,000,000",cashflow,0.622842376393286,investing activities,0.1604218746925804
GoodwillOtherIncreaseDecrease,"-388,000,000",cashflow,0.6364577905822456,operating activities,0.2814776313302423
ReclassificationFromAociCurrentPeriodNetOfTaxAttributableToParent,"2,006,000,000",income,0.7275226173553336,comprehensive income,0.28214952464745463
Depreciation,"28,100,000,000",income,0.6984183559993676,Operating Expenses,0.2470102394418577
GoodwillAcquiredDuringPeriod,"15,724,000,000",cashflow,0.540625583194765,investing activities,0.14933510894842633
IncreaseDecreaseInAccruedIncomeTaxesPayable,"17,481,000,000",cashflow,0.5957066082689856,operating activities,0.3671893948198982
CurrentIncomeTaxExpenseBenefit,"44,701,000,000",income,0.7358113061552618,Operating Expenses,0.11751155365781828
DebtSecuritiesAvailableForSaleRealizedLoss,"1,117,000,000",income,0.7606018204089214,nonoperating expenses,0.242562913730068
SellingAndMarketingExpense,"55,280,000,000",income,0.6950445180840229,Operating Expenses,0.2555037090410694
OciBeforeReclassificationsNetOfTaxAttributableToParent,"5,512,000,000",income,0.7440621458057717,comprehensive income,0.19678418483069188
EarningsPerShareDiluted,22,income,0.720150030785493,earnings per share,0.17223880983531492
GainLossOnDerivativeInstrumentsNetPretax,"144,000,000",income,0.6628520643450951,comprehensive income,0.1608545522907936
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,"1,025,000,000",income,0.6101888130658214,comprehensive income,0.12792591622392205
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,"517,000,000",income,0.7914954741902476,comprehensive income,0.4553909178996407
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,"247,000,000",income,0.5246752184755904,disclosures,0.18011858641112638
ProceedsFromDebtMaturingInMoreThanThreeMonths,"7,183,000,000",cashflow,0.5161116291867556,financing activities,0.15870518467232567
GainLossOnInvestments,"6,158,000,000",income,0.615541159218187,comprehensive income,0.13138629406577576
OperatingLeaseImpairmentLoss,"161,000,000",income,0.6872242857783916,Operating Expenses,0.1807816874393169
DeferredForeignIncomeTaxExpenseBenefit,"-240,000,000",income,0.7253836372731138,Operating Expenses,0.11586583839569005
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,"2,577,000,000",income,0.7243027331865375,Operating Expenses,0.2767168517347109
EarningsPerShareBasic,22,income,0.7245371580223358,earnings per share,0.16676022866264442
EffectiveIncomeTaxRateContinuingOperations,0,income,0.7274458841479491,comprehensive income,0.11612768694614978
IncreaseDecreaseInAccountsReceivable,"9,251,000,000",cashflow,0.6542191649216069,operating activities,0.40899193644424114
PaymentsToAcquirePropertyPlantAndEquipment,"40,998,000,000",cashflow,0.5671681297360459,operating activities,0.22458725915117592
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,"1,782,000,000",income,0.7477804025091072,Operating Expenses,0.14167810496605188
ResearchAndDevelopmentExpense,"50,871,000,000",income,0.7028751409579386,Operating Expenses,0.2588834394659908
FinitelivedIntangibleAssetsAcquired1,"5,088,000,000",income,0.5370238426043453,operating activities,0.11763532911573711
GeneralAndAdministrativeExpense,"14,750,000,000",income,0.7056925976849387,Operating Expenses,0.2553025809403223
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"13,881,000,000",cashflow,0.517022252812193,disclosures,0.2227437258761299
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0,income,0.7058660544117671,comprehensive income,0.1326334565093846
ComprehensiveIncomeNetOfTax,"102,676,000,000",income,0.7825567714443386,comprehensive income,0.4449785003471284
NetCashProvidedByUsedInFinancingActivities,"-116,508,000,000",cashflow,0.6071176009275548,financing activities,0.1896638628110091
PaymentsForRepurchaseOfCommonStock,"53,232,000,000",cashflow,0.5219655634329362,financing activities,0.23336988351954735
CurrentForeignTaxExpenseBenefit,"14,323,000,000",income,0.7157674344402235,Operating Expenses,0.1262972667812116
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,"51,442,000,000",income,0.7360585890449481,comprehensive income,0.12941592709004396
OtherNonoperatingIncomeExpense,"-156,000,000",income,0.7521004403045564,nonoperating expenses,0.29439573106320327
PaymentsToAcquireInvestments,"272,267,000,000",cashflow,0.6136738498145379,operating activities,0.16290712160902346
IncreaseDecreaseInContractWithCustomerLiability,"12,596,000,000",cashflow,0.5580411824371059,operating activities,0.3192640957773534
OperatingLeasePayments,"5,021,000,000",income,0.658198701162852,comprehensive income,0.18527378383117374
RepaymentsOfDebtMaturingInMoreThanThreeMonths,"19,578,000,000",income,0.5081932181815714,financing activities,0.1714805537336953
PaymentsToAcquireBusinessesGross,"3,700,000,000",cashflow,0.5762403023032922,operating activities,0.17699298888064094
StockIssuedDuringPeriodSharesNewIssues,"238,000,000",income,0.5601006335635309,financing activities,0.1314455575125522
CurrentFederalTaxExpenseBenefit,"28,019,000,000",income,0.7096022015778971,Operating Expenses,0.13099234907531582
NonoperatingIncomeExpense,"2,222,000,000",income,0.7621341054811002,nonoperating expenses,0.2933321321716178
IncreaseDecreaseInOtherNoncurrentLiabilities,"1,919,000,000",cashflow,0.6324828598466379,operating activities,0.3618600434969139
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,"8,100,000,000",income,0.6732000300626227,Operating Expenses,0.23853247866745864
DeferredIncomeTaxExpenseBenefit,"-11,595,000,000",income,0.7272584105466895,Operating Expenses,0.11673842407161697
EffectOfExchangeRateOnCashAndCashEquivalents,"-266,000,000",income,0.5014927088003057,Operating Expenses,0.11366927284149912
InterestExpense,"8,010,000,000",income,0.7431364022514712,Operating Expenses,0.19107633129387044
EffectiveIncomeTaxRateReconciliationOtherAdjustments,0,income,0.6767537491221439,comprehensive income,0.15138651081066998
ProceedsFromIssuanceOfCommonStock,"3,487,000,000",income,0.5022677876175933,financing activities,0.19080095264539212
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"-922,000,000",income,0.7904752939499338,comprehensive income,0.4710499113589098
FinanceLeaseInterestPaymentOnLiability,"758,000,000",income,0.5021573678934677,financing activities,0.21426238874583606
StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,"33,000,000",income,0.5365511471343549,financing activities,0.13846937902540568
IncreaseDecreaseInAccountsPayable,"4,398,000,000",cashflow,0.668419353605868,operating activities,0.4233243782493898
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,"-172,000,000",income,0.8269608684058244,comprehensive income,0.5749734395708394
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,0,income,0.6082488737800998,comprehensive income,0.1281152065328519
TaxCutsAndJobsActOf2017IncomeTaxExpenseBenefit,"13,700,000,000",income,0.7214692408668915,Operating Expenses,0.11549912138424949
ImpairmentOfInvestments,"206,000,000",income,0.5322438010645894,comprehensive income,0.11773256712768122
PaymentsOfDebtExtinguishmentCosts,"3,417,000,000",income,0.5153773357875737,financing activities,0.18186050117971767
