label,value,statement_confidence,category,category_confidence
DeferredForeignIncomeTaxExpenseBenefit,"-140,000,000",0.7253836372731138,Operating Expenses,0.11586583839569
DeferredStateAndLocalIncomeTaxExpenseBenefit,"-325,000,000",0.722692430624344,Operating Expenses,0.1195642443232423
StockholdersEquityOther,"-6,000,000",0.6471041631199168,Operating Expenses,0.1066047088822949
DeferredFederalIncomeTaxExpenseBenefit,"-7,418,000,000",0.725444118271596,Operating Expenses,0.1192554914445819
DeferredIncomeTaxExpenseBenefit,"-7,883,000,000",0.7272584105466895,Operating Expenses,0.1167384240716169
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,0,0.7529256192915672,Operating Expenses,0.225848703052716
FinanceLeaseRightOfUseAssetAmortization,"1,116,000,000",0.6392132340752181,Operating Expenses,0.2519240869828139
InterestExpenseDebt,"1,263,000,000",0.7255700204507227,Operating Expenses,0.1769277497963125
VariableLeaseCost,"1,787,000,000",0.7138227474093009,Operating Expenses,0.3242180545598828
ResearchAndDevelopmentExpense,"117,694,000,000",0.7028751409579386,Operating Expenses,0.2588834394659908
CapitalExpendituresIncurredButNotYetPaid,"14,551,000,000",0.6175997316920573,Operating Expenses,0.1163613183724214
NumberOfReportingUnits,2,0.6522760337362098,Operating Expenses,0.1171464338190136
CurrentStateAndLocalTaxExpenseBenefit,"2,226,000,000",0.7061972012208414,Operating Expenses,0.1304985543622935
CurrentFederalTaxExpenseBenefit,"20,597,000,000",0.7096022015778971,Operating Expenses,0.1309923490753158
IncomeTaxExpenseBenefit,"22,252,000,000",0.7287159399080783,Operating Expenses,0.1220464903117559
LaborAndRelatedExpense,"230,916,000,000",0.6719891899706038,Operating Expenses,0.1665059950790718
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,"24,377,000,000",0.6732000300626227,Operating Expenses,0.2385324786674586
LongTermPurchaseCommitmentAmount,"24,970,000,000",0.5915399388843802,Operating Expenses,0.1369763800158396
CostsAndExpenses,"270,937,000,000",0.7166089895360953,Operating Expenses,0.1441761896421326
TangibleAssetImpairmentCharges,"3,036,000,000",0.6027968211882836,Operating Expenses,0.1256137064982261
CurrentIncomeTaxExpenseBenefit,"30,135,000,000",0.7358113061552618,Operating Expenses,0.1175115536578182
OtherCostAndExpenseOperating,"310,958,000,000",0.7186658858559162,Operating Expenses,0.1564197607244445
