label,value,statement_confidence,category,prediction_confidence
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,"-13,000,000",0.7675985570169457,comprehensive income,0.995995793763586
ReclassificationFromAociCurrentPeriodTax,"-14,000,000",0.4381620693350752,comprehensive income,0.6817818229481681
ForeignCurrencyTransactionGainLossBeforeTax,"-212,000,000",0.6413993400905199,comprehensive income,0.8646860944357537
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,"-3,636,000,000",0.8934607720563245,comprehensive income,0.9624141616477176
OciBeforeReclassificationsNetOfTaxAttributableToParent,"-3,695,000,000",0.4575223456531678,comprehensive income,0.9187114484169546
ReclassificationFromAociCurrentPeriodNetOfTaxAttributableToParent,"-46,000,000",0.4895692277251058,comprehensive income,0.9176993945819912
OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax,"-61,000,000",0.745510663805238,comprehensive income,0.994497600982864
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"-699,000,000",0.6878840967656131,comprehensive income,0.9444250885911248
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"-8,696,000,000",0.6900844387276213,comprehensive income,0.820818732152752
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,"-983,000,000",0.646995132673748,comprehensive income,0.7846533100719817
OtherComprehensiveIncomeLossBeforeReclassificationsTax,"-988,000,000",0.7519470065654659,comprehensive income,0.7786062288250821
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,0,0.4041343111099038,comprehensive income,0.6027422524806905
ComprehensiveIncomeNetOfTax,"173,942,000,000",0.5750644954738232,comprehensive income,0.7522379997378554
IncomeTaxesPaidNet,"41,900,000,000",0.558997920646886,comprehensive income,0.6277899422162077
DeferredFederalIncomeTaxExpenseBenefit,"-4,732,000,000",0.4687574046869827,income tax,0.6036933353108584
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0,0.3614953013619608,income tax,0.4851995243463574
EffectiveIncomeTaxRateReconciliationOtherAdjustments,0,0.4321074241805475,income tax,0.5547946342754002
EffectiveIncomeTaxRateReconciliationFdiiPercent,0,0.4166379540184739,income tax,0.5654276275589735
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,0,0.4580367441117475,income tax,0.5766521195522235
EffectiveIncomeTaxRateContinuingOperations,0,0.4780413294629306,income tax,0.7101284680803577
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0,0.4109022736125711,income tax,0.5220222881185443
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,"100,929,000,000",0.6709700360565364,income tax,0.6492834561574894
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,"106,925,000,000",0.6726179319153853,income tax,0.6556625289760948
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,"2,243,000,000",0.4010668460978499,income tax,0.415457073427729
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,"2,582,000,000",0.4264813809228737,income tax,0.4746582483118429
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"207,854,000,000",0.6759392888197824,income tax,0.8249263019501516
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,"6,000,000",0.4707270565698553,income tax,0.4901708017780444
InvestmentIncomeNet,"6,905,000,000",0.5952535574968075,income tax,0.6101768956911165
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,"827,000,000",0.4287602081867303,income tax,0.479102310036947
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"874,000,000",0.4731099596165253,income tax,0.4942898678087779
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,"889,000,000",0.5216533462925894,income tax,0.6157778664346845
NetIncomeLoss,"178,290,000,000",0.7938167410244003,net income,0.8644510760256464
OperatingIncomeLoss,"412,516,000,000",0.7517817341902555,net income,0.8506485909157139
DebtSecuritiesAvailableForSaleRealizedLoss,"215,000,000",0.7262097028945101,nonoperating expenses,0.9613003900216388
DebtSecuritiesAvailableForSaleRealizedGain,"317,000,000",0.6019357331071609,nonoperating expenses,0.9050657036371066
EquitySecuritiesFvNiUnrealizedGainLoss,"1,635,000,000",0.6938183011003526,nonoperating income,0.9755259870692592
GainLossOnDerivativeInstrumentsNetPretax,"152,000,000",0.5235334562175468,nonoperating income,0.5665625278272954
EquitySecuritiesFvNiRealizedGainLoss,"235,000,000",0.6913439151106299,nonoperating income,0.9628710861824163
GainLossOnInvestments,"3,450,000,000",0.6488835556727557,nonoperating income,0.6986498471606085
IncreaseDecreaseInAccruedIncomeTaxesPayable,"-5,244,000,000",0.5562147241094846,operating activities,0.7733989714366831
