label,value,statement_confidence,category,prediction_confidence
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,"-14,076,000",0.3851093811649708,comprehensive income,0.6276763362401526
OtherComprehensiveIncomeLossNetOfTax,"-3,262,000",0.8215082661439429,comprehensive income,0.8925224587692239
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"-3,671,000",0.6878840216695457,comprehensive income,0.944425081925898
ComprehensiveIncomeNetOfTax,"295,048,000",0.575064499676751,comprehensive income,0.7522379970395852
IncomeTaxesPaidNet,"32,598,000",0.5589979458257829,comprehensive income,0.6277900006843136
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,"409,000",0.8934607443223945,comprehensive income,0.962414153411092
IncomeTaxReconciliationOtherAdjustments,"-179,000",0.4781147835181001,income tax,0.5615987035539839
DeferredFederalIncomeTaxExpenseBenefit,0,0.4687574077910388,income tax,0.6036933415905982
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,0,0.470727116016629,income tax,0.4901708279997356
NetIncomeLossAttributableToNoncontrollingInterest,"15,889,000",0.6934231677127699,income tax,0.7191935033209632
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,"15,889,000",0.5871318647412572,income tax,0.7363948542636002
IncomeTaxReconciliationTaxCreditsResearch,"184,071,000",0.4766110838886832,income tax,0.5429615528529068
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,"3,613,000",0.4010667768802479,income tax,0.4154569936259873
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,"30,189,000",0.4287602506656189,income tax,0.4791023674201264
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,"310,937,000",0.5848800812502222,income tax,0.6955697718366874
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"36,000",0.4731099069200202,income tax,0.4942898186301731
EffectiveIncomeTaxRateReconciliationBeatAmount,"39,900,000",0.3977967617204812,income tax,0.4867786673400354
IncomeTaxReconciliationStateAndLocalIncomeTaxes,"4,440,000",0.352436151826221,income tax,0.4273352187884334
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,"59,573,000",0.426481312012002,income tax,0.4746581682039046
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,"592,052,000",0.5458259151340256,income tax,0.570851063951172
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"730,474,000",0.6759392724532944,income tax,0.8249263210758949
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,"76,923,000",0.4216431080075296,income tax,0.4951082354638072
OperatingIncomeLoss,"269,168,000",0.7517817457158666,net income,0.8506485906051485
NetIncomeLoss,"298,310,000",0.793816744798146,net income,0.8644510804849735
NetIncomeLossAvailableToCommonStockholdersDiluted,"298,310,000",0.765893744716874,net income,0.910392164765492
ProfitLoss,"628,398,000",0.6159399460075812,net income,0.6885003453499071
DebtSecuritiesAvailableForSaleRealizedLoss,0,0.726209691184995,nonoperating expenses,0.961300391181168
EquitySecuritiesFvNiUnrealizedGainLoss,"-201,800,000",0.6938183110243866,nonoperating income,0.9755259914317428
DebtAndEquitySecuritiesUnrealizedGainLoss,"-304,574,000",0.7344337633312585,nonoperating income,0.8638324711436957
