contextRef,count
P01_01_2021To12_31_2021,228
P01_01_2020To12_31_2020,126
PAsOn12_31_2021,118
P01_01_2019To12_31_2019,116
PAsOn12_31_2020,82
P01_01_2020To12_31_2020_CommonStockMemberusgaapStatementEquityComponentsAxis,16
PAsOn12_31_2019,12
P01_01_2020To12_31_2020_AdditionalPaidInCapitalMemberusgaapStatementEquityComponentsAxis,10
P01_01_2021To12_31_2021_CommonStockMemberusgaapStatementEquityComponentsAxis,8
P01_01_2021To12_31_2021_RestrictedStockUnitsRSUMemberusgaapAwardTypeAxis,8
PAsOn12_31_2020_CommonClassBMemberusgaapStatementClassOfStockAxis,7
PAsOn12_31_2021_CommonClassBMemberusgaapStatementClassOfStockAxis,7
PAsOn12_31_2020_CommonClassAMemberusgaapStatementClassOfStockAxis,7
PAsOn12_31_2021_CommonClassAMemberusgaapStatementClassOfStockAxis,7
P01_01_2019To12_31_2019_RedeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis_SeriesHRedeemableConvertiblePreferredStockMemberPLTRTemporaryEquityTypeAxis,7
PAsOn12_31_2021_CommonClassFMemberusgaapStatementClassOfStockAxis,6
PAsOn12_31_2020_CommonClassFMemberusgaapStatementClassOfStockAxis,5
P01_01_2021To12_31_2021_AdditionalPaidInCapitalMemberusgaapStatementEquityComponentsAxis,5
PAsOn12_31_2020_CommonStockMemberusgaapStatementEquityComponentsAxis,4
PAsOn12_31_2021_FairValueInputsLevel3MemberusgaapFairValueByFairValueHierarchyLevelAxis,4
P01_01_2020To12_31_2020_TreasuryStockMemberusgaapStatementEquityComponentsAxis,4
PAsOn12_31_2021_FairValueInputsLevel2MemberusgaapFairValueByFairValueHierarchyLevelAxis,4
P01_01_2019To12_31_2019_NonredeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis_SeriesFConvertibleStockMemberPLTRTemporaryEquityTypeAxis,4
P01_01_2019To12_31_2019_AdditionalPaidInCapitalMemberusgaapStatementEquityComponentsAxis,4
P01_01_2019To12_31_2019_NonredeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis_SeriesDConvertibleStockMemberPLTRTemporaryEquityTypeAxis,4
PAsOn12_31_2021_FairValueInputsLevel1MemberusgaapFairValueByFairValueHierarchyLevelAxis,4
PAsOn12_31_2019_RedeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis,4
PAsOn12_31_2019_CommonStockMemberusgaapStatementEquityComponentsAxis,4
P01_01_2019To12_31_2019_CommonStockMemberusgaapStatementEquityComponentsAxis,4
P01_01_2021To12_31_2021_OperatingSegmentsMembersrtConsolidationItemsAxis,4
P01_01_2020To12_31_2020_OperatingSegmentsMembersrtConsolidationItemsAxis,4
P01_01_2019To12_31_2019_OperatingSegmentsMembersrtConsolidationItemsAxis,4
P01_01_2019To12_31_2019_TreasuryStockMemberusgaapStatementEquityComponentsAxis,4
PAsOn12_31_2019_NonredeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis,4
PAsOn12_31_2019_TreasuryStockMemberusgaapStatementEquityComponentsAxis,4
PAsOn12_31_2020_FairValueInputsLevel3MemberusgaapFairValueByFairValueHierarchyLevelAxis,3
PAsOn12_31_2020_FairValueInputsLevel2MemberusgaapFairValueByFairValueHierarchyLevelAxis,3
PAsOn12_31_2020_FairValueInputsLevel1MemberusgaapFairValueByFairValueHierarchyLevelAxis,3
P01_01_2020To12_31_2020_GovernmentMemberusgaapAccountsNotesLoansAndFinancingReceivablesByLegalEntityOfCounterpartyTypeAxis_OperatingSegmentsMembersrtConsolidationItemsAxis,3
P01_01_2019To12_31_2019_GovernmentMemberusgaapAccountsNotesLoansAndFinancingReceivablesByLegalEntityOfCounterpartyTypeAxis_OperatingSegmentsMembersrtConsolidationItemsAxis,3
P01_01_2021To12_31_2021_CommercialMemberusgaapStatementBusinessSegmentsAxis_OperatingSegmentsMembersrtConsolidationItemsAxis,3
P01_01_2020To12_31_2020_CommercialMemberusgaapStatementBusinessSegmentsAxis_OperatingSegmentsMembersrtConsolidationItemsAxis,3
P01_01_2019To12_31_2019_CommercialMemberusgaapStatementBusinessSegmentsAxis_OperatingSegmentsMembersrtConsolidationItemsAxis,3
P01_01_2021To12_31_2021_MaterialReconcilingItemsMembersrtConsolidationItemsAxis,3
P01_01_2019To12_31_2019_MaterialReconcilingItemsMembersrtConsolidationItemsAxis,3
P01_01_2021To12_31_2021_GovernmentMemberusgaapAccountsNotesLoansAndFinancingReceivablesByLegalEntityOfCounterpartyTypeAxis_OperatingSegmentsMembersrtConsolidationItemsAxis,3
PAsOn12_31_2018,3
P01_01_2021To12_31_2021_FastRadiusMemberPLTRInvestmentNameAxis,3
P01_01_2021To12_31_2021_TritiumMemberPLTRInvestmentNameAxis,3
P01_01_2021To12_31_2021_FinaccelMemberPLTRInvestmentNameAxis,3
P01_01_2021To12_31_2021_EnergyVaultMemberPLTRInvestmentNameAxis,3
P01_01_2021To12_31_2021_ElectricVehicleChargingCompanyMemberPLTRInvestmentNameAxis,3
P01_01_2021To12_31_2021_RigettiCoIncMemberPLTRInvestmentNameAxis,3
P01_01_2021To12_31_2021_TelecommunicationsCompanyMemberPLTRInvestmentNameAxis,3
P01_01_2021To12_31_2021_RubiconTechnologiesMemberPLTRInvestmentNameAxis,3
P01_01_2020To12_31_2020_CommonClassAMemberusgaapStatementClassOfStockAxis,3
PAsOn12_31_2021_RestrictedStockUnitsRSUMemberusgaapAwardTypeAxis,3
P01_01_2020To12_31_2020_MaterialReconcilingItemsMembersrtConsolidationItemsAxis,3
P01_01_2020To12_31_2020_RestrictedStockUnitsRSUMemberusgaapAwardTypeAxis,3
PAsOn12_31_2020_RestrictedStockUnitsRSUMemberusgaapAwardTypeAxis,2
P01_01_2021To12_31_2021_InvestmentAgreementMemberusgaapTypeOfArrangementAxis_InvestmentCommitmentsMemberusgaapOtherCommitmentsAxis,2
PAsOn12_31_2021_DomesticCountryMemberusgaapIncomeTaxAuthorityAxis,2
P01_01_2021To12_31_2021_PurchaseCommitmentOneMemberusgaapPurchaseCommitmentExcludingLongtermCommitmentAxis,2
P12_01_2019To12_31_2019_PurchaseCommitmentOneMemberusgaapPurchaseCommitmentExcludingLongtermCommitmentAxis,2
PAsOn12_31_2021_TwoThousandAndFourteenRevolvingCreditFacilityMemberusgaapCreditFacilityAxis,2
PAsOn12_31_2021_BirdGlobalMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2021_EmbarkTrucksMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2021_WejoMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2021_BabylonHealthMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2021_PearTherapeuticsMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2021_RoivantSciencesMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2021_SarcosRoboticsMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2021_BoxedMemberPLTRInvestmentNameAxis,2
P10_30_2014To10_30_2014_LondonInterbankOfferedRateLIBORMemberusgaapVariableRateAxis_TwoThousandAndFourteenRevolvingCreditFacilityMemberusgaapCreditFacilityAxis,2
PAsOn12_31_2021_BlackskyMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2021_AstrocastMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2021_FaradayFutureMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2021_CelularityMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2021_CommercialContractMemberPLTRTypeOfContractAxis_InvestmentAgreementMemberusgaapTypeOfArrangementAxis_MaximumMembersrtRangeAxis,2
PAsOn12_31_2021_SkydwellerMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2021_HyundaiOilbankMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2021_AdtheorentMemberPLTRInvestmentNameAxis,2
P11_01_2019To11_30_2019_PalantirTechnologiesJapanKKMembersrtScheduleOfEquityMethodInvestmentEquityMethodInvesteeNameAxis,2
PAsOn12_31_2021_LiliumMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2019_RetainedEarningsMemberusgaapStatementEquityComponentsAxis,2
PAsOn12_31_2019_AccumulatedOtherComprehensiveIncomeMemberusgaapStatementEquityComponentsAxis,2
P01_01_2020To12_31_2020_NonredeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis_SeriesKConvertiblePreferredStockMemberPLTRTemporaryEquityTypeAxis,2
PAsOn12_31_2019_AdditionalPaidInCapitalMemberusgaapStatementEquityComponentsAxis,2
P01_01_2020To12_31_2020_NonredeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis_SeriesDConvertibleStockMemberPLTRTemporaryEquityTypeAxis,2
P01_01_2020To12_31_2020_RedeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis,2
P01_01_2020To12_31_2020_NonredeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis,2
PAsOn12_31_2020_AdditionalPaidInCapitalMemberusgaapStatementEquityComponentsAxis,2
PAsOn12_31_2020_AccumulatedOtherComprehensiveIncomeMemberusgaapStatementEquityComponentsAxis,2
PAsOn12_31_2018_RedeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis,2
PAsOn12_31_2020_RetainedEarningsMemberusgaapStatementEquityComponentsAxis,2
PAsOn12_31_2018_NonredeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis,2
PAsOn12_31_2018_CommonStockMemberusgaapStatementEquityComponentsAxis,2
P01_01_2020To12_31_2020_NonredeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis_SeriesHOneConvertiblePreferredStockMemberPLTRTemporaryEquityTypeAxis,2
P01_01_2019To12_31_2019_ExcerciseOfWarrantsMemberPLTREventAxis_NonredeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis_SeriesDConvertibleStockMemberPLTRTemporaryEquityTypeAxis,2
PAsOn01_01_2022_SubsequentEventMemberusgaapSubsequentEventTypeAxis_TritiumMemberPLTRInvestmentNameAxis,2
PAsOn12_31_2018_TreasuryStockMemberusgaapStatementEquityComponentsAxis,2
PAsOn01_01_2022_EnergyVaultIncMemberPLTRInvestmentNameAxis_SubsequentEventMemberusgaapSubsequentEventTypeAxis,2
PAsOn12_31_2021_CommonStockMemberusgaapStatementEquityComponentsAxis,2
PAsOn01_01_2022_FastRadiusIncMemberPLTRInvestmentNameAxis_SubsequentEventMemberusgaapSubsequentEventTypeAxis,2
PAsOn01_01_2022_InvestmentAgreementMemberusgaapTypeOfArrangementAxis_SubsequentEventMemberusgaapSubsequentEventTypeAxis,2
P01_01_2019To12_31_2019_NonredeemableConvertiblePreferredStockMemberusgaapStatementClassOfStockAxis_SeriesHRedeemableConvertiblePreferredStockMemberPLTRTemporaryEquityTypeAxis,2
PAsOn01_01_2022_SubsequentEventMemberusgaapSubsequentEventTypeAxis,2
PAsOn12_31_2020_DomesticCountryMemberusgaapIncomeTaxAuthorityAxis,1
PAsOn12_31_2020_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
PAsOn12_31_2021_CaliforniaFranchiseTaxBoardMemberusgaapIncomeTaxAuthorityNameAxis,1
PAsOn12_31_2021_GBsrtStatementGeographicalAxis,1
P01_01_2021To12_31_2021_GBsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_PropertyPlantAndEquipmentMemberusgaapConcentrationRiskByBenchmarkAxis,1
PAsOn12_31_2021_GBsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
P01_01_2020To12_31_2020_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_PropertyPlantAndEquipmentMemberusgaapConcentrationRiskByBenchmarkAxis,1
PAsOn12_31_2020_CaliforniaFranchiseTaxBoardMemberusgaapIncomeTaxAuthorityNameAxis_DomesticCountryMemberusgaapIncomeTaxAuthorityAxis,1
P01_01_2021To12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_PropertyPlantAndEquipmentMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2021To12_31_2021_ResearchAndDevelopmentExpenseMemberusgaapIncomeStatementLocationAxis,1
P01_01_2020To12_31_2020_ResearchAndDevelopmentExpenseMemberusgaapIncomeStatementLocationAxis,1
P01_01_2019To12_31_2019_ResearchAndDevelopmentExpenseMemberusgaapIncomeStatementLocationAxis,1
P01_01_2021To12_31_2021_GeneralAndAdministrativeExpenseMemberusgaapIncomeStatementLocationAxis,1
P01_01_2019To12_31_2019_SellingAndMarketingExpenseMemberusgaapIncomeStatementLocationAxis,1
P01_01_2020To12_31_2020_GeneralAndAdministrativeExpenseMemberusgaapIncomeStatementLocationAxis,1
PAsOn02_17_2022_CommonClassFMemberusgaapStatementClassOfStockAxis,1
PAsOn02_17_2022_CommonClassBMemberusgaapStatementClassOfStockAxis,1
PAsOn02_17_2022_CommonClassAMemberusgaapStatementClassOfStockAxis,1
P01_01_2019To12_31_2019_GeneralAndAdministrativeExpenseMemberusgaapIncomeStatementLocationAxis,1
P01_01_2021To12_31_2021_StockCompensationPlanMemberusgaapIncomeStatementLocationAxis,1
PAsOn12_31_2020_CaliforniaFranchiseTaxBoardMemberusgaapIncomeTaxAuthorityNameAxis,1
P01_01_2019To12_31_2019_StockCompensationPlanMemberusgaapIncomeStatementLocationAxis,1
P01_01_2021To12_31_2021_USsrtStatementGeographicalAxis,1
P01_01_2020To12_31_2020_USsrtStatementGeographicalAxis,1
P01_01_2019To12_31_2019_USsrtStatementGeographicalAxis,1
P01_01_2021To12_31_2021_ForeignMembersrtStatementGeographicalAxis,1
P01_01_2020To12_31_2020_ForeignMembersrtStatementGeographicalAxis,1
PAsOn06_30_2021,1
P01_01_2019To12_31_2019_ForeignMembersrtStatementGeographicalAxis,1
PAsOn12_31_2021_StateAndLocalJurisdictionMemberusgaapIncomeTaxAuthorityAxis,1
PAsOn12_31_2021_CaliforniaFranchiseTaxBoardMemberusgaapIncomeTaxAuthorityNameAxis_DomesticCountryMemberusgaapIncomeTaxAuthorityAxis,1
PAsOn12_31_2020_StateAndLocalJurisdictionMemberusgaapIncomeTaxAuthorityAxis,1
P01_01_2021To12_31_2021_CommercialContractMemberPLTRTypeOfContractAxis_InvestmentAgreementMemberusgaapTypeOfArrangementAxis_MaximumMembersrtRangeAxis,1
P01_01_2020To12_31_2020_StockCompensationPlanMemberusgaapIncomeStatementLocationAxis,1
P01_01_2019To12_31_2019_ConvertiblePreferredStockMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
P01_01_2021To12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_RestOfWorldMembersrtStatementGeographicalAxis,1
P01_01_2019To12_31_2019_FRsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2019To12_31_2019_WarrantsToPurchaseRedeemableConvertibleAndConvertiblePreferredStockMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
P01_01_2019To12_31_2019_FRsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
P01_01_2020To12_31_2020_FRsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2020To12_31_2020_FRsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
P01_01_2021To12_31_2021_FRsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2021To12_31_2021_FRsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
P01_01_2019To12_31_2019_GBsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2019To12_31_2019_RestrictedStockUnitsRSUMemberusgaapAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecuritiesAxis,1
P01_01_2020To12_31_2020_GBsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2020To12_31_2020_GBsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
P01_01_2021To12_31_2021_GBsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis,1
P01_01_2021To12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_USsrtStatementGeographicalAxis,1
P01_01_2021To12_31_2021_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis_USsrtStatementGeographicalAxis,1
P01_01_2020To12_31_2020_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_USsrtStatementGeographicalAxis,1
P01_01_2020To12_31_2020_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis_USsrtStatementGeographicalAxis,1
P01_01_2019To12_31_2019_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_USsrtStatementGeographicalAxis,1
P01_01_2019To12_31_2019_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis_SalesRevenueNetMemberusgaapConcentrationRiskByBenchmarkAxis_USsrtStatementGeographicalAxis,1
P01_01_2021To12_31_2021_GBsrtStatementGeographicalAxis_GeographicConcentrationRiskMemberusgaapConcentrationRiskByTypeAxis,1
