FILE,LABEL,VALUE
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingExpenses_6b79a864-ada3-4f75-9555-d04b8ad4c361
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_OperatingExpenses
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_ResearchAndDevelopmentExpense_6cd21bf3-cdbb-45ac-ab87-be3e65d8a2bb
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_ResearchAndDevelopmentExpense
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_OperatingExpenses_6b79a864-ada3-4f75-9555-d04b8ad4c361
calculation,to,loc_us-gaap_ResearchAndDevelopmentExpense_6cd21bf3-cdbb-45ac-ab87-be3e65d8a2bb
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_SellingGeneralAndAdministrativeExpense_84866357-11f6-4a44-a963-cc0c2c59d82d
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_SellingGeneralAndAdministrativeExpense
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_OperatingExpenses_6b79a864-ada3-4f75-9555-d04b8ad4c361
calculation,to,loc_us-gaap_SellingGeneralAndAdministrativeExpense_84866357-11f6-4a44-a963-cc0c2c59d82d
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NetIncomeLoss_d9163364-2c88-45fc-96bb-f301626092eb
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_NetIncomeLoss
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_0412aa27-4f4f-454b-82f1-626746faa7af
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetIncomeLoss_d9163364-2c88-45fc-96bb-f301626092eb
calculation,to,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_0412aa27-4f4f-454b-82f1-626746faa7af
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_IncomeTaxExpenseBenefit_1d08d4d0-80ee-40fd-8af0-54d446c92f97
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_IncomeTaxExpenseBenefit
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,-1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetIncomeLoss_d9163364-2c88-45fc-96bb-f301626092eb
calculation,to,loc_us-gaap_IncomeTaxExpenseBenefit_1d08d4d0-80ee-40fd-8af0-54d446c92f97
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_1f8f5d79-fca2-4704-84fa-d3d5f406deb0
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingIncomeLoss_5a88e917-8bfb-40c5-b0c6-1191cdef5756
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_OperatingIncomeLoss
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_1f8f5d79-fca2-4704-84fa-d3d5f406deb0
calculation,to,loc_us-gaap_OperatingIncomeLoss_5a88e917-8bfb-40c5-b0c6-1191cdef5756
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NonoperatingIncomeExpense_5260cfcf-e774-40a0-aa4d-e7b4eb181e37
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_NonoperatingIncomeExpense
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_1f8f5d79-fca2-4704-84fa-d3d5f406deb0
calculation,to,loc_us-gaap_NonoperatingIncomeExpense_5260cfcf-e774-40a0-aa4d-e7b4eb181e37
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
