FILE,LABEL,VALUE
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_Assets
calculation,label,loc_us-gaap_Assets
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_PropertyPlantAndEquipmentNet
calculation,label,loc_us-gaap_PropertyPlantAndEquipmentNet
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets
calculation,to,loc_us-gaap_PropertyPlantAndEquipmentNet
calculation,use,optional
calculation,order,1
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_RestrictedCashNoncurrent
calculation,label,loc_us-gaap_RestrictedCashNoncurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets
calculation,to,loc_us-gaap_RestrictedCashNoncurrent
calculation,use,optional
calculation,order,2
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OtherAssetsNoncurrent
calculation,label,loc_us-gaap_OtherAssetsNoncurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets
calculation,to,loc_us-gaap_OtherAssetsNoncurrent
calculation,use,optional
calculation,order,3
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OperatingLeaseRightOfUseAsset
calculation,label,loc_us-gaap_OperatingLeaseRightOfUseAsset
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets
calculation,to,loc_us-gaap_OperatingLeaseRightOfUseAsset
calculation,use,optional
calculation,order,4
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AssetsCurrent
calculation,label,loc_us-gaap_AssetsCurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Assets
calculation,to,loc_us-gaap_AssetsCurrent
calculation,use,optional
calculation,order,5
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_CashAndCashEquivalentsAtCarryingValue
calculation,label,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent
calculation,to,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue
calculation,use,optional
calculation,order,6
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_RestrictedCashCurrent
calculation,label,loc_us-gaap_RestrictedCashCurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent
calculation,to,loc_us-gaap_RestrictedCashCurrent
calculation,use,optional
calculation,order,7
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_AccountsReceivableNetCurrent
calculation,label,loc_us-gaap_AccountsReceivableNetCurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent
calculation,to,loc_us-gaap_AccountsReceivableNetCurrent
calculation,use,optional
calculation,order,8
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_PrepaidExpenseAndOtherAssetsCurrent
calculation,label,loc_us-gaap_PrepaidExpenseAndOtherAssetsCurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent
calculation,to,loc_us-gaap_PrepaidExpenseAndOtherAssetsCurrent
calculation,use,optional
calculation,order,9
calculation,weight,1
calculation,item_type,calculation_loc
calculation,type,locator
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_MarketableSecuritiesCurrent
calculation,label,loc_us-gaap_MarketableSecuritiesCurrent
calculation,item_type,calculation_calculationArc
calculation,type,arc
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent
calculation,to,loc_us-gaap_MarketableSecuritiesCurrent
calculation,use,optional
