contextRef,entity_identifier,period_start,period_end,instant
i223bd574caab4f739f73936be6065c72_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i9f9a068454cf45bc8dabe3edf6e6b899_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
ic9b02aa81ea048e3b2d21ff1ff5ee96d_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i91423414efff41a2b23a8ea51c66302c_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
ia92c47ffe6044a7ea5299ea959491ff0_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i7ac85e247a0d4b6b993e516ff387c635_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i8cc5c31539474a3c89f1f9b912f2fb65_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i70696acb838e429da4282cd1145ec9a7_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i8be2d6e1fa7b4256839876b93ffded85_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i22f21ef7aee745b388bf11e06bf1ca76_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i16927f9e7a7642e7a881d98500044f4e_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i75717b676a12431ca89baf1138591a31_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
ic3ea678a3e394e00880d68882e8bdc02_I20200327,0000320193,,,2020-03-27
i1cafd6e0999840af9ee3f5c1325b8de1_I20201016,0000320193,,,2020-10-16
ic6ddf4b408bf4a2b93a429875576debe_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i9e7dd33a5cc74beea21e9320745680d7_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i42febaae7dcd4f8d8cce75f1869b4f3e_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
ie5086bbae0ea430284a90b41b5fce8aa_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i9e90e83e5f2c4ba79f4412953e1e4cfc_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i4d1dc94f98a74751a2030bdf74b7917b_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
i5085fb79a9a14a9aae9b909beb32bce2_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i4920908218084be688c8fa96b8903033_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
i747bec89b4e84f74ae3445db3509f609_I20200926,0000320193,,,2020-09-26
ic363a9ee75bd48f88800fc5dadba8293_I20190928,0000320193,,,2019-09-28
i63b2d6cbc1b74217a23ffa0b1fb32a03_I20180929,0000320193,,,2018-09-29
ic162192758c540a496b78579d45ae11a_I20170930,0000320193,,,2017-09-30
i783ec50dbd6e47c3b58b5bdd597cc298_I20190928,0000320193,,,2019-09-28
i85e4d826990c47ef84018d3694728dc6_I20180929,0000320193,,,2018-09-29
id3cf399b5dc64b82b516ff13d7a32597_I20170930,0000320193,,,2017-09-30
i10674d12c9c14404b245b4c36d58e655_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
if405ee64a46a4cd4aae6350afee579d1_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
ie34dedcf613244788f287e18ea381313_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
ibe7da442cc3446d68f6db3102d0c1c25_I20200926,0000320193,,,2020-09-26
i5a53f9e684c4452f81010f6d0dedc7ef_I20190928,0000320193,,,2019-09-28
i6407c7ef35794609b67106ac1a1af030_I20180929,0000320193,,,2018-09-29
i2dd0ac9194cf42468120b3572503430f_I20170930,0000320193,,,2017-09-30
if2cd0ae38154443283d4e20a8e904f6e_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
ic0923ee8d7a744caa99b3f463f929d69_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
ic5ea1aeb0df341798ec3e8b8aed7ec94_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
i68639cc33d444eda82731dec70cd7c9f_I20190928,0000320193,,,2019-09-28
i31b2e752f0f24baa9bdfd121adb9a598_I20180929,0000320193,,,2018-09-29
