contextRef,entity_identifier,period_start,period_end,instant
c-1,0001326801,2024-01-01,2024-12-31,
c-2,0001326801,,,2024-06-30
c-3,0001326801,,,2025-01-24
c-4,0001326801,,,2025-01-24
c-5,0001326801,,,2024-12-31
c-6,0001326801,,,2023-12-31
c-7,0001326801,,,2023-12-31
c-8,0001326801,,,2024-12-31
c-9,0001326801,,,2024-12-31
c-10,0001326801,,,2023-12-31
c-11,0001326801,2023-01-01,2023-12-31,
c-12,0001326801,2022-01-01,2022-12-31,
c-13,0001326801,,,2021-12-31
c-14,0001326801,,,2021-12-31
c-15,0001326801,,,2021-12-31
c-16,0001326801,,,2021-12-31
c-17,0001326801,,,2021-12-31
c-18,0001326801,2022-01-01,2022-12-31,
c-19,0001326801,2022-01-01,2022-12-31,
c-20,0001326801,2022-01-01,2022-12-31,
c-21,0001326801,2022-01-01,2022-12-31,
c-22,0001326801,,,2022-12-31
c-23,0001326801,,,2022-12-31
c-24,0001326801,,,2022-12-31
c-25,0001326801,,,2022-12-31
c-26,0001326801,,,2022-12-31
c-27,0001326801,2023-01-01,2023-12-31,
c-28,0001326801,2023-01-01,2023-12-31,
c-29,0001326801,2023-01-01,2023-12-31,
c-30,0001326801,2023-01-01,2023-12-31,
c-31,0001326801,,,2023-12-31
c-32,0001326801,,,2023-12-31
c-33,0001326801,,,2023-12-31
c-34,0001326801,,,2023-12-31
c-35,0001326801,2024-01-01,2024-12-31,
c-36,0001326801,2024-01-01,2024-12-31,
c-37,0001326801,2024-01-01,2024-12-31,
c-38,0001326801,2024-01-01,2024-12-31,
c-39,0001326801,,,2024-12-31
c-40,0001326801,,,2024-12-31
c-41,0001326801,,,2024-12-31
c-42,0001326801,,,2024-12-31
c-43,0001326801,2024-01-01,2024-12-31,
c-44,0001326801,2023-01-01,2023-12-31,
c-45,0001326801,2022-01-01,2022-12-31,
c-46,0001326801,,,2025-01-29
c-47,0001326801,2024-01-01,2024-12-31,
c-48,0001326801,,,2024-12-31
c-49,0001326801,,,2024-12-31
c-50,0001326801,,,2024-12-31
c-51,0001326801,,,2024-12-31
c-52,0001326801,,,2024-12-31
c-53,0001326801,,,2024-12-31
c-54,0001326801,,,2024-12-31
c-55,0001326801,,,2024-12-31
c-56,0001326801,2024-01-01,2024-12-31,
c-57,0001326801,2023-01-01,2023-12-31,
c-58,0001326801,2022-01-01,2022-12-31,
c-59,0001326801,2024-01-01,2024-12-31,
c-60,0001326801,2023-01-01,2023-12-31,
c-61,0001326801,2022-01-01,2022-12-31,
c-62,0001326801,2024-01-01,2024-12-31,
c-63,0001326801,2023-01-01,2023-12-31,
c-64,0001326801,2022-01-01,2022-12-31,
c-65,0001326801,2024-01-01,2024-12-31,
c-66,0001326801,2023-01-01,2023-12-31,
c-67,0001326801,2022-01-01,2022-12-31,
c-68,0001326801,2024-01-01,2024-12-31,
c-69,0001326801,2023-01-01,2023-12-31,
c-70,0001326801,2022-01-01,2022-12-31,
c-71,0001326801,2024-01-01,2024-12-31,
c-72,0001326801,2023-01-01,2023-12-31,
c-73,0001326801,2022-01-01,2022-12-31,
c-74,0001326801,2024-01-01,2024-12-31,
c-75,0001326801,2023-01-01,2023-12-31,
c-76,0001326801,2022-01-01,2022-12-31,
c-77,0001326801,2024-01-01,2024-12-31,
c-78,0001326801,2023-01-01,2023-12-31,
c-79,0001326801,2022-01-01,2022-12-31,
c-80,0001326801,2024-01-01,2024-12-31,
c-81,0001326801,2023-01-01,2023-12-31,
c-82,0001326801,2022-01-01,2022-12-31,
c-83,0001326801,2024-01-01,2024-12-31,
c-84,0001326801,2023-01-01,2023-12-31,
c-85,0001326801,2022-01-01,2022-12-31,
c-86,0001326801,2024-01-01,2024-12-31,
c-87,0001326801,2023-01-01,2023-12-31,
c-88,0001326801,2022-01-01,2022-12-31,
c-89,0001326801,2022-01-01,2022-12-31,
c-90,0001326801,2024-01-01,2024-12-31,
c-91,0001326801,2024-01-01,2024-12-31,
c-92,0001326801,2023-01-01,2023-12-31,
c-93,0001326801,2022-01-01,2022-12-31,
c-94,0001326801,2024-01-01,2024-12-31,
c-95,0001326801,2023-01-01,2023-12-31,
c-96,0001326801,2022-01-01,2022-12-31,
c-97,0001326801,2024-01-01,2024-12-31,
c-98,0001326801,2023-01-01,2023-12-31,
c-99,0001326801,2022-01-01,2022-12-31,
c-100,0001326801,2024-01-01,2024-12-31,
c-101,0001326801,2023-01-01,2023-12-31,
c-102,0001326801,2022-01-01,2022-12-31,
c-103,0001326801,2023-01-01,2023-12-31,
c-104,0001326801,,,2024-12-31
c-105,0001326801,,,2024-12-31
c-106,0001326801,,,2024-12-31
c-107,0001326801,,,2024-12-31
c-108,0001326801,,,2024-12-31
c-109,0001326801,,,2024-12-31
c-110,0001326801,,,2024-12-31
c-111,0001326801,,,2024-12-31
c-112,0001326801,,,2024-12-31
