FILE,LABEL,VALUE
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_GrossProfit_1082456b-7c02-4d72-b7e4-9f0d14962f4c
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_GrossProfit
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax_c1a63476-46b1-4cc0-b6df-66813d13c453
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_GrossProfit_1082456b-7c02-4d72-b7e4-9f0d14962f4c
calculation,to,loc_us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax_c1a63476-46b1-4cc0-b6df-66813d13c453
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_CostOfGoodsAndServicesSold_9a21c0b0-9111-49f6-9902-7b9f4616a8d1
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_CostOfGoodsAndServicesSold
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,-1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_GrossProfit_1082456b-7c02-4d72-b7e4-9f0d14962f4c
calculation,to,loc_us-gaap_CostOfGoodsAndServicesSold_9a21c0b0-9111-49f6-9902-7b9f4616a8d1
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NetIncomeLoss_cd4bd49d-6de8-4e12-9c9d-410650e3b9ac
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_NetIncomeLoss
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_72839fa0-f4c0-4da9-87ac-7cb1b0dc3bbc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetIncomeLoss_cd4bd49d-6de8-4e12-9c9d-410650e3b9ac
calculation,to,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_72839fa0-f4c0-4da9-87ac-7cb1b0dc3bbc
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_IncomeTaxExpenseBenefit_db6376e0-4ff0-42ae-a1bc-86bb85007364
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_IncomeTaxExpenseBenefit
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,-1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetIncomeLoss_cd4bd49d-6de8-4e12-9c9d-410650e3b9ac
calculation,to,loc_us-gaap_IncomeTaxExpenseBenefit_db6376e0-4ff0-42ae-a1bc-86bb85007364
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_4156e468-3b58-44e7-99cc-9cf0de3ad91d
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingIncomeLoss_6073f200-3254-4baa-a7fa-2e3808002977
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_OperatingIncomeLoss
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_4156e468-3b58-44e7-99cc-9cf0de3ad91d
calculation,to,loc_us-gaap_OperatingIncomeLoss_6073f200-3254-4baa-a7fa-2e3808002977
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NonoperatingIncomeExpense_b6b3131a-db32-41ea-a335-20200ca0cdb9
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_NonoperatingIncomeExpense
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_4156e468-3b58-44e7-99cc-9cf0de3ad91d
