FILE,LABEL,VALUE
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_LiabilitiesCurrent_11fbf582-dc42-40d5-9d1b-bf0f7d406593
calculation,href,https://xbrl.fasb.org/us-gaap/2024/elts/us-gaap-2024.xsd#us-gaap_LiabilitiesCurrent
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AccountsPayableTradeCurrent_9ec70086-ced5-45c1-a34a-b391f8488644
calculation,href,https://xbrl.fasb.org/us-gaap/2024/elts/us-gaap-2024.xsd#us-gaap_AccountsPayableTradeCurrent
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_11fbf582-dc42-40d5-9d1b-bf0f7d406593
calculation,to,loc_us-gaap_AccountsPayableTradeCurrent_9ec70086-ced5-45c1-a34a-b391f8488644
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingLeaseLiabilityCurrent_07f13865-7f14-4e19-bf07-3967d2dc0c86
calculation,href,https://xbrl.fasb.org/us-gaap/2024/elts/us-gaap-2024.xsd#us-gaap_OperatingLeaseLiabilityCurrent
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_11fbf582-dc42-40d5-9d1b-bf0f7d406593
calculation,to,loc_us-gaap_OperatingLeaseLiabilityCurrent_07f13865-7f14-4e19-bf07-3967d2dc0c86
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AccruedLiabilitiesCurrent_a253ce4a-f415-40f1-b796-c8abcbe69816
calculation,href,https://xbrl.fasb.org/us-gaap/2024/elts/us-gaap-2024.xsd#us-gaap_AccruedLiabilitiesCurrent
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesCurrent_11fbf582-dc42-40d5-9d1b-bf0f7d406593
calculation,to,loc_us-gaap_AccruedLiabilitiesCurrent_a253ce4a-f415-40f1-b796-c8abcbe69816
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_LiabilitiesAndStockholdersEquity_09b05ee3-bde5-4dc4-b570-e5780643b6e0
calculation,href,https://xbrl.fasb.org/us-gaap/2024/elts/us-gaap-2024.xsd#us-gaap_LiabilitiesAndStockholdersEquity
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_StockholdersEquity_bf80757a-510f-41e5-b15a-0ee1d4fab890
calculation,href,https://xbrl.fasb.org/us-gaap/2024/elts/us-gaap-2024.xsd#us-gaap_StockholdersEquity
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_09b05ee3-bde5-4dc4-b570-e5780643b6e0
calculation,to,loc_us-gaap_StockholdersEquity_bf80757a-510f-41e5-b15a-0ee1d4fab890
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_Liabilities_6b2c789b-9e8b-4752-9aff-6ad7fc0a0c3e
calculation,href,https://xbrl.fasb.org/us-gaap/2024/elts/us-gaap-2024.xsd#us-gaap_Liabilities
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_09b05ee3-bde5-4dc4-b570-e5780643b6e0
calculation,to,loc_us-gaap_Liabilities_6b2c789b-9e8b-4752-9aff-6ad7fc0a0c3e
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_CommitmentsAndContingencies_490566b3-148f-4057-ae1e-aa6631fb26ef
calculation,href,https://xbrl.fasb.org/us-gaap/2024/elts/us-gaap-2024.xsd#us-gaap_CommitmentsAndContingencies
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_LiabilitiesAndStockholdersEquity_09b05ee3-bde5-4dc4-b570-e5780643b6e0
calculation,to,loc_us-gaap_CommitmentsAndContingencies_490566b3-148f-4057-ae1e-aa6631fb26ef
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_AssetsCurrent_51ccfc9d-5033-459d-a500-21803121268d
calculation,href,https://xbrl.fasb.org/us-gaap/2024/elts/us-gaap-2024.xsd#us-gaap_AssetsCurrent
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_CashAndCashEquivalentsAtCarryingValue_d5133af0-06b4-4278-b241-91deee630c60
calculation,href,https://xbrl.fasb.org/us-gaap/2024/elts/us-gaap-2024.xsd#us-gaap_CashAndCashEquivalentsAtCarryingValue
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_AssetsCurrent_51ccfc9d-5033-459d-a500-21803121268d
