label,value
RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionPeriod1,
RevenueRemainingPerformanceObligationPercentage,1
StockholdersEquityNoteStockSplitConversionRatio1,4
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,"-1,208,000,000"
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax,"407,000,000"
OtherComprehensiveIncomeLossNetInvestmentHedgeGainLossBeforeReclassificationAndTax,"15,000,000"
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1,"3,358,000,000"
ChangeInUnrealizedGainLossOnHedgedItemInFairValueHedge1,"-3,358,000,000"
HedgedAssetFairValueHedge,"16,270,000,000"
HedgedLiabilityFairValueHedge,"21,033,000,000"
HedgedAssetFairValueHedgeCumulativeIncreaseDecrease,"493,000,000"
HedgedLiabilityFairValueHedgeCumulativeIncreaseDecrease,"1,541,000,000"
DerivativeNotionalAmount,"336,659,000,000"
ConcentrationRiskPercentage1,1
LossContingencyEstimateOfPossibleLoss,"27,200,000,000"
DebtInstrumentFaceAmount,"16,000,000,000"
SeniorNotes,"1,000,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,"1,540,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,"919,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardMaximumEmployeeSubscriptionRate,0
SharebasedCompensationArrangementBySharebasedPaymentAwardPurchasePriceOfCommonStockPercent,0
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,1
DefinedContributionPlanEmployerMatchingContributionPercent,0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"1,395,748,000"
SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueNonvested,"34,894,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,155
LitigationSettlementAmountAwardedToOtherParty,"2,919,000,000"
OtherGeneralAndAdministrativeExpense,"17,111,000,000"
