label,value
AccountsPayableCurrent,"88,532,000,000"
StandardProductWarrantyAccrual,"14,450,000,000"
StockholdersEquity,"792,188,000,000"
PropertyPlantAndEquipmentGross,"398,966,000,000"
DebtInstrumentCarryingAmount,"521,614,000,000"
Assets,"662,404,000,000"
MarketableSecuritiesCurrent,"209,280,000,000"
DebtInstrumentInterestRateStatedPercentage,0
DebtInstrumentInterestRateEffectivePercentage,0
AvailableForSaleDebtSecuritiesAmortizedCostBasis,"1,135,179,000,000"
MarketableSecuritiesNoncurrent,"412,456,000,000"
UnrecordedUnconditionalPurchaseObligationBalanceOnSecondAnniversary,"2,885,000,000"
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,"2,700,000,000"
CashAndCashEquivalentsAtCarryingValue,"212,535,000,000"
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"7,964,000,000"
AvailableForSaleSecuritiesDebtSecurities,"1,145,139,000,000"
NoncurrentAssets,"148,288,000,000"
RetainedEarningsAccumulatedDeficit,"60,864,000,000"
UnrecordedUnconditionalPurchaseObligationDueAfterFiveYears,"130,000,000"
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"1,332,000,000"
DeferredTaxLiabilitiesLeasingArrangements,"1,862,000,000"
ContractWithCustomerLiabilityCurrent,"12,165,000,000"
AssetsNoncurrent,"355,872,000,000"
DeferredTaxAssetsLiabilitiesNet,"16,202,000,000"
LongTermDebtFairValue,"224,600,000,000"
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount,"8,652,000,000"
ShortTermDebtWeightedAverageInterestRate,0
DeferredTaxAssetsGoodwillAndIntangibleAssets,"19,962,000,000"
UnrecordedUnconditionalPurchaseObligationBalanceOnFourthAnniversary,"357,000,000"
DeferredTaxAssetsNet,"37,935,000,000"
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,"10,130,000,000"
FinanceLeaseLiabilityUndiscountedExcessAmount,"429,000,000"
FinanceLeaseLiabilityPaymentsDue,"1,090,000,000"
LongTermDebtCurrent,"19,033,000,000"
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,"9,569,000,000"
FinanceLeaseLiability,"661,000,000"
CommercialPaper,"21,976,000,000"
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount,"5,700,000,000"
OtherAssetsCurrent,"23,616,000,000"
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,"17,400,000,000"
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible,"3,900,000,000"
DeferredIncomeTaxLiabilities,"21,733,000,000"
RestrictedInvestments,"37,500,000,000"
InventoryNet,"8,167,000,000"
LiabilitiesCurrent,"211,110,000,000"
PropertyPlantAndEquipmentNet,"74,144,000,000"
OperatingLeaseLiabilityCurrent,"1,436,000,000"
NontradeReceivablesCurrent,"44,203,000,000"
OperatingLeaseLiability,"9,181,000,000"
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,"11,389,000,000"
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,"538,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearFour,"1,068,000,000"
DeferredTaxAssetsValuationAllowance,"1,788,000,000"
OperatingLeaseRightOfUseAsset,"8,570,000,000"
StockRepurchaseProgramAuthorizedAmount1,"225,000,000,000"
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"136,215,000,000"
FinanceLeaseLiabilityPaymentsDueYearFour,"30,000,000"
DeferredTaxLiabilitiesOtherComprehensiveIncome,"712,000,000"
FinanceLeaseLiabilityPaymentsDueYearTwo,"43,000,000"
OtherAssetsNoncurrent,"75,500,000,000"
LesseeOperatingLeaseLiabilityPaymentsDue,"10,144,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,"1,493,000,000"
OtherLiabilitiesNoncurrent,"104,993,000,000"
DeferredTaxAssetsOther,"4,583,000,000"
DeferredTaxAssetsGross,"39,723,000,000"
OtherAccruedLiabilitiesNoncurrent,"47,278,000,000"
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,"10,115,000,000"
FinanceLeaseLiabilityPaymentsDueYearFive,"25,000,000"
UnrecognizedTaxBenefits,"82,295,000,000"
CommonStockSharesOutstanding,"74,274,456,000"
FinanceLeaseLiabilityPaymentsDueYearThree,"54,000,000"
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,"125,339,000,000"
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,"43,000,000"
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,"12,200,000,000"
CommonStocksIncludingAdditionalPaidInCapital,"95,953,000,000"
AccruedIncomeTaxesNoncurrent,"57,715,000,000"
CommonStockSharesIssued,"34,749,708,000"
LiabilitiesNoncurrent,"295,467,000,000"
ContractWithCustomerLiability,"18,300,000,000"
RestrictedCashAndCashEquivalentsAtCarryingValue,"59,000,000"
DerivativeFairValueOfDerivativeNet,"-719,000,000"
FinanceLeaseLiabilityNoncurrent,"637,000,000"
LiabilitiesAndStockholdersEquity,"662,404,000,000"
DeferredTaxLiabilitiesOther,"1,305,000,000"
OperatingLeaseLiabilityNoncurrent,"7,745,000,000"
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,"10,914,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearThree,"1,317,000,000"
OtherLiabilitiesCurrent,"80,404,000,000"
FinanceLeaseRightOfUseAsset,"629,000,000"
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,"55,341,000,000"
CommonStockSharesAuthorized,"50,400,000,000"
Liabilities,"506,577,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,"1,461,000,000"
AccumulatedOtherComprehensiveIncomeLossNetOfTax,"-990,000,000"
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,"8,750,000,000"
UnrecordedUnconditionalPurchaseObligationBalanceOnFifthAnniversary,"104,000,000"
LongTermDebtNoncurrent,"190,474,000,000"
RestrictedCashAndCashEquivalentsNoncurrent,"3,094,000,000"
DeferredTaxAssetsDeferredIncome,"3,010,000,000"
CommitmentsAndContingencies,
AccountsReceivableNetCurrent,"39,046,000,000"
AssetsCurrent,"306,532,000,000"
FinanceLeaseLiabilityPaymentsDueAfterYearFive,"895,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearFive,"960,000,000"
FinanceLeaseLiabilityCurrent,"24,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,"3,845,000,000"
UnrecordedUnconditionalPurchaseObligationBalanceOnThirdAnniversary,"1,700,000,000"
UnrecordedUnconditionalPurchaseObligationBalanceOnFirstAnniversary,"3,476,000,000"
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,"963,000,000"
CommonStockParOrStatedValuePerShare,0
DerivativeFairValueOfDerivativeAsset,"8,588,000,000"
DerivativeFairValueOfDerivativeLiability,"7,199,000,000"
