label,value
OtherAccruedLiabilitiesCurrent,"12,443,000,000"
AssetsFairValueDisclosure,"263,873,000,000"
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,"2,624,000,000"
GoodwillImpairedAccumulatedImpairmentLoss,0
StockholdersEquity,"1,172,794,000,000"
DebtSecuritiesAvailableForSaleUnrealizedLossPosition,"89,030,000,000"
FiniteLivedIntangibleAssetsGross,"3,522,000,000"
Goodwill,"81,920,000,000"
PrepaidExpenseAndOtherAssetsCurrent,"9,029,000,000"
FinanceLeaseLiabilityPaymentsDueYearFour,"68,000,000"
DeferredTaxAssetsOther,"929,000,000"
NoncurrentAssets,"492,298,000,000"
MarketableSecuritiesCurrent,"114,934,000,000"
AccumulatedOtherComprehensiveIncomeLossNetOfTax,"-5,252,000,000"
DeferredTaxAssetsValuationAllowance,"12,775,000,000"
RetainedEarningsAccumulatedDeficit,"184,576,000,000"
CashAndCashEquivalentsFairValueDisclosure,"216,804,000,000"
CommonStockSharesOutstanding,"15,545,000,000"
IncomeTaxExaminationPenaltiesAndInterestAccrued,"4,760,000,000"
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,"-3,900,000,000"
EmployeeRelatedLiabilitiesCurrent,"13,009,000,000"
OperatingLeaseRightOfUseAsset,"28,216,000,000"
Liabilities,"169,872,000,000"
FiniteLivedIntangibleAssetsNet,"1,706,000,000"
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,"2,750,000,000"
DebtSecuritiesAvailableForSaleUnrealizedLossPositionAccumulatedLoss,"2,830,000,000"
FinanceLeaseWeightedAverageDiscountRatePercent,0
DeferredIncomeTaxLiabilities,"24,987,000,000"
DeferredTaxAssetsOperatingLossCarryforwards,"642,000,000"
RestrictedCashAndCashEquivalentsAtCarryingValue,"746,000,000"
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,"206,000,000"
ContractualObligationDueInSecondYear,"2,548,000,000"
UnrecognizedTaxBenefits,"62,491,000,000"
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"120,726,000,000"
AdditionalPaidInCapital,"156,481,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearThree,"2,575,000,000"
DebtInstrumentCarryingAmount,"76,500,000,000"
AccruedLiabilitiesCurrent,"49,455,000,000"
DebtSecuritiesAvailableForSaleExcludingAccruedInterest,"88,941,000,000"
FiniteLivedIntangibleAssetsAccumulatedAmortization,"1,816,000,000"
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,"23,000,000"
LongTermDebt,"47,211,000,000"
OperatingLeaseLiabilityNoncurrent,"35,518,000,000"
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger,"66,354,000,000"
LongTermDebtNoncurrent,"47,211,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearFour,"2,459,000,000"
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,"24,853,000,000"
AccountsPayableTradeCurrent,"12,536,000,000"
DeferredTaxLiabilitiesPropertyPlantAndEquipment,"19,279,000,000"
ContractWithCustomerLiability,"1,447,000,000"
IntangibleAssetsGrossExcludingGoodwill,"2,611,000,000"
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,"64,000,000"
OtherAssetsFairValueDisclosure,"101,000,000"
DeferredTaxAssetsLiabilitiesNet,"14,442,000,000"
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,"289,000,000"
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months,"22,676,000,000"
EquityMethodInvestments,"110,000,000"
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,"23,750,000,000"
DeferredTaxAssetsNet,"39,429,000,000"
CashAndCashEquivalentsAtCarryingValue,"100,432,000,000"
RestrictedCashAndCashEquivalentsNoncurrent,"2,683,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueYearFive,"2,391,000,000"
CommonStockValue,0
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount,"12,101,000,000"
LiabilitiesAndStockholdersEquity,"505,677,000,000"
AccountsReceivableNetCurrent,"33,163,000,000"
DeferredTaxLiabilitiesLeasingArrangements,"5,708,000,000"
FinanceLeaseLiabilityUndiscountedExcessAmount,"183,000,000"
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,"13,022,000,000"
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,"979,000,000"
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,"38,000,000"
FinanceLeaseLiabilityPaymentsDueYearThree,"68,000,000"
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetBeforeAccumulatedDepreciationAndAmortization,"294,384,000,000"
OtherAssetsNoncurrent,"20,599,000,000"
FinanceLeaseLiabilityPaymentsDue,"892,000,000"
EquitySecuritiesFvNi,"1,226,000,000"
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,"4,391,000,000"
LiabilitiesCurrent,"65,556,000,000"
CommonStockParOrStatedValuePerShare,0
DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,"347,000,000"
RestrictedCashEquivalents,"2,050,000,000"
AssetsCurrent,"185,410,000,000"
FinanceLeaseLiabilityPaymentsDueYearTwo,"68,000,000"
CommonStockSharesAuthorized,"9,141,000,000"
CommonStockSharesIssued,"5,095,000,000"
ContractualObligationDueInFifthYear,"153,000,000"
OperatingLeaseWeightedAverageDiscountRatePercent,0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,"7,847,000,000"
DeferredTaxAssetsGross,"45,814,000,000"
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentCumulativeAmount,"593,000,000"
AccruedIncomeTaxesNoncurrent,"17,501,000,000"
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,"217,933,000,000"
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,"96,000,000"
FinanceLeaseLiabilityPaymentsDueYearFive,"64,000,000"
IntangibleAssetsNetExcludingGoodwill,"1,703,000,000"
Assets,"505,677,000,000"
TaxesPayableCurrent,"7,093,000,000"
FinanceLeaseRightOfUseAssetBeforeAccumulatedAmortization,"9,569,000,000"
ContractualObligationDueInNextTwelveMonths,"26,335,000,000"
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,"1,000,000,000"
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,"1,500,000,000"
FinanceLeaseLiability,"709,000,000"
LesseeOperatingLeaseLiabilityPaymentsDue,"25,729,000,000"
