label,value
ProceedsFromShortTermDebtMaturingInMoreThanThreeMonths,"34,614,000,000"
StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,"1,483,000,000"
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,"18,578,000,000"
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"208,666,000,000"
RevenueFromContractWithCustomerExcludingAssessedTax,"4,260,374,000,000"
NonoperatingIncomeExpense,"4,471,000,000"
OperatingIncomeLoss,"735,980,000,000"
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"18,612,000,000"
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,"-405,000,000"
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"27,000,000,000"
IncreaseDecreaseInOtherOperatingLiabilities,"42,665,000,000"
DepreciationDepletionAndAmortization,"34,506,000,000"
ResearchAndDevelopmentExpense,"49,205,000,000"
InterestCostsIncurred,"9,000,000,000"
InterestPaidNet,"9,447,000,000"
IncreaseDecreaseInOtherOperatingAssets,"9,138,000,000"
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount,"-2,244,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,153
IncomeTaxReconciliationStateAndLocalIncomeTaxes,"694,000,000"
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,"1,868,000,000"
CurrentStateAndLocalTaxExpenseBenefit,"1,481,000,000"
PaymentsOfDividends,"41,912,000,000"
CostOfGoodsAndServicesSold,"989,128,000,000"
CurrentForeignTaxExpenseBenefit,"11,082,000,000"
EarningsPerShareDiluted,15
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,"165,901,000,000"
IncomeTaxReconciliationOtherAdjustments,"544,000,000"
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,"9,611,000,000"
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,"155,299,000,000"
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,"1,693,000,000"
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,"62,000,000"
IncreaseDecreaseInContractWithCustomerLiability,"1,453,000,000"
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,"267,000,000"
OciBeforeReclassificationsBeforeTaxAttributableToParent,"10,500,000,000"
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"2,620,000,000"
ContractWithCustomerLiabilityRevenueRecognized,"16,700,000,000"
StandardProductWarrantyAccrualWarrantiesIssued,"10,448,000,000"
CurrentFederalTaxExpenseBenefit,"54,115,000,000"
