label,value
InterestExpenseDebt,"1,263,000,000"
DeferredStateAndLocalIncomeTaxExpenseBenefit,"-325,000,000"
DeferredIncomeTaxesAndTaxCredits,"-7,893,000,000"
RevenueFromContractWithCustomerExcludingAssessedTax,"1,853,997,000,000"
LaborAndRelatedExpense,"230,916,000,000"
ProceedsFromIssuanceOfLongTermDebt,"28,808,000,000"
StockholdersEquityOther,"-6,000,000"
VariableLeaseCost,"1,787,000,000"
SellingAndMarketingExpense,"38,910,000,000"
GeneralAndAdministrativeExpense,"32,964,000,000"
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"441,000,000"
EffectiveIncomeTaxRateReconciliationFdiiPercent,0
CurrentFederalTaxExpenseBenefit,"20,597,000,000"
GoodwillOtherIncreaseDecrease,"-18,000,000"
AllocatedShareBasedCompensationExpense,"85,418,000,000"
DeferredIncomeTaxExpenseBenefit,"-7,883,000,000"
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,"12,044,000,000"
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,"48,754,000,000"
ForeignCurrencyTransactionGainLossBeforeTax,"-1,137,000,000"
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,"1,063,000,000"
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,0
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,"24,377,000,000"
IncreaseDecreaseInAccountsPayableTrade,"634,000,000"
OperatingIncomeLoss,"290,150,000,000"
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,"5,252,000,000"
EffectiveIncomeTaxRateContinuingOperations,0
Depreciation,"58,760,000,000"
IncreaseDecreaseInAccountsReceivable,"3,653,000,000"
CurrentIncomeTaxExpenseBenefit,"30,135,000,000"
AdvertisingExpense,"6,730,000,000"
IncreaseDecreaseInOtherNoncurrentLiabilities,"4,315,000,000"
DividendsCommonStock,"5,121,000,000"
IncomeTaxExpenseBenefit,"22,252,000,000"
CostsAndExpenses,"270,937,000,000"
CommonStockDividendsPerShareDeclared,2
ProceedsFromSaleAndMaturityOfMarketableSecurities,"35,131,000,000"
FinanceLeaseInterestExpense,"59,000,000"
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,"28,573,000,000"
ShareBasedCompensation,"42,709,000,000"
PaymentsForProceedsFromOtherInvestingActivities,"-102,000,000"
TangibleAssetImpairmentCharges,"3,036,000,000"
IncreaseDecreaseInAccruedLiabilities,"9,704,000,000"
PaymentsOfDividends,"10,143,000,000"
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"-1,311,000,000"
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,"-425,000,000"
AmortizationOfIntangibleAssets,"557,000,000"
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,"134,866,000,000"
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"146,910,000,000"
OtherCostAndExpenseOperating,"310,958,000,000"
