label,value
InterestExpense,"20,840,000"
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,"1,102,353,000"
EarningsPerShareBasic,-2
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,"17,000,000"
StockIssuedDuringPeriodValueStockOptionsExercised,"1,646,362,000"
DeferredIncomeTaxExpenseBenefit,"15,732,000"
PaymentsToAcquirePropertyPlantAndEquipment,"37,959,000"
TreasuryStockSharesRetired,"7,201,000"
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"2,285,664,000"
ProceedsFromSaleOfOtherAssetsInvestingActivities,"1,042,529,000"
OperatingLeasesRentExpenseSubleaseRentals1,"14,800,000"
StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,"48,413,000"
PaymentsToAcquireOtherInvestments,"23,009,000"
EarningsPerShareDiluted,-2
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,"-3,111,000"
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,"-469,307,000"
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,"1,100,079,000"
CurrentIncomeTaxExpenseBenefit,"15,892,000"
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,"1,081,000"
AllocatedShareBasedCompensationExpense,"5,351,274,000"
RevenueFromContractWithCustomerExcludingAssessedTax,"6,754,234,000"
ComprehensiveIncomeNetOfTax,"-2,269,527,000"
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"-4,886,000"
IncreaseDecreaseInOtherNoncurrentLiabilities,"-3,094,000"
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,"2,105,319,000"
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,"-4,469,584,000"
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,"5,514,007,000"
IncomeTaxReconciliationStateAndLocalIncomeTaxes,"551,000"
ProceedsFromDebtNetOfIssuanceCosts,"823,181,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,6
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"-3,111,000"
LeaseCost,"95,238,000"
WeightedAverageNumberOfDilutedSharesOutstanding,"3,479,906,000"
InterestPaidNet,"16,916,000"
IncreaseDecreaseInContractWithCustomerLiability,"-56,591,000"
TreasuryStockRetiredCostMethodAmount,0
TreasuryStockValueAcquiredCostMethod,"14,979,000"
Depreciation,"38,900,000"
AssetImpairmentCharges,"24,081,000"
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,2
WeightedAverageNumberOfSharesOutstandingBasic,"3,478,298,000"
ProceedsFromIssuanceOfCommonStock,"743,782,000"
IncreaseDecreaseInOtherNoncurrentAssets,"34,201,000"
PaymentsForProceedsFromOtherInvestingActivities,"2,770,000"
StockIssuedDuringPeriodSharesStockOptionsExercised,"317,490,849"
CostOfRevenue,"934,324,000"
IncomeTaxExpenseBenefit,"56,224,000"
IncomeTaxReconciliationOtherAdjustments,"12,712,000"
OperatingLeaseCost,"104,906,000"
ShareBasedCompensation,"3,230,887,000"
AdjustmentsToAdditionalPaidInCapitalOther,"31,007,000"
GeneralAndAdministrativeExpense,"1,601,919,000"
PaymentsForRepurchaseOfCommonStock,"14,979,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,0
ShortTermLeaseCost,"13,107,000"
VariableLeaseCost,"16,951,000"
PaymentsToAcquireMarketableSecurities,"308,315,000"
OperatingIncomeLoss,"-2,161,169,000"
OperatingLeasePayments,"107,385,000"
IncreaseDecreaseInDeferredRevenue,"-140,569,000"
DeferredForeignIncomeTaxExpenseBenefit,"15,843,000"
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,"893,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,24
NetCashProvidedByUsedInInvestingActivities,"-434,796,000"
NetCashProvidedByUsedInFinancingActivities,"1,667,733,000"
StockIssuedDuringPeriodValueTreasuryStockReissued,"200,000,000"
TreasuryStockSharesAcquired,0
ProceedsFromPaymentsForOtherFinancingActivities,"-2,407,000"
StockIssuedDuringPeriodValueNewIssues,"1,893,505,000"
IncomeTaxReconciliationNondeductibleExpenseOther,"504,775,000"
StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,0
InvestmentIncomeInterest,"21,377,000"
StockRepurchasedDuringPeriodValue,"5,392,000"
IncreaseDecreaseInAccruedLiabilities,"57,483,000"
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,"69,794,000"
DilutiveSecurities,"-5,483,000"
OtherOperatingActivitiesCashFlowStatement,"9,100,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,"4,864,900,000"
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,"22,169,000"
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,"-1,018,638,000"
IncomeTaxReconciliationTaxCreditsResearch,"122,991,000"
NetIncomeLossAvailableToCommonStockholdersBasic,"-2,274,897,000"
DeferredFederalIncomeTaxExpenseBenefit,"-111,000"
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"32,724,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"31,997,000"
PaymentsForRepurchaseOfRedeemableConvertiblePreferredStock,"168,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,5
SellingAndMarketingExpense,"1,748,333,000"
StockIssuedDuringPeriodSharesRestrictedStockAwardNetOfForfeitures,"132,780,000"
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,"52,253,000"
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,"633,600,000"
SubleaseIncome,"39,726,000"
SubsidiaryOrEquityMethodInvesteeCumulativeNumberOfSharesIssuedForAllTransactions,"100,000"
RepaymentsOfDebt,"750,000,000"
PaymentsToAcquireEquityMethodInvestments,"53,802,000"
MarketableSecuritiesUnrealizedGainLoss,"72,800,000"
