label,value
RestructuringCharges,"20,682,000,000"
RestructuringAndRelatedCostExpectedNumberOfPositionsEliminated,"11,000"
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,"12,600,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,904
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,"60,040,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"48,661,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,"10,322,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,250
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,255
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,"64,769,000"
ConcentrationRiskPercentage1,1
RestructuringAndRelatedCostCostIncurredToDate1,"35,160,000,000"
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,"111,000,000"
PropertyPlantAndEquipmentGross,"284,815,000,000"
DebtInstrumentFaceAmount,"58,000,000,000"
DebtInstrumentInterestRateEffectivePercentage,0
DebtInstrumentInterestRateStatedPercentage,0
LitigationSettlementAmountAwardedToOtherParty,"725,000,000"
LossContingencyClaimsDismissedNumber,1
LossContingencyAccrualPayments,"5,000,000,000"
LossContingencyAccrualAtCarryingValue,"1,200,000,000"
LossContingencyNewClaimsFiledNumber,4
CommonStockCapitalSharesReservedForFutureIssuance,"483,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"271,694,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,512
TaxCreditCarryforwardAmount,"6,065,000,000"
OperatingLossCarryforwards,"2,360,000,000"
IncomeTaxExaminationEstimateOfPossibleLoss,"9,680,000,000"
