label,value
TemporaryEquityCarryingAmountAttributableToParent,"4,386,954,000"
TemporaryEquitySharesOutstanding,"1,515,617,000"
ConversionOfStockAmountConverted1,"2,214,249,000"
ConcentrationRiskPercentage1,5
EquityMethodInvestmentOwnershipPercentage,0
InvestmentInPhysicalCommodities,"50,900,000"
DebtInstrumentBasisSpreadOnVariableRate1,0
LineOfCreditFacilityCommitmentFeePercentage,0
LineOfCredit,"200,000,000"
LongTermPurchaseCommitmentAmount,"1,535,000,000"
ConversionOfStockSharesConverted1,"335,000"
SaleOfStockNumberOfSharesIssuedInTransaction,"314,027,404"
PaymentsOfStockIssuanceCosts,"17,700,000"
ProceedsFromIssuanceOrSaleOfEquity,"942,500,000"
CommonStockCapitalSharesReservedForFutureIssuance,"315,900,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,"162,000,000"
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfAdditionalSharesAuthorized,"250,000,000"
OperatingLossCarryforwards,"14,233,000,000"
DeferredTaxAssetsTaxCreditCarryforwardsResearch,"403,900,000"
RevenueFromContractWithCustomerIncludingAssessedTax,"6,754,234,000"
